"NAME_1","date","ntl_mean"
"Bengo",2012,3122.1162109375
"Bengo",2013,3999.47973632812
"Bengo",2014,5704.9267578125
"Bengo",2015,6159.591796875
"Bengo",2016,5855.37646484375
"Bengo",2017,7090.634765625
"Bengo",2018,6821.49365234375
"Bengo",2019,7626.72412109375
"Bengo",2020,7516.3095703125
"Bengo",2021,7519.0283203125
"Bengo",2022,10266.2568359375
"Bengo",2023,11413.8720703125
"Bengo",2024,10499.9443359375
"Benguela",2012,10733.09375
"Benguela",2013,12562.65625
"Benguela",2014,13778.5205078125
"Benguela",2015,13522.1162109375
"Benguela",2016,13065.4970703125
"Benguela",2017,10750.5087890625
"Benguela",2018,13084.7880859375
"Benguela",2019,15893.41015625
"Benguela",2020,17410.6953125
"Benguela",2021,18695.40234375
"Benguela",2022,20389.685546875
"Benguela",2023,21112.646484375
"Benguela",2024,22982.958984375
"Bié",2012,1227.78759765625
"Bié",2013,1641.18798828125
"Bié",2014,1774.47424316406
"Bié",2015,1846.39477539062
"Bié",2016,1248.83654785156
"Bié",2017,1264.474609375
"Bié",2018,1998.35729980469
"Bié",2019,3121.724609375
"Bié",2020,3182.50561523438
"Bié",2021,3411.05346679688
"Bié",2022,3893.27197265625
"Bié",2023,4150.13232421875
"Bié",2024,4456.48681640625
"Cabinda",2012,8140.85498046875
"Cabinda",2013,8658.720703125
"Cabinda",2014,11763.349609375
"Cabinda",2015,10444.8310546875
"Cabinda",2016,24872.052734375
"Cabinda",2017,15892.3486328125
"Cabinda",2018,20536.990234375
"Cabinda",2019,24047.572265625
"Cabinda",2020,10161.9765625
"Cabinda",2021,10805.208984375
"Cabinda",2022,13228.23046875
"Cabinda",2023,13621.404296875
"Cabinda",2024,15368.91796875
"Cuando Cubango",2012,779.063842773438
"Cuando Cubango",2013,1135.31213378906
"Cuando Cubango",2014,1525.68664550781
"Cuando Cubango",2015,2143.11962890625
"Cuando Cubango",2016,2784.16064453125
"Cuando Cubango",2017,2311.26123046875
"Cuando Cubango",2018,2280.40112304688
"Cuando Cubango",2019,2866.54565429688
"Cuando Cubango",2020,3075.84887695312
"Cuando Cubango",2021,3026.41552734375
"Cuando Cubango",2022,3106.29711914062
"Cuando Cubango",2023,3660.75805664062
"Cuando Cubango",2024,3603.88793945312
"Cuanza Norte",2012,2525.259765625
"Cuanza Norte",2013,2745.93823242188
"Cuanza Norte",2014,3702.55981445312
"Cuanza Norte",2015,3786.60766601562
"Cuanza Norte",2016,3770.95166015625
"Cuanza Norte",2017,4394.4833984375
"Cuanza Norte",2018,4636.1318359375
"Cuanza Norte",2019,4843.7138671875
"Cuanza Norte",2020,4389.2568359375
"Cuanza Norte",2021,4089.01586914062
"Cuanza Norte",2022,4467.01416015625
"Cuanza Norte",2023,5663.9970703125
"Cuanza Norte",2024,4859.13525390625
"Cuanza Sul",2012,4711.64453125
"Cuanza Sul",2013,5709.37646484375
"Cuanza Sul",2014,6573.38916015625
"Cuanza Sul",2015,7070.65869140625
"Cuanza Sul",2016,6718.8349609375
"Cuanza Sul",2017,6788.416015625
"Cuanza Sul",2018,7059.02490234375
"Cuanza Sul",2019,7729.0791015625
"Cuanza Sul",2020,7744.48828125
"Cuanza Sul",2021,8740.7568359375
"Cuanza Sul",2022,8932.2158203125
"Cuanza Sul",2023,8878.5732421875
"Cuanza Sul",2024,8863.71875
"Cunene",2012,2490.8701171875
"Cunene",2013,3555.07543945312
"Cunene",2014,4586.99072265625
"Cunene",2015,5231.205078125
"Cunene",2016,5596.31640625
"Cunene",2017,4838.48291015625
"Cunene",2018,4235.04833984375
"Cunene",2019,4510.94580078125
"Cunene",2020,4021.12084960938
"Cunene",2021,3913.4140625
"Cunene",2022,4728.7841796875
"Cunene",2023,5227.2158203125
"Cunene",2024,5207.75048828125
"Huambo",2012,4064.33862304688
"Huambo",2013,5433.03125
"Huambo",2014,5832.04296875
"Huambo",2015,5865.4560546875
"Huambo",2016,5255.5908203125
"Huambo",2017,6458.62255859375
"Huambo",2018,7441.46484375
"Huambo",2019,8750.6611328125
"Huambo",2020,8817.7978515625
"Huambo",2021,8839.9169921875
"Huambo",2022,9354.6064453125
"Huambo",2023,9084.8466796875
"Huambo",2024,9946.1337890625
"Huíla",2012,5324.90478515625
"Huíla",2013,7190.29248046875
"Huíla",2014,9545.7216796875
"Huíla",2015,10372.73828125
"Huíla",2016,11005.17578125
"Huíla",2017,9466.5302734375
"Huíla",2018,9988.845703125
"Huíla",2019,10284.2109375
"Huíla",2020,12279.673828125
"Huíla",2021,11746.4072265625
"Huíla",2022,16412.53515625
"Huíla",2023,20726.345703125
"Huíla",2024,20253.578125
"Luanda",2012,93928.5078125
"Luanda",2013,121562.1640625
"Luanda",2014,136416.484375
"Luanda",2015,117327.453125
"Luanda",2016,126429.3828125
"Luanda",2017,131606.234375
"Luanda",2018,150759.09375
"Luanda",2019,159590.796875
"Luanda",2020,147120.78125
"Luanda",2021,152606.484375
"Luanda",2022,161449.265625
"Luanda",2023,154338.25
"Luanda",2024,162746.0625
"Lunda Norte",2012,1777.89001464844
"Lunda Norte",2013,1905.14965820312
"Lunda Norte",2014,2824.18969726562
"Lunda Norte",2015,2643.24560546875
"Lunda Norte",2016,2598.8212890625
"Lunda Norte",2017,1923.01672363281
"Lunda Norte",2018,1777.62561035156
"Lunda Norte",2019,1450.07751464844
"Lunda Norte",2020,1612.23376464844
"Lunda Norte",2021,1793.49926757812
"Lunda Norte",2022,2156.90576171875
"Lunda Norte",2023,3391.935546875
"Lunda Norte",2024,3771.12182617188
"Lunda Sul",2012,3073.81494140625
"Lunda Sul",2013,3333.41333007812
"Lunda Sul",2014,3716.34887695312
"Lunda Sul",2015,3573.47583007812
"Lunda Sul",2016,3311.15771484375
"Lunda Sul",2017,2755.72729492188
"Lunda Sul",2018,3182.48876953125
"Lunda Sul",2019,3099.44091796875
"Lunda Sul",2020,3239.26953125
"Lunda Sul",2021,3877.84130859375
"Lunda Sul",2022,5007.994140625
"Lunda Sul",2023,5262.337890625
"Lunda Sul",2024,5331.818359375
"Malanje",2012,3140.66748046875
"Malanje",2013,3372.42431640625
"Malanje",2014,4436.869140625
"Malanje",2015,5015.66015625
"Malanje",2016,5055.10009765625
"Malanje",2017,4624.259765625
"Malanje",2018,4867.23583984375
"Malanje",2019,4894.96484375
"Malanje",2020,4458.71435546875
"Malanje",2021,4417.8359375
"Malanje",2022,4596.33154296875
"Malanje",2023,5913.92138671875
"Malanje",2024,6185.45654296875
"Moxico",2012,466.492614746094
"Moxico",2013,776.986694335938
"Moxico",2014,968.016479492188
"Moxico",2015,987.20458984375
"Moxico",2016,1264.21057128906
"Moxico",2017,1298.29821777344
"Moxico",2018,1748.68872070312
"Moxico",2019,1927.50134277344
"Moxico",2020,2221.74658203125
"Moxico",2021,2166.36596679688
"Moxico",2022,2374.08544921875
"Moxico",2023,2834.80004882812
"Moxico",2024,2717.82543945312
"Namibe",2012,3070.912109375
"Namibe",2013,4504.33642578125
"Namibe",2014,5312.546875
"Namibe",2015,4984.7099609375
"Namibe",2016,4580.3212890625
"Namibe",2017,4261.91015625
"Namibe",2018,5411.65625
"Namibe",2019,5823.1650390625
"Namibe",2020,5888.59912109375
"Namibe",2021,5929.3515625
"Namibe",2022,6534.75341796875
"Namibe",2023,6692.39501953125
"Namibe",2024,6733.45751953125
"Uíge",2012,2569.49975585938
"Uíge",2013,2961.0546875
"Uíge",2014,3036.9677734375
"Uíge",2015,4001.61157226562
"Uíge",2016,3380.12622070312
"Uíge",2017,3406.33764648438
"Uíge",2018,3806.92114257812
"Uíge",2019,4478.6826171875
"Uíge",2020,4085.7001953125
"Uíge",2021,4151.83154296875
"Uíge",2022,3629.61694335938
"Uíge",2023,3831.84375
"Uíge",2024,3888.95239257812
"Zaire",2012,15847.3173828125
"Zaire",2013,27437.837890625
"Zaire",2014,15606.0791015625
"Zaire",2015,5178.0888671875
