"NAME_1","NAME_2","NAME_3","date","ntl_mean"
"Bengo","Ambriz","Ambriz",2012,45.8238525390625
"Bengo","Ambriz","Ambriz",2013,51.3964309692383
"Bengo","Ambriz","Ambriz",2014,87.9459686279297
"Bengo","Ambriz","Ambriz",2015,62.1534042358398
"Bengo","Ambriz","Ambriz",2016,72.4569778442383
"Bengo","Ambriz","Ambriz",2017,79.7248306274414
"Bengo","Ambriz","Ambriz",2018,82.140625
"Bengo","Ambriz","Ambriz",2019,148.048416137695
"Bengo","Ambriz","Ambriz",2020,135.232971191406
"Bengo","Ambriz","Ambriz",2021,137.34049987793
"Bengo","Ambriz","Ambriz",2022,157.996536254883
"Bengo","Ambriz","Ambriz",2023,263.189392089844
"Bengo","Ambriz","Ambriz",2024,394.591888427734
"Bengo","Ambriz","Bela Vista",2012,16.5798416137695
"Bengo","Ambriz","Bela Vista",2013,18.9027557373047
"Bengo","Ambriz","Bela Vista",2014,18.7124919891357
"Bengo","Ambriz","Bela Vista",2015,7.07346630096436
"Bengo","Ambriz","Bela Vista",2016,0
"Bengo","Ambriz","Bela Vista",2017,1.00950574874878
"Bengo","Ambriz","Bela Vista",2018,0
"Bengo","Ambriz","Bela Vista",2019,0
"Bengo","Ambriz","Bela Vista",2020,0
"Bengo","Ambriz","Bela Vista",2021,0
"Bengo","Ambriz","Bela Vista",2022,0
"Bengo","Ambriz","Bela Vista",2023,1.7505419254303
"Bengo","Ambriz","Bela Vista",2024,0
"Bengo","Ambriz","Tabi",2012,6.2648344039917
"Bengo","Ambriz","Tabi",2013,6.59796094894409
"Bengo","Ambriz","Tabi",2014,2.27375078201294
"Bengo","Ambriz","Tabi",2015,0.593658268451691
"Bengo","Ambriz","Tabi",2016,0.475447088479996
"Bengo","Ambriz","Tabi",2017,4.28684854507446
"Bengo","Ambriz","Tabi",2018,0
"Bengo","Ambriz","Tabi",2019,0.450512081384659
"Bengo","Ambriz","Tabi",2020,0
"Bengo","Ambriz","Tabi",2021,1.36261308193207
"Bengo","Ambriz","Tabi",2022,1.48931431770325
"Bengo","Ambriz","Tabi",2023,2.9520161151886
"Bengo","Ambriz","Tabi",2024,17.2853221893311
"Bengo","Dande","Barra do Dande",2012,463.022064208984
"Bengo","Dande","Barra do Dande",2013,569.658386230469
"Bengo","Dande","Barra do Dande",2014,859.985473632812
"Bengo","Dande","Barra do Dande",2015,939.557006835938
"Bengo","Dande","Barra do Dande",2016,1196.91174316406
"Bengo","Dande","Barra do Dande",2017,1625.18225097656
"Bengo","Dande","Barra do Dande",2018,1374.4189453125
"Bengo","Dande","Barra do Dande",2019,1218.39392089844
"Bengo","Dande","Barra do Dande",2020,1127.5615234375
"Bengo","Dande","Barra do Dande",2021,1246.904296875
"Bengo","Dande","Barra do Dande",2022,1698.4931640625
"Bengo","Dande","Barra do Dande",2023,1998.42504882812
"Bengo","Dande","Barra do Dande",2024,1832.13806152344
"Bengo","Dande","Caxito",2012,573.754455566406
"Bengo","Dande","Caxito",2013,808.557861328125
"Bengo","Dande","Caxito",2014,1097.91162109375
"Bengo","Dande","Caxito",2015,1188.84753417969
"Bengo","Dande","Caxito",2016,1172.08862304688
"Bengo","Dande","Caxito",2017,1186.412109375
"Bengo","Dande","Caxito",2018,1187.32006835938
"Bengo","Dande","Caxito",2019,1054.88232421875
"Bengo","Dande","Caxito",2020,976.212097167969
"Bengo","Dande","Caxito",2021,983.928466796875
"Bengo","Dande","Caxito",2022,1433.67419433594
"Bengo","Dande","Caxito",2023,1467.92333984375
"Bengo","Dande","Caxito",2024,1434.57995605469
"Bengo","Dande","Kikabo",2012,2.6491379737854
"Bengo","Dande","Kikabo",2013,1.11143827438354
"Bengo","Dande","Kikabo",2014,1.62808585166931
"Bengo","Dande","Kikabo",2015,1.96924722194672
"Bengo","Dande","Kikabo",2016,17.0963172912598
"Bengo","Dande","Kikabo",2017,12.6082668304443
"Bengo","Dande","Kikabo",2018,5.23069334030151
"Bengo","Dande","Kikabo",2019,0.0546108707785606
"Bengo","Dande","Kikabo",2020,0
"Bengo","Dande","Kikabo",2021,0
"Bengo","Dande","Kikabo",2022,0
"Bengo","Dande","Kikabo",2023,0
"Bengo","Dande","Kikabo",2024,0
"Bengo","Dande","Mabubas",2012,17.738697052002
"Bengo","Dande","Mabubas",2013,19.6078319549561
"Bengo","Dande","Mabubas",2014,22.3977146148682
"Bengo","Dande","Mabubas",2015,20.7042121887207
"Bengo","Dande","Mabubas",2016,27.4949970245361
"Bengo","Dande","Mabubas",2017,6.36893653869629
"Bengo","Dande","Mabubas",2018,5.44924354553223
"Bengo","Dande","Mabubas",2019,2.03470730781555
"Bengo","Dande","Mabubas",2020,0.650297164916992
"Bengo","Dande","Mabubas",2021,5.0072135925293
"Bengo","Dande","Mabubas",2022,22.4130191802979
"Bengo","Dande","Mabubas",2023,30.3228054046631
"Bengo","Dande","Mabubas",2024,31.4187355041504
"Bengo","Dande","Ucua",2012,6.35575771331787
"Bengo","Dande","Ucua",2013,0.623223125934601
"Bengo","Dande","Ucua",2014,0
"Bengo","Dande","Ucua",2015,0
"Bengo","Dande","Ucua",2016,0
"Bengo","Dande","Ucua",2017,1.37407851219177
"Bengo","Dande","Ucua",2018,0
"Bengo","Dande","Ucua",2019,0
"Bengo","Dande","Ucua",2020,0
"Bengo","Dande","Ucua",2021,0
"Bengo","Dande","Ucua",2022,0
"Bengo","Dande","Ucua",2023,0.57623815536499
"Bengo","Dande","Ucua",2024,2.09728860855103
"Bengo","Icolo e Bengo","Bom Jesus",2012,1306.74353027344
"Bengo","Icolo e Bengo","Bom Jesus",2013,1588.97290039062
"Bengo","Icolo e Bengo","Bom Jesus",2014,2077.61279296875
"Bengo","Icolo e Bengo","Bom Jesus",2015,2235.94116210938
"Bengo","Icolo e Bengo","Bom Jesus",2016,1810.04968261719
"Bengo","Icolo e Bengo","Bom Jesus",2017,2113.68334960938
"Bengo","Icolo e Bengo","Bom Jesus",2018,2372.5517578125
"Bengo","Icolo e Bengo","Bom Jesus",2019,3193.25512695312
"Bengo","Icolo e Bengo","Bom Jesus",2020,3297.4560546875
"Bengo","Icolo e Bengo","Bom Jesus",2021,2852.86279296875
"Bengo","Icolo e Bengo","Bom Jesus",2022,3707.63061523438
"Bengo","Icolo e Bengo","Bom Jesus",2023,3912.79516601562
"Bengo","Icolo e Bengo","Bom Jesus",2024,3535.10131835938
"Bengo","Icolo e Bengo","Calomboloca",2012,4.40093326568604
"Bengo","Icolo e Bengo","Calomboloca",2013,13.7432193756104
"Bengo","Icolo e Bengo","Calomboloca",2014,95.4262161254883
"Bengo","Icolo e Bengo","Calomboloca",2015,60.8758850097656
"Bengo","Icolo e Bengo","Calomboloca",2016,32.9891052246094
"Bengo","Icolo e Bengo","Calomboloca",2017,31.6224880218506
"Bengo","Icolo e Bengo","Calomboloca",2018,18.2446918487549
"Bengo","Icolo e Bengo","Calomboloca",2019,19.022066116333
"Bengo","Icolo e Bengo","Calomboloca",2020,23.9337673187256
"Bengo","Icolo e Bengo","Calomboloca",2021,33.5171546936035
"Bengo","Icolo e Bengo","Calomboloca",2022,44.0838279724121
"Bengo","Icolo e Bengo","Calomboloca",2023,53.657886505127
"Bengo","Icolo e Bengo","Calomboloca",2024,45.4625549316406
"Bengo","Icolo e Bengo","Catete",2012,150.916732788086
"Bengo","Icolo e Bengo","Catete",2013,123.426086425781
"Bengo","Icolo e Bengo","Catete",2014,159.427047729492
"Bengo","Icolo e Bengo","Catete",2015,309.512512207031
"Bengo","Icolo e Bengo","Catete",2016,450.250518798828
"Bengo","Icolo e Bengo","Catete",2017,829.686767578125
"Bengo","Icolo e Bengo","Catete",2018,679.736083984375
"Bengo","Icolo e Bengo","Catete",2019,667.06005859375
"Bengo","Icolo e Bengo","Catete",2020,603.16650390625
"Bengo","Icolo e Bengo","Catete",2021,664.273986816406
"Bengo","Icolo e Bengo","Catete",2022,984.138916015625
"Bengo","Icolo e Bengo","Catete",2023,1063.77465820312
"Bengo","Icolo e Bengo","Catete",2024,1047.22570800781
"Bengo","Icolo e Bengo","Kabiri",2012,281.658660888672
"Bengo","Icolo e Bengo","Kabiri",2013,333.664764404297
"Bengo","Icolo e Bengo","Kabiri",2014,554.281860351562
"Bengo","Icolo e Bengo","Kabiri",2015,551.381713867188
"Bengo","Icolo e Bengo","Kabiri",2016,533.101013183594
"Bengo","Icolo e Bengo","Kabiri",2017,897.21630859375
"Bengo","Icolo e Bengo","Kabiri",2018,837.9248046875
"Bengo","Icolo e Bengo","Kabiri",2019,1012.53234863281
"Bengo","Icolo e Bengo","Kabiri",2020,1181.40307617188
"Bengo","Icolo e Bengo","Kabiri",2021,1406.20886230469
"Bengo","Icolo e Bengo","Kabiri",2022,1945.57775878906
"Bengo","Icolo e Bengo","Kabiri",2023,2149.36791992188
"Bengo","Icolo e Bengo","Kabiri",2024,1839.41943359375
"Bengo","Muxima","Dembo Chio",2012,3.19213819503784
"Bengo","Muxima","Dembo Chio",2013,2.55566501617432
"Bengo","Muxima","Dembo Chio",2014,3.88442802429199
"Bengo","Muxima","Dembo Chio",2015,12.4750061035156
"Bengo","Muxima","Dembo Chio",2016,7.61868190765381
"Bengo","Muxima","Dembo Chio",2017,9.19852542877197
"Bengo","Muxima","Dembo Chio",2018,3.25083637237549
"Bengo","Muxima","Dembo Chio",2019,0
"Bengo","Muxima","Dembo Chio",2020,0
"Bengo","Muxima","Dembo Chio",2021,0
"Bengo","Muxima","Dembo Chio",2022,0
"Bengo","Muxima","Dembo Chio",2023,6.24785852432251
"Bengo","Muxima","Dembo Chio",2024,1.64941382408142
"Bengo","Muxima","Kixinje",2012,153.777618408203
"Bengo","Muxima","Kixinje",2013,351.914520263672
"Bengo","Muxima","Kixinje",2014,624.94140625
"Bengo","Muxima","Kixinje",2015,701.019104003906
"Bengo","Muxima","Kixinje",2016,481.747314453125
"Bengo","Muxima","Kixinje",2017,212.351455688477
"Bengo","Muxima","Kixinje",2018,222.303634643555
"Bengo","Muxima","Kixinje",2019,230.632537841797
"Bengo","Muxima","Kixinje",2020,149.9013671875
