"NAME_1","NAME_2","NAME_3","date","ntl_mean"
"Alibori","Banikoara","Banikoara",2012,10.1055612564087
"Alibori","Banikoara","Banikoara",2013,8.43257808685303
"Alibori","Banikoara","Banikoara",2015,16.4149551391602
"Alibori","Banikoara","Banikoara",2017,26.2358245849609
"Alibori","Banikoara","Banikoara",2018,28.4136734008789
"Alibori","Banikoara","Banikoara",2019,29.8647212982178
"Alibori","Banikoara","Banikoara",2020,29.7282238006592
"Alibori","Banikoara","Banikoara",2021,33.8743286132812
"Alibori","Banikoara","Banikoara",2022,54.1016960144043
"Alibori","Banikoara","Banikoara",2023,51.8622055053711
"Alibori","Banikoara","Banikoara",2024,59.6854209899902
"Alibori","Banikoara","Founougo",2012,0
"Alibori","Banikoara","Founougo",2013,0
"Alibori","Banikoara","Founougo",2015,0
"Alibori","Banikoara","Founougo",2017,0
"Alibori","Banikoara","Founougo",2018,0
"Alibori","Banikoara","Founougo",2019,0
"Alibori","Banikoara","Founougo",2020,0
"Alibori","Banikoara","Founougo",2021,0
"Alibori","Banikoara","Founougo",2022,2.84042024612427
"Alibori","Banikoara","Founougo",2023,5.27291297912598
"Alibori","Banikoara","Founougo",2024,5.93231821060181
"Alibori","Banikoara","Gomparou",2012,6.76158237457275
"Alibori","Banikoara","Gomparou",2013,3.70044898986816
"Alibori","Banikoara","Gomparou",2015,5.92331457138062
"Alibori","Banikoara","Gomparou",2017,9.95968437194824
"Alibori","Banikoara","Gomparou",2018,10.7000856399536
"Alibori","Banikoara","Gomparou",2019,13.1694078445435
"Alibori","Banikoara","Gomparou",2020,9.02083587646484
"Alibori","Banikoara","Gomparou",2021,14.0897159576416
"Alibori","Banikoara","Gomparou",2022,40.6018486022949
"Alibori","Banikoara","Gomparou",2023,50.5871620178223
"Alibori","Banikoara","Gomparou",2024,46.1359710693359
"Alibori","Banikoara","Goumori",2012,0
"Alibori","Banikoara","Goumori",2013,0.167188361287117
"Alibori","Banikoara","Goumori",2015,1.53028309345245
"Alibori","Banikoara","Goumori",2017,0
"Alibori","Banikoara","Goumori",2018,0
"Alibori","Banikoara","Goumori",2019,0
"Alibori","Banikoara","Goumori",2020,0.151337519288063
"Alibori","Banikoara","Goumori",2021,0
"Alibori","Banikoara","Goumori",2022,0.899442255496979
"Alibori","Banikoara","Goumori",2023,1.84389364719391
"Alibori","Banikoara","Goumori",2024,1.77943646907806
"Alibori","Banikoara","Kokey",2012,0
"Alibori","Banikoara","Kokey",2013,0
"Alibori","Banikoara","Kokey",2015,0
"Alibori","Banikoara","Kokey",2017,0
"Alibori","Banikoara","Kokey",2018,0
"Alibori","Banikoara","Kokey",2019,0
"Alibori","Banikoara","Kokey",2020,0
"Alibori","Banikoara","Kokey",2021,0
"Alibori","Banikoara","Kokey",2022,0.623822391033173
"Alibori","Banikoara","Kokey",2023,1.17181169986725
"Alibori","Banikoara","Kokey",2024,0.540972471237183
"Alibori","Banikoara","Kokiborou*",2012,0
"Alibori","Banikoara","Kokiborou*",2013,0.931001961231232
"Alibori","Banikoara","Kokiborou*",2015,0.426702499389648
"Alibori","Banikoara","Kokiborou*",2017,0
"Alibori","Banikoara","Kokiborou*",2018,0
"Alibori","Banikoara","Kokiborou*",2019,0
"Alibori","Banikoara","Kokiborou*",2020,0.371001094579697
"Alibori","Banikoara","Kokiborou*",2021,0
"Alibori","Banikoara","Kokiborou*",2022,2.43779897689819
"Alibori","Banikoara","Kokiborou*",2023,3.47355341911316
"Alibori","Banikoara","Kokiborou*",2024,3.18388032913208
"Alibori","Banikoara","Ounet",2012,0
"Alibori","Banikoara","Ounet",2013,0
"Alibori","Banikoara","Ounet",2015,0
"Alibori","Banikoara","Ounet",2017,0
"Alibori","Banikoara","Ounet",2018,0
"Alibori","Banikoara","Ounet",2019,0
"Alibori","Banikoara","Ounet",2020,0
"Alibori","Banikoara","Ounet",2021,2.09279012680054
"Alibori","Banikoara","Ounet",2022,3.20184135437012
"Alibori","Banikoara","Ounet",2023,4.46884202957153
"Alibori","Banikoara","Ounet",2024,4.43998670578003
"Alibori","Banikoara","Somp?r?kou",2012,0
"Alibori","Banikoara","Somp?r?kou",2013,0
"Alibori","Banikoara","Somp?r?kou",2015,1.34468698501587
"Alibori","Banikoara","Somp?r?kou",2017,0
"Alibori","Banikoara","Somp?r?kou",2018,2.38726401329041
"Alibori","Banikoara","Somp?r?kou",2019,3.20588564872742
"Alibori","Banikoara","Somp?r?kou",2020,3.80998301506042
"Alibori","Banikoara","Somp?r?kou",2021,4.17100477218628
"Alibori","Banikoara","Somp?r?kou",2022,8.52365493774414
"Alibori","Banikoara","Somp?r?kou",2023,12.094575881958
"Alibori","Banikoara","Somp?r?kou",2024,14.1918239593506
"Alibori","Banikoara","Soroko",2012,0
"Alibori","Banikoara","Soroko",2013,0
"Alibori","Banikoara","Soroko",2015,0
"Alibori","Banikoara","Soroko",2017,0
"Alibori","Banikoara","Soroko",2018,0
"Alibori","Banikoara","Soroko",2019,0
"Alibori","Banikoara","Soroko",2020,0
"Alibori","Banikoara","Soroko",2021,0
"Alibori","Banikoara","Soroko",2022,0
"Alibori","Banikoara","Soroko",2023,1.21115279197693
"Alibori","Banikoara","Soroko",2024,0.542380809783936
"Alibori","Banikoara","Toura",2012,0
"Alibori","Banikoara","Toura",2013,0
"Alibori","Banikoara","Toura",2015,0
"Alibori","Banikoara","Toura",2017,0
"Alibori","Banikoara","Toura",2018,0
"Alibori","Banikoara","Toura",2019,0
"Alibori","Banikoara","Toura",2020,0
"Alibori","Banikoara","Toura",2021,0
"Alibori","Banikoara","Toura",2022,1.88700675964355
"Alibori","Banikoara","Toura",2023,4.12907075881958
"Alibori","Banikoara","Toura",2024,3.60713171958923
"Alibori","Gogounou","Bagou",2012,0
"Alibori","Gogounou","Bagou",2013,0
"Alibori","Gogounou","Bagou",2015,0
"Alibori","Gogounou","Bagou",2017,0
"Alibori","Gogounou","Bagou",2018,2.72228956222534
"Alibori","Gogounou","Bagou",2019,2.53247928619385
"Alibori","Gogounou","Bagou",2020,2.33267593383789
"Alibori","Gogounou","Bagou",2021,2.87338924407959
"Alibori","Gogounou","Bagou",2022,6.12770175933838
"Alibori","Gogounou","Bagou",2023,7.09335851669312
"Alibori","Gogounou","Bagou",2024,10.1821384429932
"Alibori","Gogounou","Gogounou",2012,0.500772476196289
"Alibori","Gogounou","Gogounou",2013,1.36674761772156
"Alibori","Gogounou","Gogounou",2015,5.97923755645752
"Alibori","Gogounou","Gogounou",2017,10.9993133544922
"Alibori","Gogounou","Gogounou",2018,15.8078203201294
"Alibori","Gogounou","Gogounou",2019,11.1105766296387
"Alibori","Gogounou","Gogounou",2020,12.527548789978
"Alibori","Gogounou","Gogounou",2021,11.0053310394287
"Alibori","Gogounou","Gogounou",2022,28.3207778930664
"Alibori","Gogounou","Gogounou",2023,30.2652740478516
"Alibori","Gogounou","Gogounou",2024,107.184684753418
"Alibori","Gogounou","Gounarou",2012,0
"Alibori","Gogounou","Gounarou",2013,0
"Alibori","Gogounou","Gounarou",2015,0
"Alibori","Gogounou","Gounarou",2017,0.56505936384201
"Alibori","Gogounou","Gounarou",2018,1.21762204170227
"Alibori","Gogounou","Gounarou",2019,0.0273034609854221
"Alibori","Gogounou","Gounarou",2020,1.5817791223526
"Alibori","Gogounou","Gounarou",2021,1.04272866249084
"Alibori","Gogounou","Gounarou",2022,2.55122399330139
"Alibori","Gogounou","Gounarou",2023,3.78002381324768
"Alibori","Gogounou","Gounarou",2024,7.24272775650024
"Alibori","Gogounou","Ouara",2012,0
"Alibori","Gogounou","Ouara",2013,0
"Alibori","Gogounou","Ouara",2015,0
"Alibori","Gogounou","Ouara",2017,0
"Alibori","Gogounou","Ouara",2018,0.720429241657257
"Alibori","Gogounou","Ouara",2019,2.56497406959534
"Alibori","Gogounou","Ouara",2020,2.54362678527832
"Alibori","Gogounou","Ouara",2021,0.519316792488098
"Alibori","Gogounou","Ouara",2022,0
"Alibori","Gogounou","Ouara",2023,1.3106415271759
"Alibori","Gogounou","Ouara",2024,2.83191967010498
"Alibori","Gogounou","Sori",2012,0
"Alibori","Gogounou","Sori",2013,0
"Alibori","Gogounou","Sori",2015,8.15065765380859
"Alibori","Gogounou","Sori",2017,11.1920042037964
"Alibori","Gogounou","Sori",2018,11.603666305542
"Alibori","Gogounou","Sori",2019,9.98563957214355
"Alibori","Gogounou","Sori",2020,15.7386322021484
"Alibori","Gogounou","Sori",2021,8.40070629119873
"Alibori","Gogounou","Sori",2022,8.09156227111816
"Alibori","Gogounou","Sori",2023,7.471510887146
"Alibori","Gogounou","Sori",2024,12.1025056838989
"Alibori","Gogounou","Zougou-Pantrossi",2012,0
"Alibori","Gogounou","Zougou-Pantrossi",2013,0
"Alibori","Gogounou","Zougou-Pantrossi",2015,0
"Alibori","Gogounou","Zougou-Pantrossi",2017,0
"Alibori","Gogounou","Zougou-Pantrossi",2018,0
"Alibori","Gogounou","Zougou-Pantrossi",2019,0
"Alibori","Gogounou","Zougou-Pantrossi",2020,0
"Alibori","Gogounou","Zougou-Pantrossi",2021,0
"Alibori","Gogounou","Zougou-Pantrossi",2022,0
"Alibori","Gogounou","Zougou-Pantrossi",2023,0
"Alibori","Gogounou","Zougou-Pantrossi",2024,0
"Alibori","Kandi","Angaradébou",2012,0
"Alibori","Kandi","Angaradébou",2013,0
"Alibori","Kandi","Angaradébou",2015,0
"Alibori","Kandi","Angaradébou",2017,1.12155199050903
"Alibori","Kandi","Angaradébou",2018,1.78643977642059
"Alibori","Kandi","Angaradébou",2019,0
"Alibori","Kandi","Angaradébou",2020,1.69033741950989
"Alibori","Kandi","Angaradébou",2021,0.517618536949158
"Alibori","Kandi","Angaradébou",2022,1.93352794647217
"Alibori","Kandi","Angaradébou",2023,5.45985794067383
"Alibori","Kandi","Angaradébou",2024,6.73736906051636
"Alibori","Kandi","Bensékou",2012,0
"Alibori","Kandi","Bensékou",2013,0
"Alibori","Kandi","Bensékou",2015,0
"Alibori","Kandi","Bensékou",2017,0
"Alibori","Kandi","Bensékou",2018,0
"Alibori","Kandi","Bensékou",2019,0
"Alibori","Kandi","Bensékou",2020,0
"Alibori","Kandi","Bensékou",2021,0
"Alibori","Kandi","Bensékou",2022,0
"Alibori","Kandi","Bensékou",2023,0
"Alibori","Kandi","Bensékou",2024,0
"Alibori","Kandi","Donwari",2012,0
"Alibori","Kandi","Donwari",2013,0
"Alibori","Kandi","Donwari",2015,0
