"NAME_1","date","ntl_mean"
"Boucle du Mouhoun",2012,669.07470703125
"Boucle du Mouhoun",2013,744.850952148438
"Boucle du Mouhoun",2014,756.127136230469
"Boucle du Mouhoun",2015,1113.30285644531
"Boucle du Mouhoun",2016,1141.97399902344
"Boucle du Mouhoun",2017,1134.08825683594
"Boucle du Mouhoun",2018,1017.40899658203
"Boucle du Mouhoun",2019,1050.07751464844
"Boucle du Mouhoun",2020,1167.05822753906
"Boucle du Mouhoun",2021,1343.40148925781
"Boucle du Mouhoun",2022,1583.36950683594
"Boucle du Mouhoun",2023,1737.85925292969
"Boucle du Mouhoun",2024,2107.099609375
"Cascades",2012,452.346252441406
"Cascades",2013,478.840057373047
"Cascades",2014,483.832305908203
"Cascades",2015,535.028930664062
"Cascades",2016,614.0849609375
"Cascades",2017,587.189025878906
"Cascades",2018,649.232055664062
"Cascades",2019,928.232849121094
"Cascades",2020,1220.87719726562
"Cascades",2021,1586.44702148438
"Cascades",2022,1847.73278808594
"Cascades",2023,1766.21044921875
"Cascades",2024,1806.66394042969
"Centre",2012,15578.873046875
"Centre",2013,15679.5546875
"Centre",2014,16019.0078125
"Centre",2015,16395.19921875
"Centre",2016,16530.666015625
"Centre",2017,16636.275390625
"Centre",2018,17076.603515625
"Centre",2019,18611.283203125
"Centre",2020,20157.314453125
"Centre",2021,22292.236328125
"Centre",2022,26788.77734375
"Centre",2023,29382.373046875
"Centre",2024,30861.177734375
"Centre-Est",2012,718.173461914062
"Centre-Est",2013,731.502014160156
"Centre-Est",2014,899.971618652344
"Centre-Est",2015,935.562744140625
"Centre-Est",2016,870.788269042969
"Centre-Est",2017,822.339538574219
"Centre-Est",2018,868.875732421875
"Centre-Est",2019,924.215454101562
"Centre-Est",2020,1049.63928222656
"Centre-Est",2021,1189.248046875
"Centre-Est",2022,1464.14965820312
"Centre-Est",2023,1687.99267578125
"Centre-Est",2024,1818.68395996094
"Centre-Nord",2012,491.390289306641
"Centre-Nord",2013,775.667541503906
"Centre-Nord",2014,767.270263671875
"Centre-Nord",2015,789.763427734375
"Centre-Nord",2016,1001.02972412109
"Centre-Nord",2017,1299.42150878906
"Centre-Nord",2018,1288.90856933594
"Centre-Nord",2019,1130.20288085938
"Centre-Nord",2020,1108.77233886719
"Centre-Nord",2021,1208.02587890625
"Centre-Nord",2022,1300.47924804688
"Centre-Nord",2023,1502.27880859375
"Centre-Nord",2024,1626.09204101562
"Centre-Ouest",2012,721.422180175781
"Centre-Ouest",2013,1421.39831542969
"Centre-Ouest",2014,1328.72802734375
"Centre-Ouest",2015,1231.4296875
"Centre-Ouest",2016,1155.96130371094
"Centre-Ouest",2017,1162.08935546875
"Centre-Ouest",2018,1161.62377929688
"Centre-Ouest",2019,1192.80505371094
"Centre-Ouest",2020,1279.91528320312
"Centre-Ouest",2021,1421.48303222656
"Centre-Ouest",2022,1723.23254394531
"Centre-Ouest",2023,1750.31188964844
"Centre-Ouest",2024,1768.43237304688
"Centre-Sud",2012,251.355133056641
"Centre-Sud",2013,238.474349975586
"Centre-Sud",2014,269.346649169922
"Centre-Sud",2015,233.622467041016
"Centre-Sud",2016,266.356201171875
"Centre-Sud",2017,293.708129882812
"Centre-Sud",2018,314.094177246094
"Centre-Sud",2019,556.680847167969
"Centre-Sud",2020,439.466979980469
"Centre-Sud",2021,506.874969482422
"Centre-Sud",2022,650.722412109375
"Centre-Sud",2023,948.9482421875
"Centre-Sud",2024,1095.24035644531
"Est",2012,488.809814453125
"Est",2013,475.185638427734
"Est",2014,516.810913085938
