"NAME_1","NAME_2","NAME_3","date","ntl_mean"
"Boucle du Mouhoun","Balé","Bagassi",2012,3.652099609375
"Boucle du Mouhoun","Balé","Bagassi",2013,0.816917181015015
"Boucle du Mouhoun","Balé","Bagassi",2014,4.53573894500732
"Boucle du Mouhoun","Balé","Bagassi",2015,12.2582683563232
"Boucle du Mouhoun","Balé","Bagassi",2016,109.054801940918
"Boucle du Mouhoun","Balé","Bagassi",2017,181.933547973633
"Boucle du Mouhoun","Balé","Bagassi",2018,161.301376342773
"Boucle du Mouhoun","Balé","Bagassi",2019,135.569244384766
"Boucle du Mouhoun","Balé","Bagassi",2020,127.496315002441
"Boucle du Mouhoun","Balé","Bagassi",2021,125.192825317383
"Boucle du Mouhoun","Balé","Bagassi",2022,153.654312133789
"Boucle du Mouhoun","Balé","Bagassi",2023,150.955215454102
"Boucle du Mouhoun","Balé","Bagassi",2024,149.988052368164
"Boucle du Mouhoun","Balé","Bana",2012,81.4185333251953
"Boucle du Mouhoun","Balé","Bana",2013,107.843307495117
"Boucle du Mouhoun","Balé","Bana",2014,113.400863647461
"Boucle du Mouhoun","Balé","Bana",2015,111.394104003906
"Boucle du Mouhoun","Balé","Bana",2016,123.393615722656
"Boucle du Mouhoun","Balé","Bana",2017,113.857269287109
"Boucle du Mouhoun","Balé","Bana",2018,104.607849121094
"Boucle du Mouhoun","Balé","Bana",2019,120.396423339844
"Boucle du Mouhoun","Balé","Bana",2020,142.9384765625
"Boucle du Mouhoun","Balé","Bana",2021,207.219680786133
"Boucle du Mouhoun","Balé","Bana",2022,222.937103271484
"Boucle du Mouhoun","Balé","Bana",2023,242.213043212891
"Boucle du Mouhoun","Balé","Bana",2024,234.475189208984
"Boucle du Mouhoun","Balé","Boromo",2012,48.9960899353027
"Boucle du Mouhoun","Balé","Boromo",2013,52.7663040161133
"Boucle du Mouhoun","Balé","Boromo",2014,62.7727470397949
"Boucle du Mouhoun","Balé","Boromo",2015,50.8192558288574
"Boucle du Mouhoun","Balé","Boromo",2016,106.565704345703
"Boucle du Mouhoun","Balé","Boromo",2017,112.823738098145
"Boucle du Mouhoun","Balé","Boromo",2018,117.992286682129
"Boucle du Mouhoun","Balé","Boromo",2019,116.05046081543
"Boucle du Mouhoun","Balé","Boromo",2020,140.309753417969
"Boucle du Mouhoun","Balé","Boromo",2021,149.929565429688
"Boucle du Mouhoun","Balé","Boromo",2022,170.939178466797
"Boucle du Mouhoun","Balé","Boromo",2023,224.076446533203
"Boucle du Mouhoun","Balé","Boromo",2024,305.615386962891
"Boucle du Mouhoun","Balé","Fara",2012,4.86719226837158
"Boucle du Mouhoun","Balé","Fara",2013,4.05512714385986
"Boucle du Mouhoun","Balé","Fara",2014,3.93083262443542
