"NAME_1","date","ntl_mean"
"Central",2012,6802.4248046875
"Central",2013,6963.2607421875
"Central",2014,6811.37646484375
"Central",2015,7056.8134765625
"Central",2017,7141.982421875
"Central",2018,7954.52197265625
"Central",2019,8630.2529296875
"Central",2020,8620.3779296875
"Central",2021,9322.140625
"Central",2022,11438.1005859375
"Central",2023,13434.9912109375
"Central",2024,14020.9150390625
"Chobe",2012,441.32861328125
"Chobe",2013,579.976196289062
"Chobe",2014,568.575256347656
"Chobe",2015,488.76513671875
"Chobe",2017,551.642639160156
"Chobe",2018,577.400146484375
"Chobe",2019,565.389404296875
"Chobe",2020,531.961364746094
"Chobe",2021,696.217712402344
"Chobe",2022,810.471923828125
"Chobe",2023,882.209716796875
"Chobe",2024,983.031188964844
"Francistown",2012,2766.7275390625
"Francistown",2013,2552.43920898438
"Francistown",2014,2388.388671875
"Francistown",2015,2430.01220703125
"Francistown",2017,2615.96997070312
"Francistown",2018,3015.54711914062
"Francistown",2019,4177.99755859375
"Francistown",2020,4364.02685546875
"Francistown",2021,4288.7734375
"Francistown",2022,4186.982421875
"Francistown",2023,3940.12573242188
"Francistown",2024,3728.71704101562
"Gaborone",2012,13397.4736328125
"Gaborone",2013,13495.6025390625
"Gaborone",2014,12780.208984375
"Gaborone",2015,12454.44140625
"Gaborone",2017,13756.26171875
"Gaborone",2018,14200.2197265625
"Gaborone",2019,15451.0947265625
"Gaborone",2020,14762.994140625
"Gaborone",2021,14353.80078125
"Gaborone",2022,15417.5380859375
"Gaborone",2023,17095.3515625
"Gaborone",2024,19024.486328125
"Ghanzi",2012,340.220642089844
"Ghanzi",2013,435.753051757812
"Ghanzi",2014,392.940521240234
"Ghanzi",2015,398.976135253906
"Ghanzi",2017,342.854095458984
"Ghanzi",2018,327.226776123047
"Ghanzi",2019,328.595397949219
"Ghanzi",2020,287.498504638672
"Ghanzi",2021,324.957336425781
"Ghanzi",2022,443.705017089844
"Ghanzi",2023,974.140808105469
"Ghanzi",2024,1458.30041503906
"Jwaneng",2012,360.735015869141
"Jwaneng",2013,402.152282714844
"Jwaneng",2014,433.354949951172
"Jwaneng",2015,407.138519287109
"Jwaneng",2017,434.045074462891
"Jwaneng",2018,427.966613769531
"Jwaneng",2019,452.453857421875
"Jwaneng",2020,453.112457275391
"Jwaneng",2021,393.95947265625
"Jwaneng",2022,366.384582519531
"Jwaneng",2023,384.273834228516
"Jwaneng",2024,415.562561035156
"Kgalagadi",2012,879.363830566406
"Kgalagadi",2013,810.25537109375
"Kgalagadi",2014,753.807312011719
"Kgalagadi",2015,699.38916015625
"Kgalagadi",2017,766.809387207031
"Kgalagadi",2018,828.780700683594
"Kgalagadi",2019,874.952392578125
"Kgalagadi",2020,1081.91589355469
"Kgalagadi",2021,1069.17297363281
"Kgalagadi",2022,1033.39709472656
"Kgalagadi",2023,1169.3271484375
"Kgalagadi",2024,1333.98107910156
"Kgatleng",2012,1304.99206542969
"Kgatleng",2013,1257.07165527344
"Kgatleng",2014,1196.20703125
"Kgatleng",2015,1276.51489257812
"Kgatleng",2017,1547.56896972656
"Kgatleng",2018,1667.55126953125
"Kgatleng",2019,1976.09362792969
"Kgatleng",2020,1958.41540527344
"Kgatleng",2021,2050.66088867188
"Kgatleng",2022,2629.78686523438
"Kgatleng",2023,2973.05541992188
"Kgatleng",2024,3345.1640625
"Kweneng",2012,2379.97314453125
"Kweneng",2013,2596.5166015625
"Kweneng",2014,2523.47583007812
"Kweneng",2015,2412.88940429688
"Kweneng",2017,2919.41943359375
"Kweneng",2018,3475.37133789062
"Kweneng",2019,3987.46899414062
"Kweneng",2020,4003.0771484375
"Kweneng",2021,4034.48046875
"Kweneng",2022,4824.31787109375
"Kweneng",2023,5483.8779296875
"Kweneng",2024,6266.51708984375
"Lobatse",2012,787.442932128906
"Lobatse",2013,764.050048828125
"Lobatse",2014,727.99658203125
"Lobatse",2015,765.025268554688
"Lobatse",2017,641.583312988281
"Lobatse",2018,673.564636230469
"Lobatse",2019,726.928894042969
"Lobatse",2020,679.920043945312
"Lobatse",2021,629.768127441406
"Lobatse",2022,684.089477539062
"Lobatse",2023,785.238342285156
"Lobatse",2024,778.478149414062
"North-East",2012,1872.7451171875
"North-East",2013,1998.4638671875
"North-East",2014,1804.62841796875
"North-East",2015,1757.20727539062
"North-East",2017,1662.02795410156
"North-East",2018,1732.64392089844
"North-East",2019,2179.013671875
"North-East",2020,2113.19580078125
"North-East",2021,2292.44189453125
"North-East",2022,2665.31372070312
"North-East",2023,3212.43383789062
"North-East",2024,3342.505859375
"North-West",2012,2648.6962890625
"North-West",2013,2879.498046875
"North-West",2014,2380.75610351562
"North-West",2015,2342.2333984375
"North-West",2017,2199.01684570312
"North-West",2018,2285.96240234375
"North-West",2019,2508.44287109375
"North-West",2020,2567.6865234375
"North-West",2021,2766.3271484375
"North-West",2022,3355.947265625
"North-West",2023,3797.1220703125
"North-West",2024,4056.84326171875
"Selibe Phikwe",2012,853.365783691406
"Selibe Phikwe",2013,785.73095703125
"Selibe Phikwe",2014,713.580322265625
"Selibe Phikwe",2015,719.231018066406
"Selibe Phikwe",2017,578.336486816406
"Selibe Phikwe",2018,675.132080078125
"Selibe Phikwe",2019,772.7734375
"Selibe Phikwe",2020,919.387573242188
"Selibe Phikwe",2021,907.605529785156
"Selibe Phikwe",2022,828.542175292969
"Selibe Phikwe",2023,1315.029296875
"Selibe Phikwe",2024,1386.33435058594
"South-East",2012,1736.00988769531
"South-East",2013,1640.81286621094
"South-East",2014,1629.13317871094
"South-East",2015,1657.39965820312
"South-East",2017,1846.65441894531
"South-East",2018,2002.02905273438
"South-East",2019,2564.04614257812
"South-East",2020,2724.13159179688
"South-East",2021,2684.23388671875
"South-East",2022,3745.650390625
"South-East",2023,4180.17431640625
"South-East",2024,4657.30615234375
"Southern",2012,2439.29296875
"Southern",2013,2179.99877929688
"Southern",2014,2119.24487304688
"Southern",2015,2153.67626953125
"Southern",2017,2242.33544921875
"Southern",2018,2366.21533203125
"Southern",2019,3137.68310546875
"Southern",2020,3295.77490234375
"Southern",2021,3138.24658203125
"Southern",2022,3716.65185546875
"Southern",2023,4259.05419921875
"Southern",2024,4458.138671875
"Sowa",2012,161.758544921875
"Sowa",2013,155.34033203125
"Sowa",2014,157.416625976562
"Sowa",2015,209.124588012695
"Sowa",2017,192.810348510742
"Sowa",2018,163.618804931641
