"NAME_1","date","ntl_mean"
"Abidjan",2012,32263.935546875
"Abidjan",2013,36344.96875
"Abidjan",2014,43965.171875
"Abidjan",2015,46011.49609375
"Abidjan",2016,49141.25390625
"Abidjan",2017,50075.6640625
"Abidjan",2018,53628.6328125
"Abidjan",2019,57950.12109375
"Abidjan",2020,62938.390625
"Abidjan",2021,70679.15625
"Abidjan",2022,82080.7734375
"Abidjan",2023,88206.078125
"Abidjan",2024,91337.109375
"Bas-Sassandra",2012,4779.57080078125
"Bas-Sassandra",2013,5058.78857421875
"Bas-Sassandra",2014,5620.28076171875
"Bas-Sassandra",2015,5580.27685546875
"Bas-Sassandra",2016,6156.6767578125
"Bas-Sassandra",2017,6815.04833984375
"Bas-Sassandra",2018,7412.5126953125
"Bas-Sassandra",2019,7920.25537109375
"Bas-Sassandra",2020,8773.4794921875
"Bas-Sassandra",2021,13185.89453125
"Bas-Sassandra",2022,19638.267578125
"Bas-Sassandra",2023,22273.013671875
"Bas-Sassandra",2024,23307.875
"Comoé",2012,5859.7705078125
"Comoé",2013,5835.34375
"Comoé",2014,6484.9609375
"Comoé",2015,7125.6953125
"Comoé",2016,9676.650390625
"Comoé",2017,10389.7958984375
"Comoé",2018,11079.423828125
"Comoé",2019,11756.2041015625
"Comoé",2020,12657.125
"Comoé",2021,17270.537109375
"Comoé",2022,19996.6328125
"Comoé",2023,22219.16015625
"Comoé",2024,21552.826171875
"Denguélé",2012,522.387512207031
"Denguélé",2013,784.666259765625
"Denguélé",2014,1268.38403320312
"Denguélé",2015,2385.79248046875
"Denguélé",2016,3730.00854492188
"Denguélé",2017,4645.97021484375
"Denguélé",2018,5063.63232421875
"Denguélé",2019,5235.8828125
"Denguélé",2020,5636.939453125
"Denguélé",2021,6871.26025390625
"Denguélé",2022,8472.3408203125
"Denguélé",2023,8707.4423828125
"Denguélé",2024,9302.7412109375
"Gôh-Djiboua",2012,7955.9892578125
"Gôh-Djiboua",2013,8123.3291015625
"Gôh-Djiboua",2014,8127.48583984375
"Gôh-Djiboua",2015,8160.201171875
"Gôh-Djiboua",2016,8565.671875
"Gôh-Djiboua",2017,8696.1220703125
"Gôh-Djiboua",2018,8691.4443359375
"Gôh-Djiboua",2019,9088.8642578125
"Gôh-Djiboua",2020,8975.2783203125
"Gôh-Djiboua",2021,11459.4404296875
"Gôh-Djiboua",2022,14937.3349609375
"Gôh-Djiboua",2023,19319.888671875
"Gôh-Djiboua",2024,19516.123046875
"Lacs",2012,6995.94091796875
"Lacs",2013,7746.36181640625
"Lacs",2014,8135.80615234375
"Lacs",2015,9385.216796875
"Lacs",2016,9655.25
"Lacs",2017,9228.283203125
"Lacs",2018,9470.9873046875
"Lacs",2019,9395.1416015625
"Lacs",2020,11302.880859375
"Lacs",2021,14520.95703125
"Lacs",2022,17563.91796875
"Lacs",2023,18465.658203125
"Lacs",2024,18831.333984375
"Lagunes",2012,6348.03076171875
"Lagunes",2013,6677.64599609375
"Lagunes",2014,6646.6669921875
"Lagunes",2015,6109.92041015625
"Lagunes",2016,6279.333984375
"Lagunes",2017,6110.91162109375
"Lagunes",2018,6927.60205078125
"Lagunes",2019,7941.28759765625
"Lagunes",2020,8560.3583984375
"Lagunes",2021,11976.654296875
"Lagunes",2022,15273.265625
"Lagunes",2023,18408.3359375
"Lagunes",2024,19601.521484375
"Montagnes",2012,2110.24047851562
"Montagnes",2013,2486.72412109375
"Montagnes",2014,3043.72705078125
"Montagnes",2015,3504.27807617188
"Montagnes",2016,4545.31201171875
"Montagnes",2017,4889.306640625
"Montagnes",2018,4711.310546875
"Montagnes",2019,5826.658203125
"Montagnes",2020,6568.7490234375
"Montagnes",2021,11491.0205078125
"Montagnes",2022,17108.869140625
"Montagnes",2023,19026.255859375
"Montagnes",2024,21132.3125
"Sassandra-Marahoué",2012,6870.48388671875
"Sassandra-Marahoué",2013,6983.77197265625
"Sassandra-Marahoué",2014,7269.72314453125
"Sassandra-Marahoué",2015,7138.66259765625
"Sassandra-Marahoué",2016,7891.29052734375
"Sassandra-Marahoué",2017,7866.4150390625
"Sassandra-Marahoué",2018,8156.83154296875
"Sassandra-Marahoué",2019,8751.9013671875
"Sassandra-Marahoué",2020,11397.4775390625
"Sassandra-Marahoué",2021,17307.6171875
"Sassandra-Marahoué",2022,23469.48046875
"Sassandra-Marahoué",2023,26688.853515625
"Sassandra-Marahoué",2024,28672.755859375
"Savanes",2012,6168.52978515625
"Savanes",2013,10710.2001953125
"Savanes",2014,16702.4921875
"Savanes",2015,18843.490234375
"Savanes",2016,20187.25
"Savanes",2017,22578.7421875
"Savanes",2018,24124.189453125
"Savanes",2019,27556.138671875
"Savanes",2020,37613.2421875
"Savanes",2021,39679.0390625
"Savanes",2022,47282.4453125
"Savanes",2023,50635.484375
"Savanes",2024,58208.43359375
"Vallée du Bandama",2012,5529.80615234375
"Vallée du Bandama",2013,7679.17138671875
"Vallée du Bandama",2014,11276.7861328125
"Vallée du Bandama",2015,11910.8720703125
"Vallée du Bandama",2016,13084.716796875
"Vallée du Bandama",2017,13599.8857421875
"Vallée du Bandama",2018,14320.4697265625
"Vallée du Bandama",2019,15276.498046875
