"NAME_1","NAME_2","date","ntl_mean"
"Abidjan","Abidjan",2012,32263.935546875
"Abidjan","Abidjan",2013,36344.96875
"Abidjan","Abidjan",2014,43965.171875
"Abidjan","Abidjan",2015,46011.49609375
"Abidjan","Abidjan",2016,49141.25390625
"Abidjan","Abidjan",2017,50075.6640625
"Abidjan","Abidjan",2018,53628.6328125
"Abidjan","Abidjan",2019,57950.12109375
"Abidjan","Abidjan",2020,62938.390625
"Abidjan","Abidjan",2021,70679.15625
"Abidjan","Abidjan",2022,82080.7734375
"Abidjan","Abidjan",2023,88206.078125
"Abidjan","Abidjan",2024,91337.109375
"Bas-Sassandra","Gbôkle",2012,347.225616455078
"Bas-Sassandra","Gbôkle",2013,372.333068847656
"Bas-Sassandra","Gbôkle",2014,411.633270263672
"Bas-Sassandra","Gbôkle",2015,362.548400878906
"Bas-Sassandra","Gbôkle",2016,353.397705078125
"Bas-Sassandra","Gbôkle",2017,457.575073242188
"Bas-Sassandra","Gbôkle",2018,492.501342773438
"Bas-Sassandra","Gbôkle",2019,572.357421875
"Bas-Sassandra","Gbôkle",2020,549.45166015625
"Bas-Sassandra","Gbôkle",2021,1287.30200195312
"Bas-Sassandra","Gbôkle",2022,2611.71533203125
"Bas-Sassandra","Gbôkle",2023,3205.994140625
"Bas-Sassandra","Gbôkle",2024,3240.1748046875
"Bas-Sassandra","Nawa",2012,2392.98950195312
"Bas-Sassandra","Nawa",2013,2490.6923828125
"Bas-Sassandra","Nawa",2014,2709.95166015625
"Bas-Sassandra","Nawa",2015,2589.7197265625
"Bas-Sassandra","Nawa",2016,2807.33081054688
"Bas-Sassandra","Nawa",2017,2843.6357421875
"Bas-Sassandra","Nawa",2018,3257.74584960938
"Bas-Sassandra","Nawa",2019,3193.01684570312
"Bas-Sassandra","Nawa",2020,2944.1123046875
"Bas-Sassandra","Nawa",2021,5088.83837890625
"Bas-Sassandra","Nawa",2022,8240.72265625
"Bas-Sassandra","Nawa",2023,8657.9150390625
"Bas-Sassandra","Nawa",2024,8635.873046875
"Bas-Sassandra","San-Pédro",2012,2039.35559082031
"Bas-Sassandra","San-Pédro",2013,2195.76318359375
"Bas-Sassandra","San-Pédro",2014,2498.69604492188
"Bas-Sassandra","San-Pédro",2015,2628.0087890625
"Bas-Sassandra","San-Pédro",2016,2995.9482421875
"Bas-Sassandra","San-Pédro",2017,3513.83740234375
"Bas-Sassandra","San-Pédro",2018,3662.26513671875
"Bas-Sassandra","San-Pédro",2019,4154.88134765625
"Bas-Sassandra","San-Pédro",2020,5279.916015625
"Bas-Sassandra","San-Pédro",2021,6809.75439453125
"Bas-Sassandra","San-Pédro",2022,8785.830078125
"Bas-Sassandra","San-Pédro",2023,10409.103515625
"Bas-Sassandra","San-Pédro",2024,11431.8271484375
"Comoé","Indénié-Djuablin",2012,2297.91186523438
"Comoé","Indénié-Djuablin",2013,2470.16528320312
"Comoé","Indénié-Djuablin",2014,2447.39233398438
"Comoé","Indénié-Djuablin",2015,2659.53100585938
"Comoé","Indénié-Djuablin",2016,3796.27124023438
"Comoé","Indénié-Djuablin",2017,3896.52905273438
"Comoé","Indénié-Djuablin",2018,3870.09033203125
"Comoé","Indénié-Djuablin",2019,3837.05200195312
"Comoé","Indénié-Djuablin",2020,4016.205078125
"Comoé","Indénié-Djuablin",2021,4796.18798828125
"Comoé","Indénié-Djuablin",2022,5900.244140625
"Comoé","Indénié-Djuablin",2023,6780.74609375
"Comoé","Indénié-Djuablin",2024,6668.34912109375
"Comoé","Sud Comoé",2012,3561.8583984375
"Comoé","Sud Comoé",2013,3365.1787109375
"Comoé","Sud Comoé",2014,4037.568359375
"Comoé","Sud Comoé",2015,4466.1640625
"Comoé","Sud Comoé",2016,5880.37939453125
"Comoé","Sud Comoé",2017,6493.26708984375
"Comoé","Sud Comoé",2018,7209.33349609375
"Comoé","Sud Comoé",2019,7919.15185546875
"Comoé","Sud Comoé",2020,8640.919921875
"Comoé","Sud Comoé",2021,12474.3486328125
"Comoé","Sud Comoé",2022,14096.388671875
"Comoé","Sud Comoé",2023,15438.4150390625
"Comoé","Sud Comoé",2024,14884.478515625
"Denguélé","Folon",2012,83.227783203125
"Denguélé","Folon",2013,84.5753784179688
"Denguélé","Folon",2014,182.059295654297
"Denguélé","Folon",2015,365.513214111328
"Denguélé","Folon",2016,646.406860351562
"Denguélé","Folon",2017,784.040344238281
"Denguélé","Folon",2018,758.577453613281
"Denguélé","Folon",2019,784.952453613281
"Denguélé","Folon",2020,788.375854492188
"Denguélé","Folon",2021,858.185668945312
"Denguélé","Folon",2022,1347.43200683594
"Denguélé","Folon",2023,1654.31799316406
"Denguélé","Folon",2024,1957.4970703125
"Denguélé","Kabadougou",2012,439.159729003906
"Denguélé","Kabadougou",2013,700.090881347656
"Denguélé","Kabadougou",2014,1086.32470703125
"Denguélé","Kabadougou",2015,2020.279296875
"Denguélé","Kabadougou",2016,3083.6015625
"Denguélé","Kabadougou",2017,3861.9296875
"Denguélé","Kabadougou",2018,4305.0546875
"Denguélé","Kabadougou",2019,4450.93017578125
"Denguélé","Kabadougou",2020,4848.5634765625
"Denguélé","Kabadougou",2021,6013.07470703125
"Denguélé","Kabadougou",2022,7124.9091796875
"Denguélé","Kabadougou",2023,7053.1240234375
"Denguélé","Kabadougou",2024,7345.24462890625
"Gôh-Djiboua","Gôh",2012,5667.37744140625
"Gôh-Djiboua","Gôh",2013,5589.4462890625
"Gôh-Djiboua","Gôh",2014,5291.47216796875
"Gôh-Djiboua","Gôh",2015,5283.15380859375
"Gôh-Djiboua","Gôh",2016,5332.60107421875
"Gôh-Djiboua","Gôh",2017,5368.970703125
"Gôh-Djiboua","Gôh",2018,5391.2099609375
"Gôh-Djiboua","Gôh",2019,5363.3544921875
"Gôh-Djiboua","Gôh",2020,5351.97412109375
"Gôh-Djiboua","Gôh",2021,6956.8720703125
"Gôh-Djiboua","Gôh",2022,8458.943359375
"Gôh-Djiboua","Gôh",2023,10357.572265625
"Gôh-Djiboua","Gôh",2024,10257.970703125
"Gôh-Djiboua","Lôh-Djiboua",2012,2288.61157226562
"Gôh-Djiboua","Lôh-Djiboua",2013,2533.88305664062
"Gôh-Djiboua","Lôh-Djiboua",2014,2836.01342773438
"Gôh-Djiboua","Lôh-Djiboua",2015,2877.04760742188
"Gôh-Djiboua","Lôh-Djiboua",2016,3233.07080078125
"Gôh-Djiboua","Lôh-Djiboua",2017,3327.15161132812
"Gôh-Djiboua","Lôh-Djiboua",2018,3300.23413085938
