"NAME_1","NAME_2","NAME_3","date","ntl_mean"
"Abidjan","Abidjan","Abidjan",2012,32263.935546875
"Abidjan","Abidjan","Abidjan",2013,36344.96875
"Abidjan","Abidjan","Abidjan",2014,43965.171875
"Abidjan","Abidjan","Abidjan",2015,46011.49609375
"Abidjan","Abidjan","Abidjan",2016,49141.25390625
"Abidjan","Abidjan","Abidjan",2017,50075.6640625
"Abidjan","Abidjan","Abidjan",2018,53628.6328125
"Abidjan","Abidjan","Abidjan",2019,57950.12109375
"Abidjan","Abidjan","Abidjan",2020,62938.390625
"Abidjan","Abidjan","Abidjan",2021,70679.15625
"Abidjan","Abidjan","Abidjan",2022,82080.7734375
"Abidjan","Abidjan","Abidjan",2023,88206.078125
"Abidjan","Abidjan","Abidjan",2024,91337.109375
"Bas-Sassandra","Gbôkle","Fresco",2012,114.186721801758
"Bas-Sassandra","Gbôkle","Fresco",2013,94.0883331298828
"Bas-Sassandra","Gbôkle","Fresco",2014,118.746520996094
"Bas-Sassandra","Gbôkle","Fresco",2015,117.162467956543
"Bas-Sassandra","Gbôkle","Fresco",2016,113.998924255371
"Bas-Sassandra","Gbôkle","Fresco",2017,110.895317077637
"Bas-Sassandra","Gbôkle","Fresco",2018,118.440322875977
"Bas-Sassandra","Gbôkle","Fresco",2019,117.108955383301
"Bas-Sassandra","Gbôkle","Fresco",2020,137.26220703125
"Bas-Sassandra","Gbôkle","Fresco",2021,366.776580810547
"Bas-Sassandra","Gbôkle","Fresco",2022,738.4814453125
"Bas-Sassandra","Gbôkle","Fresco",2023,948.039306640625
"Bas-Sassandra","Gbôkle","Fresco",2024,1009.39874267578
"Bas-Sassandra","Gbôkle","Sassandra",2012,233.038879394531
"Bas-Sassandra","Gbôkle","Sassandra",2013,278.244720458984
"Bas-Sassandra","Gbôkle","Sassandra",2014,292.886749267578
"Bas-Sassandra","Gbôkle","Sassandra",2015,245.385940551758
"Bas-Sassandra","Gbôkle","Sassandra",2016,239.398788452148
"Bas-Sassandra","Gbôkle","Sassandra",2017,346.679748535156
"Bas-Sassandra","Gbôkle","Sassandra",2018,374.06103515625
"Bas-Sassandra","Gbôkle","Sassandra",2019,455.248474121094
"Bas-Sassandra","Gbôkle","Sassandra",2020,412.189453125
"Bas-Sassandra","Gbôkle","Sassandra",2021,920.525390625
"Bas-Sassandra","Gbôkle","Sassandra",2022,1873.23388671875
"Bas-Sassandra","Gbôkle","Sassandra",2023,2257.95483398438
"Bas-Sassandra","Gbôkle","Sassandra",2024,2230.77612304688
"Bas-Sassandra","Nawa","Buyo",2012,271.918670654297
"Bas-Sassandra","Nawa","Buyo",2013,234.110931396484
"Bas-Sassandra","Nawa","Buyo",2014,245.636505126953
"Bas-Sassandra","Nawa","Buyo",2015,222.84326171875
"Bas-Sassandra","Nawa","Buyo",2016,234.775726318359
"Bas-Sassandra","Nawa","Buyo",2017,241.859512329102
"Bas-Sassandra","Nawa","Buyo",2018,246.557113647461
"Bas-Sassandra","Nawa","Buyo",2019,242.329116821289
"Bas-Sassandra","Nawa","Buyo",2020,250.999740600586
"Bas-Sassandra","Nawa","Buyo",2021,293.808837890625
"Bas-Sassandra","Nawa","Buyo",2022,633.877807617188
"Bas-Sassandra","Nawa","Buyo",2023,929.994934082031
"Bas-Sassandra","Nawa","Buyo",2024,931.699890136719
"Bas-Sassandra","Nawa","Guéyo",2012,78.4030303955078
"Bas-Sassandra","Nawa","Guéyo",2013,73.5639953613281
"Bas-Sassandra","Nawa","Guéyo",2014,96.4021987915039
"Bas-Sassandra","Nawa","Guéyo",2015,172.544967651367
"Bas-Sassandra","Nawa","Guéyo",2016,348.599273681641
"Bas-Sassandra","Nawa","Guéyo",2017,250.437072753906
"Bas-Sassandra","Nawa","Guéyo",2018,241.584518432617
"Bas-Sassandra","Nawa","Guéyo",2019,241.266464233398
"Bas-Sassandra","Nawa","Guéyo",2020,211.413940429688
"Bas-Sassandra","Nawa","Guéyo",2021,287.804565429688
"Bas-Sassandra","Nawa","Guéyo",2022,464.833282470703
