"NAME_1","NAME_2","date","ntl_mean"
"Bas-Uele","Aketi",2012,1.05756020545959
"Bas-Uele","Aketi",2013,0
"Bas-Uele","Aketi",2014,0
"Bas-Uele","Aketi",2015,0.000415503745898604
"Bas-Uele","Aketi",2016,0
"Bas-Uele","Aketi",2017,0.000680701923556626
"Bas-Uele","Aketi",2018,0
"Bas-Uele","Aketi",2019,0
"Bas-Uele","Aketi",2020,0
"Bas-Uele","Aketi",2021,0
"Bas-Uele","Aketi",2022,18.9070835113525
"Bas-Uele","Aketi",2023,0
"Bas-Uele","Aketi",2024,0
"Bas-Uele","Aketi (ville)",2012,0
"Bas-Uele","Aketi (ville)",2013,0
"Bas-Uele","Aketi (ville)",2014,0.530596613883972
"Bas-Uele","Aketi (ville)",2015,3.84160757064819
"Bas-Uele","Aketi (ville)",2016,2.42802381515503
"Bas-Uele","Aketi (ville)",2017,1.92740249633789
"Bas-Uele","Aketi (ville)",2018,0
"Bas-Uele","Aketi (ville)",2019,0
"Bas-Uele","Aketi (ville)",2020,0
"Bas-Uele","Aketi (ville)",2021,0
"Bas-Uele","Aketi (ville)",2022,2.72120094299316
"Bas-Uele","Aketi (ville)",2023,0
"Bas-Uele","Aketi (ville)",2024,0
"Bas-Uele","Ango",2012,4.44062805175781
"Bas-Uele","Ango",2013,4.77500104904175
"Bas-Uele","Ango",2014,0.770092248916626
"Bas-Uele","Ango",2015,0.592379152774811
"Bas-Uele","Ango",2016,0
"Bas-Uele","Ango",2017,0
"Bas-Uele","Ango",2018,0
"Bas-Uele","Ango",2019,0
"Bas-Uele","Ango",2020,0
"Bas-Uele","Ango",2021,0
"Bas-Uele","Ango",2022,0
"Bas-Uele","Ango",2023,0
"Bas-Uele","Ango",2024,0
"Bas-Uele","Bambesa",2012,0
"Bas-Uele","Bambesa",2013,0
"Bas-Uele","Bambesa",2014,0
"Bas-Uele","Bambesa",2015,0
"Bas-Uele","Bambesa",2016,0
"Bas-Uele","Bambesa",2017,0
"Bas-Uele","Bambesa",2018,0
"Bas-Uele","Bambesa",2019,0
"Bas-Uele","Bambesa",2020,0
"Bas-Uele","Bambesa",2021,0
"Bas-Uele","Bambesa",2022,3.20067977905273
"Bas-Uele","Bambesa",2023,0
"Bas-Uele","Bambesa",2024,0
"Bas-Uele","Bondo",2012,0
"Bas-Uele","Bondo",2013,0
"Bas-Uele","Bondo",2014,0
"Bas-Uele","Bondo",2015,0
"Bas-Uele","Bondo",2016,0
"Bas-Uele","Bondo",2017,0
"Bas-Uele","Bondo",2018,0
"Bas-Uele","Bondo",2019,0
"Bas-Uele","Bondo",2020,0
"Bas-Uele","Bondo",2021,0
"Bas-Uele","Bondo",2022,0.52108246088028
"Bas-Uele","Bondo",2023,0
"Bas-Uele","Bondo",2024,0
"Bas-Uele","Bondo (ville)",2012,0
"Bas-Uele","Bondo (ville)",2013,0
"Bas-Uele","Bondo (ville)",2014,0
"Bas-Uele","Bondo (ville)",2015,0
"Bas-Uele","Bondo (ville)",2016,0
