"NAME_1","date","ntl_mean"
"Adrar",2012,19594.251953125
"Adrar",2013,19389.603515625
"Adrar",2014,19458.947265625
"Adrar",2015,23659.7421875
"Adrar",2016,27357
"Adrar",2017,25287.95703125
"Adrar",2018,29012.70703125
"Adrar",2019,44663.68359375
"Adrar",2020,52174.75
"Adrar",2021,62846.7265625
"Adrar",2022,79373.6796875
"Adrar",2023,80568.234375
"Adrar",2024,92184.6875
"Alger",2012,145219.1875
"Alger",2013,152460.96875
"Alger",2014,161979.890625
"Alger",2015,166041.84375
"Alger",2016,177174.984375
"Alger",2017,182981.421875
"Alger",2018,190937.671875
"Alger",2019,203409.828125
"Alger",2020,215791.390625
"Alger",2021,222195.859375
"Alger",2022,222847.640625
"Alger",2023,236467.359375
"Alger",2024,245632.84375
"Annaba",2012,21523.125
"Annaba",2013,22150.60546875
"Annaba",2014,22991.755859375
"Annaba",2015,25319.255859375
"Annaba",2016,30668.33984375
"Annaba",2017,34060.8125
"Annaba",2018,35817.34765625
"Annaba",2019,36040.62890625
"Annaba",2020,31820.22265625
"Annaba",2021,32287.189453125
"Annaba",2022,37024.75
"Annaba",2023,43444.8203125
"Annaba",2024,44275.0703125
"Aïn Defla",2012,25209.044921875
"Aïn Defla",2013,24778.82421875
"Aïn Defla",2014,26348.537109375
"Aïn Defla",2015,28559.435546875
"Aïn Defla",2016,28162.171875
"Aïn Defla",2017,27898.642578125
"Aïn Defla",2018,27255.994140625
"Aïn Defla",2019,28342.369140625
"Aïn Defla",2020,26613.751953125
"Aïn Defla",2021,30506.30859375
"Aïn Defla",2022,35012.15625
"Aïn Defla",2023,39403.90625
"Aïn Defla",2024,43923.015625
"Aïn Témouchent",2012,13927.8154296875
"Aïn Témouchent",2013,14313.990234375
"Aïn Témouchent",2014,15506.0859375
"Aïn Témouchent",2015,17620.328125
"Aïn Témouchent",2016,18258.4765625
"Aïn Témouchent",2017,16573.068359375
"Aïn Témouchent",2018,16483.6875
"Aïn Témouchent",2019,17042.62109375
"Aïn Témouchent",2020,18618.4375
"Aïn Témouchent",2021,21810.615234375
"Aïn Témouchent",2022,25762.51953125
"Aïn Témouchent",2023,29268.01171875
"Aïn Témouchent",2024,29364.236328125
"Batna",2012,74569.2265625
"Batna",2013,76814.625
"Batna",2014,85137.3515625
"Batna",2015,87077.4140625
"Batna",2016,91694.28125
"Batna",2017,92667.546875
"Batna",2018,94375.21875
"Batna",2019,98833.8359375
"Batna",2020,91616.8203125
"Batna",2021,90953.1640625
"Batna",2022,97847.0078125
"Batna",2023,108782.5546875
"Batna",2024,103741.1171875
"Biskra",2012,32483.86328125
"Biskra",2013,37697.046875
"Biskra",2014,44014.5546875
"Biskra",2015,51973.89453125
"Biskra",2016,58585.75390625
"Biskra",2017,62548.01171875
"Biskra",2018,58468.953125
"Biskra",2019,60009.53515625
"Biskra",2020,56760.00390625
"Biskra",2021,59868.90625
"Biskra",2022,66044.375
"Biskra",2023,86490.03125
"Biskra",2024,98639.4609375
"Blida",2012,42068.578125
"Blida",2013,41797.18359375
