"NAME_1","date","ntl_mean"
"Ad Daqahliyah",2012,138655.3125
"Ad Daqahliyah",2013,127217.671875
"Ad Daqahliyah",2014,116241.265625
"Ad Daqahliyah",2015,113494.90625
"Ad Daqahliyah",2016,127202.40625
"Ad Daqahliyah",2017,133626.359375
"Ad Daqahliyah",2018,136700.4375
"Ad Daqahliyah",2019,131949.46875
"Ad Daqahliyah",2020,121514.734375
"Ad Daqahliyah",2021,131435.4375
"Ad Daqahliyah",2022,123423.8671875
"Ad Daqahliyah",2023,106567.4921875
"Ad Daqahliyah",2024,98040.6796875
"Al Bahr al Ahmar",2012,102470
"Al Bahr al Ahmar",2013,71473.515625
"Al Bahr al Ahmar",2014,73370.5
"Al Bahr al Ahmar",2015,70852.328125
"Al Bahr al Ahmar",2016,71842.140625
"Al Bahr al Ahmar",2017,79237.828125
"Al Bahr al Ahmar",2018,70621.6875
"Al Bahr al Ahmar",2019,69097.0546875
"Al Bahr al Ahmar",2020,64374.484375
"Al Bahr al Ahmar",2021,65019.171875
"Al Bahr al Ahmar",2022,77235.0390625
"Al Bahr al Ahmar",2023,81223.9921875
"Al Bahr al Ahmar",2024,80873.4296875
"Al Buhayrah",2012,229324.703125
"Al Buhayrah",2013,204779.171875
"Al Buhayrah",2014,185490.78125
"Al Buhayrah",2015,175403.671875
"Al Buhayrah",2016,179738.859375
"Al Buhayrah",2017,184989.578125
"Al Buhayrah",2018,187209.453125
"Al Buhayrah",2019,184821.984375
"Al Buhayrah",2020,171923.515625
"Al Buhayrah",2021,210291.109375
"Al Buhayrah",2022,186247.5625
"Al Buhayrah",2023,181427.046875
"Al Buhayrah",2024,181633.765625
"Al Fayyum",2012,94497.84375
"Al Fayyum",2013,88397.34375
"Al Fayyum",2014,81436.375
"Al Fayyum",2015,79014.5390625
"Al Fayyum",2016,83877.3203125
"Al Fayyum",2017,83661.328125
"Al Fayyum",2018,80668.96875
"Al Fayyum",2019,81382.9375
"Al Fayyum",2020,76565.1640625
"Al Fayyum",2021,84793.5546875
"Al Fayyum",2022,80836.4296875
"Al Fayyum",2023,76541.421875
"Al Fayyum",2024,77483.6953125
"Al Gharbiyah",2012,99368.234375
"Al Gharbiyah",2013,92189.875
"Al Gharbiyah",2014,82673.125
"Al Gharbiyah",2015,82324.9921875
"Al Gharbiyah",2016,95499.640625
"Al Gharbiyah",2017,96329.2265625
"Al Gharbiyah",2018,96780.03125
"Al Gharbiyah",2019,94592.3046875
"Al Gharbiyah",2020,86991.2421875
"Al Gharbiyah",2021,88090.6875
"Al Gharbiyah",2022,83345.7421875
"Al Gharbiyah",2023,71778.859375
"Al Gharbiyah",2024,67200.25
"Al Iskandariyah",2012,188967.671875
"Al Iskandariyah",2013,180077.1875
"Al Iskandariyah",2014,166487.515625
"Al Iskandariyah",2015,165278.46875
"Al Iskandariyah",2016,162627.703125
"Al Iskandariyah",2017,155516
"Al Iskandariyah",2018,153211.4375
"Al Iskandariyah",2019,149826.21875
"Al Iskandariyah",2020,141202.734375
"Al Iskandariyah",2021,158740.9375
"Al Iskandariyah",2022,162923.390625
"Al Iskandariyah",2023,180629.28125
"Al Iskandariyah",2024,166181.296875
"Al Isma`iliyah",2012,81663.96875
"Al Isma`iliyah",2013,73362.28125
"Al Isma`iliyah",2014,64565.9140625
"Al Isma`iliyah",2015,65677.3046875
"Al Isma`iliyah",2016,77165.6015625
"Al Isma`iliyah",2017,80498.203125
"Al Isma`iliyah",2018,77482.0234375
"Al Isma`iliyah",2019,77434.7578125
"Al Isma`iliyah",2020,72610.6640625
"Al Isma`iliyah",2021,88774.03125
"Al Isma`iliyah",2022,95582.4375
"Al Isma`iliyah",2023,87285.640625
"Al Isma`iliyah",2024,82304.8828125
"Al Jizah",2012,272400.71875
"Al Jizah",2013,260739.984375
"Al Jizah",2014,258734.21875
"Al Jizah",2015,268277.15625
"Al Jizah",2016,284717.75
"Al Jizah",2017,283844.25
"Al Jizah",2018,291871.28125
"Al Jizah",2019,312586.21875
"Al Jizah",2020,303967.25
"Al Jizah",2021,343326.5
"Al Jizah",2022,367207.53125
"Al Jizah",2023,346901.375
"Al Jizah",2024,345042.3125
"Al Minufiyah",2012,111984.0625
"Al Minufiyah",2013,105808.171875
"Al Minufiyah",2014,95113.765625
"Al Minufiyah",2015,94216.9375
"Al Minufiyah",2016,99230.015625
"Al Minufiyah",2017,99985.03125
"Al Minufiyah",2018,99842.2421875
"Al Minufiyah",2019,100340.203125
"Al Minufiyah",2020,93872.578125
"Al Minufiyah",2021,97754.2578125
"Al Minufiyah",2022,98642.8203125
"Al Minufiyah",2023,86996.65625
"Al Minufiyah",2024,82883.265625
"Al Minya",2012,131120.625
"Al Minya",2013,118442.609375
"Al Minya",2014,102867.0390625
"Al Minya",2015,103147.65625
"Al Minya",2016,108948.9375
"Al Minya",2017,112114.90625
"Al Minya",2018,110543.3828125
"Al Minya",2019,113168.359375
"Al Minya",2020,107504.109375
"Al Minya",2021,120444.6328125
"Al Minya",2022,119992.7734375
"Al Minya",2023,119163.3046875
"Al Minya",2024,117919.3671875
"Al Qahirah",2012,333785.0625
"Al Qahirah",2013,319581.125
"Al Qahirah",2014,316964.84375
"Al Qahirah",2015,328884.8125
"Al Qahirah",2016,335772.875
"Al Qahirah",2017,343141.78125
"Al Qahirah",2018,357855.78125
"Al Qahirah",2019,388689.84375
"Al Qahirah",2020,398054.125
"Al Qahirah",2021,463433.28125
"Al Qahirah",2022,523618.1875
"Al Qahirah",2023,502248.46875
"Al Qahirah",2024,513824.59375
"Al Qalyubiyah",2012,125070.390625
"Al Qalyubiyah",2013,120988.4140625
"Al Qalyubiyah",2014,114567.109375
"Al Qalyubiyah",2015,117801.875
"Al Qalyubiyah",2016,120958.78125
"Al Qalyubiyah",2017,118429.5625
"Al Qalyubiyah",2018,118203.2421875
"Al Qalyubiyah",2019,121306.15625
"Al Qalyubiyah",2020,118010.4921875
"Al Qalyubiyah",2021,126467.9296875
"Al Qalyubiyah",2022,130469.6328125
"Al Qalyubiyah",2023,117231.75
"Al Qalyubiyah",2024,112877.390625
"Al Uqsur",2012,40589.70703125
"Al Uqsur",2013,37384.3984375
"Al Uqsur",2014,33693.47265625
