"NAME_1","NAME_2","date","ntl_mean"
"Ad Daqahliyah","Aja",2012,10549.3759765625
"Ad Daqahliyah","Aja",2013,10206.224609375
"Ad Daqahliyah","Aja",2014,9427.8837890625
"Ad Daqahliyah","Aja",2015,9457.7587890625
"Ad Daqahliyah","Aja",2016,10764.857421875
"Ad Daqahliyah","Aja",2017,11051.2724609375
"Ad Daqahliyah","Aja",2018,11025.2421875
"Ad Daqahliyah","Aja",2019,10733.8779296875
"Ad Daqahliyah","Aja",2020,9934.494140625
"Ad Daqahliyah","Aja",2021,10507.8125
"Ad Daqahliyah","Aja",2022,9631.33984375
"Ad Daqahliyah","Aja",2023,8138.88427734375
"Ad Daqahliyah","Aja",2024,7422.970703125
"Ad Daqahliyah","Al-Jamaliyah",2012,1651.91613769531
"Ad Daqahliyah","Al-Jamaliyah",2013,1446.99890136719
"Ad Daqahliyah","Al-Jamaliyah",2014,1337.76477050781
"Ad Daqahliyah","Al-Jamaliyah",2015,1253.71496582031
"Ad Daqahliyah","Al-Jamaliyah",2016,1731.09240722656
"Ad Daqahliyah","Al-Jamaliyah",2017,1970.54919433594
"Ad Daqahliyah","Al-Jamaliyah",2018,2173.61694335938
"Ad Daqahliyah","Al-Jamaliyah",2019,1973.5390625
"Ad Daqahliyah","Al-Jamaliyah",2020,1807.89306640625
"Ad Daqahliyah","Al-Jamaliyah",2021,2002.18664550781
"Ad Daqahliyah","Al-Jamaliyah",2022,2169.1171875
"Ad Daqahliyah","Al-Jamaliyah",2023,1841.43176269531
"Ad Daqahliyah","Al-Jamaliyah",2024,1492.07885742188
"Ad Daqahliyah","Al-Mansurah",2012,14405.919921875
"Ad Daqahliyah","Al-Mansurah",2013,13008.6884765625
"Ad Daqahliyah","Al-Mansurah",2014,11533.9794921875
"Ad Daqahliyah","Al-Mansurah",2015,11493.1220703125
"Ad Daqahliyah","Al-Mansurah",2016,12772.646484375
"Ad Daqahliyah","Al-Mansurah",2017,13280.0625
"Ad Daqahliyah","Al-Mansurah",2018,13175.81640625
"Ad Daqahliyah","Al-Mansurah",2019,13077.3310546875
"Ad Daqahliyah","Al-Mansurah",2020,12132.3798828125
"Ad Daqahliyah","Al-Mansurah",2021,12679.2998046875
"Ad Daqahliyah","Al-Mansurah",2022,11099.361328125
"Ad Daqahliyah","Al-Mansurah",2023,9677.4189453125
"Ad Daqahliyah","Al-Mansurah",2024,8625.4326171875
"Ad Daqahliyah","Al-Mansurah 1",2012,5911.28857421875
"Ad Daqahliyah","Al-Mansurah 1",2013,4949.3896484375
"Ad Daqahliyah","Al-Mansurah 1",2014,4154.294921875
"Ad Daqahliyah","Al-Mansurah 1",2015,4291.21435546875
"Ad Daqahliyah","Al-Mansurah 1",2016,4799.72021484375
"Ad Daqahliyah","Al-Mansurah 1",2017,5002.45947265625
"Ad Daqahliyah","Al-Mansurah 1",2018,5246.271484375
"Ad Daqahliyah","Al-Mansurah 1",2019,4991.96484375
"Ad Daqahliyah","Al-Mansurah 1",2020,4386.66796875
"Ad Daqahliyah","Al-Mansurah 1",2021,4722.453125
"Ad Daqahliyah","Al-Mansurah 1",2022,4651.88623046875
"Ad Daqahliyah","Al-Mansurah 1",2023,4050.07153320312
"Ad Daqahliyah","Al-Mansurah 1",2024,3821.4931640625
"Ad Daqahliyah","Al-Mansurah 2",2012,4108.72021484375
"Ad Daqahliyah","Al-Mansurah 2",2013,3679.0419921875
"Ad Daqahliyah","Al-Mansurah 2",2014,3359.04833984375
"Ad Daqahliyah","Al-Mansurah 2",2015,3395.81201171875
"Ad Daqahliyah","Al-Mansurah 2",2016,3784.60913085938
"Ad Daqahliyah","Al-Mansurah 2",2017,3889.0078125
"Ad Daqahliyah","Al-Mansurah 2",2018,4008.26611328125
"Ad Daqahliyah","Al-Mansurah 2",2019,3769.0078125
"Ad Daqahliyah","Al-Mansurah 2",2020,3405.49462890625
"Ad Daqahliyah","Al-Mansurah 2",2021,3745.01342773438
"Ad Daqahliyah","Al-Mansurah 2",2022,3657.21801757812
"Ad Daqahliyah","Al-Mansurah 2",2023,3071.29760742188
"Ad Daqahliyah","Al-Mansurah 2",2024,3058.23486328125
"Ad Daqahliyah","Al-Manzilah",2012,6193.75
"Ad Daqahliyah","Al-Manzilah",2013,5595.3134765625
"Ad Daqahliyah","Al-Manzilah",2014,5165.81396484375
"Ad Daqahliyah","Al-Manzilah",2015,5003.2060546875
"Ad Daqahliyah","Al-Manzilah",2016,6175.4072265625
"Ad Daqahliyah","Al-Manzilah",2017,6529.921875
"Ad Daqahliyah","Al-Manzilah",2018,6825.04150390625
"Ad Daqahliyah","Al-Manzilah",2019,6631.587890625
"Ad Daqahliyah","Al-Manzilah",2020,6358.806640625
"Ad Daqahliyah","Al-Manzilah",2021,6964.11865234375
"Ad Daqahliyah","Al-Manzilah",2022,6445.259765625
"Ad Daqahliyah","Al-Manzilah",2023,5495.96875
"Ad Daqahliyah","Al-Manzilah",2024,5163.32275390625
"Ad Daqahliyah","Al-Matariyah",2012,2480.89404296875
"Ad Daqahliyah","Al-Matariyah",2013,2265.77270507812
"Ad Daqahliyah","Al-Matariyah",2014,1992.30822753906
"Ad Daqahliyah","Al-Matariyah",2015,1763.95788574219
"Ad Daqahliyah","Al-Matariyah",2016,2226.03881835938
"Ad Daqahliyah","Al-Matariyah",2017,2416.17114257812
"Ad Daqahliyah","Al-Matariyah",2018,2783.33203125
"Ad Daqahliyah","Al-Matariyah",2019,2565.32177734375
"Ad Daqahliyah","Al-Matariyah",2020,2322.30859375
"Ad Daqahliyah","Al-Matariyah",2021,2448.55883789062
"Ad Daqahliyah","Al-Matariyah",2022,2242.26928710938
"Ad Daqahliyah","Al-Matariyah",2023,1818.20288085938
"Ad Daqahliyah","Al-Matariyah",2024,1680.11376953125
"Ad Daqahliyah","As-Sinbillawayn",2012,11637.26953125
"Ad Daqahliyah","As-Sinbillawayn",2013,11190.6943359375
"Ad Daqahliyah","As-Sinbillawayn",2014,9697.8505859375
"Ad Daqahliyah","As-Sinbillawayn",2015,9007.8955078125
"Ad Daqahliyah","As-Sinbillawayn",2016,9689.24609375
"Ad Daqahliyah","As-Sinbillawayn",2017,10394.6767578125
