"NAME_1","NAME_2","date","ntl_mean"
"Anseba","Adi Teklezan",2012,0.64467579126358
"Anseba","Adi Teklezan",2013,0.596717119216919
"Anseba","Adi Teklezan",2014,2.65594434738159
"Anseba","Adi Teklezan",2015,2.14510011672974
"Anseba","Adi Teklezan",2016,0
"Anseba","Adi Teklezan",2017,0.65053391456604
"Anseba","Adi Teklezan",2018,0.756859362125397
"Anseba","Adi Teklezan",2019,0.523722887039185
"Anseba","Adi Teklezan",2020,0
"Anseba","Adi Teklezan",2021,1.15614557266235
"Anseba","Adi Teklezan",2022,0.524332225322723
"Anseba","Adi Teklezan",2023,0.531050503253937
"Anseba","Adi Teklezan",2024,0
"Anseba","Asmat",2012,0
"Anseba","Asmat",2013,0
"Anseba","Asmat",2014,0
"Anseba","Asmat",2015,9.15944957733154
"Anseba","Asmat",2016,76.2942886352539
"Anseba","Asmat",2017,90.8244934082031
"Anseba","Asmat",2018,75.1368026733398
"Anseba","Asmat",2019,75.4518814086914
"Anseba","Asmat",2020,77.5716705322266
"Anseba","Asmat",2021,83.059326171875
"Anseba","Asmat",2022,86.5615539550781
"Anseba","Asmat",2023,99.302360534668
"Anseba","Asmat",2024,97.7247619628906
"Anseba","Elabered",2012,1.84031200408936
"Anseba","Elabered",2013,0
"Anseba","Elabered",2014,0
"Anseba","Elabered",2015,0
"Anseba","Elabered",2016,0
"Anseba","Elabered",2017,0
"Anseba","Elabered",2018,0
"Anseba","Elabered",2019,0
"Anseba","Elabered",2020,0
"Anseba","Elabered",2021,0
"Anseba","Elabered",2022,0
"Anseba","Elabered",2023,0
"Anseba","Elabered",2024,0
"Anseba","Gheleb",2012,0
"Anseba","Gheleb",2013,0
"Anseba","Gheleb",2014,0
"Anseba","Gheleb",2015,0
"Anseba","Gheleb",2016,0
"Anseba","Gheleb",2017,0
"Anseba","Gheleb",2018,0
"Anseba","Gheleb",2019,0
"Anseba","Gheleb",2020,0
"Anseba","Gheleb",2021,0
"Anseba","Gheleb",2022,0
"Anseba","Gheleb",2023,0
"Anseba","Gheleb",2024,0
"Anseba","Habero",2012,0
"Anseba","Habero",2013,0
"Anseba","Habero",2014,0
"Anseba","Habero",2015,0
"Anseba","Habero",2016,0
"Anseba","Habero",2017,0
"Anseba","Habero",2018,0
"Anseba","Habero",2019,0
"Anseba","Habero",2020,0
"Anseba","Habero",2021,0
"Anseba","Habero",2022,0
"Anseba","Habero",2023,0
"Anseba","Habero",2024,0
"Anseba","Hagaz",2012,39.3079528808594
"Anseba","Hagaz",2013,26.7636165618896
"Anseba","Hagaz",2014,15.212872505188
"Anseba","Hagaz",2015,14.965612411499
"Anseba","Hagaz",2016,16.4941005706787
"Anseba","Hagaz",2017,10.7604351043701
"Anseba","Hagaz",2018,8.45356464385986
"Anseba","Hagaz",2019,2.52216768264771
"Anseba","Hagaz",2020,2.60432410240173
"Anseba","Hagaz",2021,0
"Anseba","Hagaz",2022,0
"Anseba","Hagaz",2023,3.02159070968628
"Anseba","Hagaz",2024,3.21474719047546
"Anseba","Halhal",2012,0
"Anseba","Halhal",2013,0.532607197761536
"Anseba","Halhal",2014,1.36214172840118
"Anseba","Halhal",2015,0
"Anseba","Halhal",2016,0
"Anseba","Halhal",2017,0
"Anseba","Halhal",2018,0
"Anseba","Halhal",2019,0
"Anseba","Halhal",2020,0
"Anseba","Halhal",2021,0
"Anseba","Halhal",2022,0
"Anseba","Halhal",2023,0
"Anseba","Halhal",2024,0
"Anseba","Keren",2012,177.404037475586
"Anseba","Keren",2013,115.855133056641
"Anseba","Keren",2014,104.842216491699
"Anseba","Keren",2015,84.9847106933594
"Anseba","Keren",2016,63.063232421875
"Anseba","Keren",2017,114.923156738281
"Anseba","Keren",2018,125.743003845215
"Anseba","Keren",2019,104.037742614746
"Anseba","Keren",2020,99.1406784057617
"Anseba","Keren",2021,63.9864120483398
"Anseba","Keren",2022,49.7240524291992
"Anseba","Keren",2023,32.7537307739258
"Anseba","Keren",2024,46.3050193786621
"Anseba","Kerke Bet",2012,1.51152849197388
"Anseba","Kerke Bet",2013,0
"Anseba","Kerke Bet",2014,0
"Anseba","Kerke Bet",2015,0
"Anseba","Kerke Bet",2016,1.92036080360413
"Anseba","Kerke Bet",2017,5.52128553390503
"Anseba","Kerke Bet",2018,5.81962490081787
"Anseba","Kerke Bet",2019,4.76983451843262
"Anseba","Kerke Bet",2020,2.03236484527588
"Anseba","Kerke Bet",2021,1.16190004348755
"Anseba","Kerke Bet",2022,0
"Anseba","Kerke Bet",2023,3.76004266738892
"Anseba","Kerke Bet",2024,2.41156101226807
"Anseba","Sel`a",2012,0
"Anseba","Sel`a",2013,0
"Anseba","Sel`a",2014,0
"Anseba","Sel`a",2015,0
"Anseba","Sel`a",2016,0
"Anseba","Sel`a",2017,0
"Anseba","Sel`a",2018,0
"Anseba","Sel`a",2019,0
"Anseba","Sel`a",2020,0
"Anseba","Sel`a",2021,0
"Anseba","Sel`a",2022,0
"Anseba","Sel`a",2023,0
"Anseba","Sel`a",2024,0
"Debub","Adi Keyih",2012,14.7515058517456
"Debub","Adi Keyih",2013,0
"Debub","Adi Keyih",2014,0
"Debub","Adi Keyih",2015,0
"Debub","Adi Keyih",2016,0
"Debub","Adi Keyih",2017,0
"Debub","Adi Keyih",2018,0
"Debub","Adi Keyih",2019,0
"Debub","Adi Keyih",2020,0
"Debub","Adi Keyih",2021,0
"Debub","Adi Keyih",2022,0
"Debub","Adi Keyih",2023,0
"Debub","Adi Keyih",2024,0
"Debub","Adi Kwala",2012,9.77713012695312
"Debub","Adi Kwala",2013,7.30430269241333
"Debub","Adi Kwala",2014,7.11731290817261
"Debub","Adi Kwala",2015,3.60775470733643
"Debub","Adi Kwala",2016,2.00388526916504
"Debub","Adi Kwala",2017,5.78734588623047
"Debub","Adi Kwala",2018,6.51255369186401
"Debub","Adi Kwala",2019,3.27278637886047
"Debub","Adi Kwala",2020,4.57496356964111
"Debub","Adi Kwala",2021,1.45474481582642
"Debub","Adi Kwala",2022,2.14136648178101
"Debub","Adi Kwala",2023,0
"Debub","Adi Kwala",2024,1.1154510974884
"Debub","Areza",2012,0
"Debub","Areza",2013,0
"Debub","Areza",2014,0
"Debub","Areza",2015,0
"Debub","Areza",2016,0
"Debub","Areza",2017,0
"Debub","Areza",2018,0
"Debub","Areza",2019,0
"Debub","Areza",2020,0
"Debub","Areza",2021,1.12338614463806
"Debub","Areza",2022,1.94141447544098
"Debub","Areza",2023,1.06364071369171
"Debub","Areza",2024,0
"Debub","Dekemehare",2012,139.012237548828
"Debub","Dekemehare",2013,92.7334976196289
"Debub","Dekemehare",2014,59.0312919616699
"Debub","Dekemehare",2015,31.4155769348145
"Debub","Dekemehare",2016,29.9055805206299
"Debub","Dekemehare",2017,42.3424072265625
"Debub","Dekemehare",2018,64.5816421508789
"Debub","Dekemehare",2019,51.6083068847656
"Debub","Dekemehare",2020,64.8122024536133
"Debub","Dekemehare",2021,37.959114074707
"Debub","Dekemehare",2022,25.2781410217285
"Debub","Dekemehare",2023,16.9339714050293
"Debub","Dekemehare",2024,13.6553945541382
"Debub","Dibarwa",2012,12.2725305557251
"Debub","Dibarwa",2013,8.71988105773926
"Debub","Dibarwa",2014,8.78309631347656
"Debub","Dibarwa",2015,6.75249767303467
"Debub","Dibarwa",2016,3.49801349639893
"Debub","Dibarwa",2017,5.76197004318237
"Debub","Dibarwa",2018,7.1749792098999
"Debub","Dibarwa",2019,5.03288841247559
"Debub","Dibarwa",2020,3.39473056793213
"Debub","Dibarwa",2021,1.06983315944672
"Debub","Dibarwa",2022,3.40546083450317
"Debub","Dibarwa",2023,3.59888339042664
"Debub","Dibarwa",2024,6.42467737197876
"Debub","Kudo Bu`er",2012,0
"Debub","Kudo Bu`er",2013,0
"Debub","Kudo Bu`er",2014,0
"Debub","Kudo Bu`er",2015,0
"Debub","Kudo Bu`er",2016,0
"Debub","Kudo Bu`er",2017,0
"Debub","Kudo Bu`er",2018,0
"Debub","Kudo Bu`er",2019,0
"Debub","Kudo Bu`er",2020,0
"Debub","Kudo Bu`er",2021,0
"Debub","Kudo Bu`er",2022,0
"Debub","Kudo Bu`er",2023,0
"Debub","Kudo Bu`er",2024,0
"Debub","May Mine",2012,0
"Debub","May Mine",2013,0
"Debub","May Mine",2014,0
"Debub","May Mine",2015,0
"Debub","May Mine",2016,0
"Debub","May Mine",2017,0
"Debub","May Mine",2018,0
"Debub","May Mine",2019,0
"Debub","May Mine",2020,0
"Debub","May Mine",2021,0
"Debub","May Mine",2022,0
"Debub","May Mine",2023,0
"Debub","May Mine",2024,0
"Debub","Mendefera",2012,99.6896209716797
"Debub","Mendefera",2013,83.7894821166992
"Debub","Mendefera",2014,72.814079284668
"Debub","Mendefera",2015,53.2392807006836
"Debub","Mendefera",2016,33.0618591308594
"Debub","Mendefera",2017,64.1266021728516
"Debub","Mendefera",2018,76.4521026611328
"Debub","Mendefera",2019,54.2576179504395
"Debub","Mendefera",2020,48.8085250854492
"Debub","Mendefera",2021,26.5747985839844
"Debub","Mendefera",2022,13.9308795928955
"Debub","Mendefera",2023,9.57763862609863
"Debub","Mendefera",2024,6.91191339492798
"Debub","Segeneyiti",2012,12.5635061264038
"Debub","Segeneyiti",2013,8.44717788696289
"Debub","Segeneyiti",2014,12.0300779342651
"Debub","Segeneyiti",2015,4.64438915252686
"Debub","Segeneyiti",2016,2.50067234039307
"Debub","Segeneyiti",2017,3.46958208084106
"Debub","Segeneyiti",2018,4.92416906356812
"Debub","Segeneyiti",2019,1.52393412590027
"Debub","Segeneyiti",2020,1.35818243026733
"Debub","Segeneyiti",2021,0
"Debub","Segeneyiti",2022,0
"Debub","Segeneyiti",2023,0
"Debub","Segeneyiti",2024,0
"Debub","Senafe",2012,4.59943628311157
"Debub","Senafe",2013,0
"Debub","Senafe",2014,0
"Debub","Senafe",2015,0
"Debub","Senafe",2016,0
"Debub","Senafe",2017,0
"Debub","Senafe",2018,0
"Debub","Senafe",2019,0
"Debub","Senafe",2020,0
"Debub","Senafe",2021,0
"Debub","Senafe",2022,0
"Debub","Senafe",2023,0
"Debub","Senafe",2024,0
"Debub","Tsorena",2012,0
"Debub","Tsorena",2013,0
"Debub","Tsorena",2014,0
"Debub","Tsorena",2015,0
"Debub","Tsorena",2016,0
"Debub","Tsorena",2017,0
"Debub","Tsorena",2018,0
