"NAME_1","date","ntl_mean"
"Boujdour",2012,2670.85546875
"Boujdour",2013,2775.212890625
"Boujdour",2014,2319.1220703125
"Boujdour",2015,2398.22241210938
"Boujdour",2016,2266.29028320312
"Boujdour",2017,2310.30859375
"Boujdour",2018,2402.09497070312
"Boujdour",2019,2551.92822265625
"Boujdour",2020,2945.54418945312
"Boujdour",2021,3486.16455078125
"Boujdour",2022,3480.78173828125
"Boujdour",2023,3283.89697265625
"Boujdour",2024,3590.673828125
"Es Semara",2012,1683.13598632812
"Es Semara",2013,2133.31030273438
"Es Semara",2014,2496.2880859375
"Es Semara",2015,3173.51196289062
"Es Semara",2016,2991.18994140625
"Es Semara",2017,3056.82299804688
"Es Semara",2018,3012.8056640625
"Es Semara",2019,2825.83471679688
"Es Semara",2020,2517.73974609375
"Es Semara",2021,2414.0390625
"Es Semara",2022,2658.76440429688
"Es Semara",2023,2627.6396484375
"Es Semara",2024,2543.296875
"Laayoune",2012,12469.98046875
"Laayoune",2013,12791.4921875
"Laayoune",2014,14253.599609375
"Laayoune",2015,14697.6708984375
"Laayoune",2016,15630.3701171875
"Laayoune",2017,16263.46484375
"Laayoune",2018,15163.826171875
"Laayoune",2019,16291.3623046875
"Laayoune",2020,17992.146484375
"Laayoune",2021,20621.79296875
"Laayoune",2022,21724.28515625
"Laayoune",2023,20801.80078125
"Laayoune",2024,20923.21875
"Oued el Dahab",2012,4135.400390625
"Oued el Dahab",2013,4485.79248046875
"Oued el Dahab",2014,4789.287109375
"Oued el Dahab",2015,5112.77197265625
"Oued el Dahab",2016,4980.77001953125
"Oued el Dahab",2017,4872.45947265625
"Oued el Dahab",2018,4717.51806640625
"Oued el Dahab",2019,4868.8447265625
"Oued el Dahab",2020,4634.29931640625
"Oued el Dahab",2021,5374.9853515625
"Oued el Dahab",2022,5311.66162109375
"Oued el Dahab",2023,6187.03466796875
"Oued el Dahab",2024,6114.251953125
