"NAME_1","date","ntl_mean"
"Estuaire",2012,12262.1357421875
"Estuaire",2013,11784.6826171875
"Estuaire",2014,12598.1435546875
"Estuaire",2015,10941.94921875
"Estuaire",2016,10701.53515625
"Estuaire",2017,11157.552734375
"Estuaire",2018,11124.8896484375
"Estuaire",2019,11921.501953125
"Estuaire",2020,11274.8935546875
"Estuaire",2021,11984.1435546875
"Estuaire",2022,15242.3193359375
"Estuaire",2023,17873.830078125
"Estuaire",2024,17024.708984375
"Haut-Ogooué",2012,2656.71142578125
"Haut-Ogooué",2013,2577.3974609375
"Haut-Ogooué",2014,2502.40698242188
"Haut-Ogooué",2015,2382.63916015625
"Haut-Ogooué",2016,2368.82373046875
"Haut-Ogooué",2017,2213.06689453125
"Haut-Ogooué",2018,2111.50024414062
"Haut-Ogooué",2019,1945.36242675781
"Haut-Ogooué",2020,1934.47729492188
"Haut-Ogooué",2021,2031.33178710938
"Haut-Ogooué",2022,2767.70971679688
"Haut-Ogooué",2023,3384.7255859375
"Haut-Ogooué",2024,2975.97924804688
"Moyen-Ogooué",2012,5104.96337890625
"Moyen-Ogooué",2013,8644.2275390625
"Moyen-Ogooué",2014,7811.5791015625
"Moyen-Ogooué",2015,5551.78076171875
"Moyen-Ogooué",2016,5681.32177734375
"Moyen-Ogooué",2017,3306.61450195312
"Moyen-Ogooué",2018,5914.400390625
"Moyen-Ogooué",2019,7752.1259765625
"Moyen-Ogooué",2020,5090.103515625
"Moyen-Ogooué",2021,3737.67846679688
"Moyen-Ogooué",2022,3103.31811523438
"Moyen-Ogooué",2023,3086.28564453125
"Moyen-Ogooué",2024,2972.22778320312
"Ngounié",2012,12753.15625
"Ngounié",2013,7218.90185546875
"Ngounié",2014,7275.45361328125
"Ngounié",2015,6683.3974609375
"Ngounié",2016,2304.58349609375
"Ngounié",2017,1156.16760253906
"Ngounié",2018,1793.69604492188
"Ngounié",2019,5546.853515625
"Ngounié",2020,5207.2060546875
"Ngounié",2021,5484.51806640625
"Ngounié",2022,6673.1669921875
"Ngounié",2023,11630.587890625
"Ngounié",2024,8543.2216796875
"Nyanga",2012,786.113220214844
"Nyanga",2013,760.816284179688
"Nyanga",2014,674.371337890625
"Nyanga",2015,647.76318359375
"Nyanga",2016,719.893859863281
"Nyanga",2017,755.791320800781
"Nyanga",2018,1458.69946289062
"Nyanga",2019,1599.15625
"Nyanga",2020,1618.90490722656
"Nyanga",2021,1924.16796875
"Nyanga",2022,4238.87255859375
"Nyanga",2023,1819.42639160156
"Nyanga",2024,1425.76745605469
"Ogooué-Ivindo",2012,181.356430053711
"Ogooué-Ivindo",2013,180.758743286133
"Ogooué-Ivindo",2014,159.088684082031
"Ogooué-Ivindo",2015,124.002487182617
"Ogooué-Ivindo",2016,101.94709777832
"Ogooué-Ivindo",2017,165.572143554688
"Ogooué-Ivindo",2018,169.162246704102
"Ogooué-Ivindo",2019,199.435607910156
"Ogooué-Ivindo",2020,112.366546630859
"Ogooué-Ivindo",2021,142.027114868164
"Ogooué-Ivindo",2022,257.960845947266
"Ogooué-Ivindo",2023,340.646484375
"Ogooué-Ivindo",2024,342.642730712891
"Ogooué-Lolo",2012,377.278747558594
"Ogooué-Lolo",2013,389.355377197266
"Ogooué-Lolo",2014,282.807922363281
"Ogooué-Lolo",2015,304.188659667969
"Ogooué-Lolo",2016,230.884582519531
"Ogooué-Lolo",2017,226.181488037109
"Ogooué-Lolo",2018,228.250442504883
"Ogooué-Lolo",2019,249.790496826172
"Ogooué-Lolo",2020,207.304611206055
"Ogooué-Lolo",2021,315.031524658203
"Ogooué-Lolo",2022,362.229675292969
"Ogooué-Lolo",2023,585.385375976562
"Ogooué-Lolo",2024,531.678955078125
"Ogooué-Maritime",2012,61422.28515625
"Ogooué-Maritime",2013,32207.150390625
"Ogooué-Maritime",2014,30000.400390625
"Ogooué-Maritime",2015,33831.55078125
"Ogooué-Maritime",2016,33480.07421875
"Ogooué-Maritime",2017,44374.62109375
"Ogooué-Maritime",2018,54950.1484375
"Ogooué-Maritime",2019,63606.80859375
"Ogooué-Maritime",2020,58309.6953125
"Ogooué-Maritime",2021,47207.4765625
"Ogooué-Maritime",2022,39367.76953125
"Ogooué-Maritime",2023,37806.42578125
"Ogooué-Maritime",2024,40979.81640625
"Wouleu-Ntem",2012,585.426696777344
"Wouleu-Ntem",2013,717.725158691406
"Wouleu-Ntem",2014,988.825012207031
"Wouleu-Ntem",2015,1186.77868652344
"Wouleu-Ntem",2016,998.968505859375
"Wouleu-Ntem",2017,1056.50732421875
"Wouleu-Ntem",2018,867.22314453125
"Wouleu-Ntem",2019,1024.75427246094
"Wouleu-Ntem",2020,908.299560546875
"Wouleu-Ntem",2021,942.717712402344
"Wouleu-Ntem",2022,1221.97790527344
"Wouleu-Ntem",2023,1808.51147460938
"Wouleu-Ntem",2024,1084.09423828125
