"NAME_1","date","ntl_mean"
"Ahafo",2012,1532.10583496094
"Ahafo",2013,1624.73742675781
"Ahafo",2014,1906.66687011719
"Ahafo",2015,2067.80981445312
"Ahafo",2016,3074.64794921875
"Ahafo",2017,2744.033203125
"Ahafo",2018,3252.85864257812
"Ahafo",2019,3727.666015625
"Ahafo",2020,4127.72265625
"Ahafo",2021,4674.5771484375
"Ahafo",2022,6234.9599609375
"Ahafo",2023,7978.927734375
"Ahafo",2024,10335.9443359375
"Ashanti",2012,29812.87109375
"Ashanti",2013,29226.02734375
"Ashanti",2014,32705.529296875
"Ashanti",2015,29619.521484375
"Ashanti",2016,40683.9375
"Ashanti",2017,39514.359375
"Ashanti",2018,43736.3984375
"Ashanti",2019,52567.53125
"Ashanti",2020,60370.48828125
"Ashanti",2021,79174.1328125
"Ashanti",2022,97500.4765625
"Ashanti",2023,120563.21875
"Ashanti",2024,149190.453125
"Bono",2012,3393.91748046875
"Bono",2013,3599.7138671875
"Bono",2014,3842.22094726562
"Bono",2015,4289.5263671875
"Bono",2016,5329.62841796875
"Bono",2017,5541.494140625
"Bono",2018,6365.62255859375
"Bono",2019,7600.87890625
"Bono",2020,9439.4345703125
"Bono",2021,11912.9091796875
"Bono",2022,14953.57421875
"Bono",2023,18480.71484375
"Bono",2024,23238.810546875
"Bono East",2012,1279.34375
"Bono East",2013,1496.43542480469
"Bono East",2014,1914.05444335938
"Bono East",2015,2332.86645507812
"Bono East",2016,3206.3740234375
"Bono East",2017,3343.59155273438
"Bono East",2018,4546.50830078125
"Bono East",2019,4467.44189453125
"Bono East",2020,5448.48828125
"Bono East",2021,7684.8330078125
"Bono East",2022,9458.626953125
"Bono East",2023,11658.5048828125
"Bono East",2024,14870.9482421875
"Central",2012,8720.3017578125
"Central",2013,12136.72265625
"Central",2014,12035.869140625
"Central",2015,13664.658203125
"Central",2016,17124.59375
"Central",2017,18806.74609375
"Central",2018,20660.30859375
"Central",2019,22756.802734375
"Central",2020,26627.732421875
"Central",2021,38230.796875
"Central",2022,46210.55859375
"Central",2023,52481.1015625
"Central",2024,60636.19140625
"Eastern",2012,8821.986328125
"Eastern",2013,10401.13671875
"Eastern",2014,11216.0888671875
"Eastern",2015,11899.3857421875
"Eastern",2016,16202.75390625
"Eastern",2017,18778.931640625
"Eastern",2018,21964.796875
"Eastern",2019,24749.45703125
"Eastern",2020,28997.640625
"Eastern",2021,41676.296875
"Eastern",2022,51325.859375
"Eastern",2023,60437.86328125
"Eastern",2024,71480.5859375
"Greater Accra",2012,60513.6875
"Greater Accra",2013,64827.59765625
"Greater Accra",2014,67869.140625
"Greater Accra",2015,63599.51171875
"Greater Accra",2016,76347.171875
"Greater Accra",2017,86483.046875
"Greater Accra",2018,97809.1015625
"Greater Accra",2019,110359.46875
"Greater Accra",2020,129223.921875
"Greater Accra",2021,163253.625
"Greater Accra",2022,183005.421875
"Greater Accra",2023,205917.28125
"Greater Accra",2024,229999.765625
"North East",2012,388.096343994141
"North East",2013,480.720336914062
"North East",2014,497.696197509766
"North East",2015,405.300354003906
"North East",2016,826.416259765625
"North East",2017,970.43115234375
"North East",2018,1098.66760253906
"North East",2019,1526.41687011719
"North East",2020,2255.994140625
"North East",2021,2673.146484375
"North East",2022,3296.20092773438
"North East",2023,4094.78002929688
"North East",2024,4865.302734375
"Northern",2012,4225.55078125
"Northern",2013,4783.62744140625
"Northern",2014,5111.1591796875
"Northern",2015,5838.7841796875
"Northern",2016,8006.423828125
"Northern",2017,8911.7490234375
"Northern",2018,9933.654296875
"Northern",2019,11061.9345703125
"Northern",2020,13980.845703125
"Northern",2021,18488.791015625
"Northern",2022,22328.693359375
"Northern",2023,26800.92578125
"Northern",2024,31217.76171875
"Oti",2012,238.195007324219
"Oti",2013,280.869049072266
"Oti",2014,341.262237548828
"Oti",2015,586.690185546875
"Oti",2016,1120.38232421875
"Oti",2017,1349.3544921875
"Oti",2018,1454.333984375
"Oti",2019,1733.0302734375
"Oti",2020,2420.98486328125
"Oti",2021,3390.08959960938
"Oti",2022,4397.5
"Oti",2023,5006.32421875
"Oti",2024,6080.68994140625
"Savannah",2012,801.185241699219
"Savannah",2013,886.525146484375
"Savannah",2014,852.825500488281
"Savannah",2015,1108.48022460938
"Savannah",2016,1899.67492675781
"Savannah",2017,2223.12182617188
"Savannah",2018,2226.1201171875
"Savannah",2019,2260.85888671875
"Savannah",2020,2467.17602539062
"Savannah",2021,2899.49145507812
"Savannah",2022,3827.740234375
"Savannah",2023,5066.42041015625
"Savannah",2024,5612.48486328125
"Upper East",2012,1717.70483398438
"Upper East",2013,1641.30200195312
"Upper East",2014,2032.84924316406
"Upper East",2015,2655.63891601562
"Upper East",2016,4103.7060546875
"Upper East",2017,4727.95263671875
"Upper East",2018,4456.17626953125
"Upper East",2019,4915.30859375
"Upper East",2020,5912.03662109375
"Upper East",2021,9755.2255859375
"Upper East",2022,12706.2587890625
"Upper East",2023,15248.2861328125
"Upper East",2024,18363.884765625
"Upper West",2012,1565.78479003906
"Upper West",2013,1258.87133789062
"Upper West",2014,1485.546875
"Upper West",2015,2129.03271484375
"Upper West",2016,3475.84619140625
"Upper West",2017,3903.05712890625
"Upper West",2018,4641.9033203125
"Upper West",2019,4440.9716796875
"Upper West",2020,5030.744140625
"Upper West",2021,6535.5986328125
"Upper West",2022,9022.00390625
"Upper West",2023,10747.009765625
"Upper West",2024,13593.52734375
"Volta",2012,4231.81005859375
"Volta",2013,4523.0302734375
"Volta",2014,5451.68212890625
"Volta",2015,5990.103515625
"Volta",2016,10285.439453125
"Volta",2017,11009.208984375
"Volta",2018,11253.1142578125
