"NAME_1","NAME_2","date","ntl_mean"
"Ahafo","Asunafo North",2012,159.108291625977
"Ahafo","Asunafo North",2013,174.336791992188
"Ahafo","Asunafo North",2014,205.986419677734
"Ahafo","Asunafo North",2015,227.917709350586
"Ahafo","Asunafo North",2016,389.275939941406
"Ahafo","Asunafo North",2017,359.536071777344
"Ahafo","Asunafo North",2018,451.698425292969
"Ahafo","Asunafo North",2019,657.054992675781
"Ahafo","Asunafo North",2020,625.041015625
"Ahafo","Asunafo North",2021,809.098571777344
"Ahafo","Asunafo North",2022,1051.51818847656
"Ahafo","Asunafo North",2023,1513.0673828125
"Ahafo","Asunafo North",2024,1755.22485351562
"Ahafo","Asunafo South",2012,74.8543930053711
"Ahafo","Asunafo South",2013,73.5223541259766
"Ahafo","Asunafo South",2014,71.5743560791016
"Ahafo","Asunafo South",2015,61.4999542236328
"Ahafo","Asunafo South",2016,125.987319946289
"Ahafo","Asunafo South",2017,112.473617553711
"Ahafo","Asunafo South",2018,145.905883789062
"Ahafo","Asunafo South",2019,180.439575195312
"Ahafo","Asunafo South",2020,139.454956054688
"Ahafo","Asunafo South",2021,236.512725830078
"Ahafo","Asunafo South",2022,370.687072753906
"Ahafo","Asunafo South",2023,499.700378417969
"Ahafo","Asunafo South",2024,636.5595703125
"Ahafo","Asutifi North",2012,945.292114257812
"Ahafo","Asutifi North",2013,953.9228515625
"Ahafo","Asutifi North",2014,1116.49206542969
"Ahafo","Asutifi North",2015,1130.85083007812
"Ahafo","Asutifi North",2016,1425.26184082031
"Ahafo","Asutifi North",2017,1193.35290527344
"Ahafo","Asutifi North",2018,1335.89184570312
"Ahafo","Asutifi North",2019,1419.58581542969
"Ahafo","Asutifi North",2020,1576.43994140625
"Ahafo","Asutifi North",2021,1655.70849609375
"Ahafo","Asutifi North",2022,1990.41662597656
"Ahafo","Asutifi North",2023,2253.06298828125
"Ahafo","Asutifi North",2024,2777.64331054688
"Ahafo","Asutifi South",2012,78.5868682861328
"Ahafo","Asutifi South",2013,110.051643371582
"Ahafo","Asutifi South",2014,157.310913085938
"Ahafo","Asutifi South",2015,180.66438293457
"Ahafo","Asutifi South",2016,427.694183349609
"Ahafo","Asutifi South",2017,384.274566650391
"Ahafo","Asutifi South",2018,501.958282470703
"Ahafo","Asutifi South",2019,551.793884277344
"Ahafo","Asutifi South",2020,556.078125
"Ahafo","Asutifi South",2021,675.716430664062
"Ahafo","Asutifi South",2022,958.155334472656
"Ahafo","Asutifi South",2023,1269.70703125
"Ahafo","Asutifi South",2024,1726.88928222656
"Ahafo","Tano North",2012,160.029647827148
"Ahafo","Tano North",2013,162.38020324707
"Ahafo","Tano North",2014,203.411697387695
"Ahafo","Tano North",2015,263.602844238281
"Ahafo","Tano North",2016,388.091613769531
"Ahafo","Tano North",2017,352.192443847656
"Ahafo","Tano North",2018,441.439788818359
"Ahafo","Tano North",2019,495.409729003906
"Ahafo","Tano North",2020,585.50146484375
"Ahafo","Tano North",2021,672.99755859375
"Ahafo","Tano North",2022,1049.5634765625
"Ahafo","Tano North",2023,1463.314453125
"Ahafo","Tano North",2024,2226.61547851562
"Ahafo","Tano South",2012,114.23445892334
"Ahafo","Tano South",2013,150.523529052734
"Ahafo","Tano South",2014,151.891342163086
"Ahafo","Tano South",2015,203.274169921875
"Ahafo","Tano South",2016,318.336975097656
"Ahafo","Tano South",2017,342.203735351562
"Ahafo","Tano South",2018,375.964447021484
"Ahafo","Tano South",2019,423.382141113281
"Ahafo","Tano South",2020,645.207092285156
"Ahafo","Tano South",2021,624.543640136719
"Ahafo","Tano South",2022,814.619384765625
"Ahafo","Tano South",2023,980.075378417969
"Ahafo","Tano South",2024,1213.01196289062
"Ashanti","Adansi Akrofuom",2012,69.0246963500977
"Ashanti","Adansi Akrofuom",2013,62.7493515014648
"Ashanti","Adansi Akrofuom",2014,89.4184494018555
"Ashanti","Adansi Akrofuom",2015,124.575065612793
"Ashanti","Adansi Akrofuom",2016,157.941253662109
"Ashanti","Adansi Akrofuom",2017,150.949935913086
"Ashanti","Adansi Akrofuom",2018,125.489936828613
"Ashanti","Adansi Akrofuom",2019,157.421951293945
"Ashanti","Adansi Akrofuom",2020,138.01188659668
"Ashanti","Adansi Akrofuom",2021,271.655700683594
"Ashanti","Adansi Akrofuom",2022,418.863616943359
"Ashanti","Adansi Akrofuom",2023,660.885986328125
"Ashanti","Adansi Akrofuom",2024,836.222106933594
"Ashanti","Adansi Asokwa",2012,70.3095397949219
"Ashanti","Adansi Asokwa",2013,98.0526351928711
"Ashanti","Adansi Asokwa",2014,61.679370880127
"Ashanti","Adansi Asokwa",2015,63.6850433349609
"Ashanti","Adansi Asokwa",2016,135.548812866211
"Ashanti","Adansi Asokwa",2017,178.482299804688
"Ashanti","Adansi Asokwa",2018,119.181266784668
"Ashanti","Adansi Asokwa",2019,160.526702880859
"Ashanti","Adansi Asokwa",2020,119.020919799805
"Ashanti","Adansi Asokwa",2021,420.362243652344
"Ashanti","Adansi Asokwa",2022,652.516296386719
"Ashanti","Adansi Asokwa",2023,624.277160644531
"Ashanti","Adansi Asokwa",2024,702.631286621094
"Ashanti","Adansi North",2012,199.765411376953
"Ashanti","Adansi North",2013,230.796920776367
"Ashanti","Adansi North",2014,221.579818725586
"Ashanti","Adansi North",2015,245.434448242188
"Ashanti","Adansi North",2016,341.003967285156
"Ashanti","Adansi North",2017,342.020172119141
"Ashanti","Adansi North",2018,302.095031738281
"Ashanti","Adansi North",2019,384.336151123047
"Ashanti","Adansi North",2020,367.756896972656
"Ashanti","Adansi North",2021,778.792053222656
"Ashanti","Adansi North",2022,1160.81726074219
"Ashanti","Adansi North",2023,1358.615234375
"Ashanti","Adansi North",2024,1842.87817382812
"Ashanti","Adansi South",2012,80.1406097412109
"Ashanti","Adansi South",2013,110.964447021484
"Ashanti","Adansi South",2014,106.185104370117
"Ashanti","Adansi South",2015,124.836196899414
"Ashanti","Adansi South",2016,168.171798706055
"Ashanti","Adansi South",2017,166.93537902832
"Ashanti","Adansi South",2018,178.351058959961
"Ashanti","Adansi South",2019,172.739822387695
"Ashanti","Adansi South",2020,208.387145996094
"Ashanti","Adansi South",2021,669.017333984375
"Ashanti","Adansi South",2022,933.095703125
"Ashanti","Adansi South",2023,866.925964355469
"Ashanti","Adansi South",2024,835.677551269531
"Ashanti","Afigya-Kwabre North",2012,108.54711151123
