"NAME_1","NAME_2","date","ntl_mean"
"Banjul","Banjul",2012,265.178375244141
"Banjul","Banjul",2013,283.176849365234
"Banjul","Banjul",2014,316.871215820312
"Banjul","Banjul",2015,301.557403564453
"Banjul","Banjul",2016,267.134765625
"Banjul","Banjul",2017,201.132659912109
"Banjul","Banjul",2018,224.391479492188
"Banjul","Banjul",2019,181.482345581055
"Banjul","Banjul",2020,136.199142456055
"Banjul","Banjul",2021,141.433731079102
"Banjul","Banjul",2022,204.922058105469
"Banjul","Banjul",2023,287.874145507812
"Banjul","Banjul",2024,271.906921386719
"Banjul","Kanifing",2012,1792.52648925781
"Banjul","Kanifing",2013,1675.97473144531
"Banjul","Kanifing",2014,1587.60034179688
"Banjul","Kanifing",2015,1613.78881835938
"Banjul","Kanifing",2016,1539.49047851562
"Banjul","Kanifing",2017,1256.95458984375
"Banjul","Kanifing",2018,1319.12524414062
"Banjul","Kanifing",2019,1140.78356933594
"Banjul","Kanifing",2020,1076.67309570312
"Banjul","Kanifing",2021,1178.0205078125
"Banjul","Kanifing",2022,1374.69982910156
"Banjul","Kanifing",2023,1510.77661132812
"Banjul","Kanifing",2024,1830.42163085938
"Lower River","Jarra Central",2012,0
"Lower River","Jarra Central",2013,0
"Lower River","Jarra Central",2014,0
"Lower River","Jarra Central",2015,0
"Lower River","Jarra Central",2016,0
"Lower River","Jarra Central",2017,0
"Lower River","Jarra Central",2018,0
"Lower River","Jarra Central",2019,0
"Lower River","Jarra Central",2020,0
"Lower River","Jarra Central",2021,0.508620917797089
"Lower River","Jarra Central",2022,3.26959800720215
"Lower River","Jarra Central",2023,3.93200874328613
"Lower River","Jarra Central",2024,4.03261852264404
"Lower River","Jarra East",2012,7.77257204055786
"Lower River","Jarra East",2013,0
"Lower River","Jarra East",2014,0
"Lower River","Jarra East",2015,0
"Lower River","Jarra East",2016,0
"Lower River","Jarra East",2017,0
"Lower River","Jarra East",2018,0
"Lower River","Jarra East",2019,0
"Lower River","Jarra East",2020,0
"Lower River","Jarra East",2021,0
"Lower River","Jarra East",2022,0
"Lower River","Jarra East",2023,1.00758767127991
"Lower River","Jarra East",2024,0
"Lower River","Jarra West",2012,2.93878650665283
"Lower River","Jarra West",2013,0
"Lower River","Jarra West",2014,0
"Lower River","Jarra West",2015,0
"Lower River","Jarra West",2016,1.14165210723877
"Lower River","Jarra West",2017,2.45107078552246
"Lower River","Jarra West",2018,5.54111003875732
"Lower River","Jarra West",2019,9.70545959472656
"Lower River","Jarra West",2020,16.0023403167725
"Lower River","Jarra West",2021,30.0602684020996
"Lower River","Jarra West",2022,90.7479553222656
"Lower River","Jarra West",2023,120.930702209473
"Lower River","Jarra West",2024,136.656997680664
"Lower River","Kiang Central",2012,0
"Lower River","Kiang Central",2013,0
"Lower River","Kiang Central",2014,0
"Lower River","Kiang Central",2015,0
"Lower River","Kiang Central",2016,0
"Lower River","Kiang Central",2017,0
"Lower River","Kiang Central",2018,0
"Lower River","Kiang Central",2019,0
"Lower River","Kiang Central",2020,0
"Lower River","Kiang Central",2021,1.24229979515076
"Lower River","Kiang Central",2022,4.47752285003662
"Lower River","Kiang Central",2023,6.88231754302979
"Lower River","Kiang Central",2024,2.14079833030701
"Lower River","Kiang East",2012,0
"Lower River","Kiang East",2013,0
"Lower River","Kiang East",2014,0
"Lower River","Kiang East",2015,0
"Lower River","Kiang East",2016,0
"Lower River","Kiang East",2017,0
"Lower River","Kiang East",2018,0
"Lower River","Kiang East",2019,0
"Lower River","Kiang East",2020,0
"Lower River","Kiang East",2021,0
"Lower River","Kiang East",2022,0
"Lower River","Kiang East",2023,2.98839807510376
"Lower River","Kiang East",2024,5.4285364151001
"Lower River","Kiang West",2012,0
"Lower River","Kiang West",2013,0.585495412349701
"Lower River","Kiang West",2014,0
"Lower River","Kiang West",2015,0
"Lower River","Kiang West",2016,0
"Lower River","Kiang West",2017,0
"Lower River","Kiang West",2018,0
"Lower River","Kiang West",2019,0
"Lower River","Kiang West",2020,0
"Lower River","Kiang West",2021,0.538414716720581
"Lower River","Kiang West",2022,3.85011839866638
"Lower River","Kiang West",2023,8.20437812805176
"Lower River","Kiang West",2024,5.47184371948242
"Maccarthy Island","Fulladu West",2012,1.95008146762848
"Maccarthy Island","Fulladu West",2013,0
"Maccarthy Island","Fulladu West",2014,0
"Maccarthy Island","Fulladu West",2015,0
"Maccarthy Island","Fulladu West",2016,0
"Maccarthy Island","Fulladu West",2017,0
"Maccarthy Island","Fulladu West",2018,0
"Maccarthy Island","Fulladu West",2019,2.80884075164795
"Maccarthy Island","Fulladu West",2020,3.67955207824707
"Maccarthy Island","Fulladu West",2021,4.34869384765625
"Maccarthy Island","Fulladu West",2022,19.3634757995605
"Maccarthy Island","Fulladu West",2023,36.1318244934082
"Maccarthy Island","Fulladu West",2024,39.1848945617676
"Maccarthy Island","Janjanbureh",2012,0
"Maccarthy Island","Janjanbureh",2013,0
"Maccarthy Island","Janjanbureh",2014,0
"Maccarthy Island","Janjanbureh",2015,0
"Maccarthy Island","Janjanbureh",2016,0
"Maccarthy Island","Janjanbureh",2017,0
"Maccarthy Island","Janjanbureh",2018,0
"Maccarthy Island","Janjanbureh",2019,1.04871118068695
"Maccarthy Island","Janjanbureh",2020,0.560519814491272
"Maccarthy Island","Janjanbureh",2021,1.36999523639679
"Maccarthy Island","Janjanbureh",2022,2.78133630752563
"Maccarthy Island","Janjanbureh",2023,3.96107077598572
"Maccarthy Island","Janjanbureh",2024,4.83769178390503
"Maccarthy Island","Lower Saloum",2012,0
"Maccarthy Island","Lower Saloum",2013,0
"Maccarthy Island","Lower Saloum",2014,0
"Maccarthy Island","Lower Saloum",2015,0
"Maccarthy Island","Lower Saloum",2016,0
"Maccarthy Island","Lower Saloum",2017,2.32853937149048
"Maccarthy Island","Lower Saloum",2018,0.676042437553406
"Maccarthy Island","Lower Saloum",2019,0
"Maccarthy Island","Lower Saloum",2020,0
"Maccarthy Island","Lower Saloum",2021,1.63790988922119
"Maccarthy Island","Lower Saloum",2022,6.62960338592529
"Maccarthy Island","Lower Saloum",2023,11.5463953018188
"Maccarthy Island","Lower Saloum",2024,11.6422491073608
"Maccarthy Island","Niamina Dankunku",2012,0
"Maccarthy Island","Niamina Dankunku",2013,0
"Maccarthy Island","Niamina Dankunku",2014,0
"Maccarthy Island","Niamina Dankunku",2015,0
"Maccarthy Island","Niamina Dankunku",2016,0
"Maccarthy Island","Niamina Dankunku",2017,0
"Maccarthy Island","Niamina Dankunku",2018,0
"Maccarthy Island","Niamina Dankunku",2019,0
"Maccarthy Island","Niamina Dankunku",2020,0
"Maccarthy Island","Niamina Dankunku",2021,0
"Maccarthy Island","Niamina Dankunku",2022,0
"Maccarthy Island","Niamina Dankunku",2023,0
"Maccarthy Island","Niamina Dankunku",2024,0
"Maccarthy Island","Niamina East",2012,0
"Maccarthy Island","Niamina East",2013,0
"Maccarthy Island","Niamina East",2014,0
"Maccarthy Island","Niamina East",2015,0
"Maccarthy Island","Niamina East",2016,0
"Maccarthy Island","Niamina East",2017,0
"Maccarthy Island","Niamina East",2018,0
"Maccarthy Island","Niamina East",2019,0
"Maccarthy Island","Niamina East",2020,0
"Maccarthy Island","Niamina East",2021,0
"Maccarthy Island","Niamina East",2022,1.22234427928925
"Maccarthy Island","Niamina East",2023,5.97855520248413
"Maccarthy Island","Niamina East",2024,7.7191915512085
"Maccarthy Island","Niamina West",2012,5.13969564437866
"Maccarthy Island","Niamina West",2013,0
"Maccarthy Island","Niamina West",2014,0
"Maccarthy Island","Niamina West",2015,0
"Maccarthy Island","Niamina West",2016,0
"Maccarthy Island","Niamina West",2017,0
"Maccarthy Island","Niamina West",2018,0
"Maccarthy Island","Niamina West",2019,0
"Maccarthy Island","Niamina West",2020,0
"Maccarthy Island","Niamina West",2021,0
"Maccarthy Island","Niamina West",2022,0
"Maccarthy Island","Niamina West",2023,0
"Maccarthy Island","Niamina West",2024,0
"Maccarthy Island","Niani",2012,0
"Maccarthy Island","Niani",2013,0
"Maccarthy Island","Niani",2014,0
"Maccarthy Island","Niani",2015,0
"Maccarthy Island","Niani",2016,0
"Maccarthy Island","Niani",2017,0
"Maccarthy Island","Niani",2018,0
"Maccarthy Island","Niani",2019,0
"Maccarthy Island","Niani",2020,0
"Maccarthy Island","Niani",2021,0.507664382457733
"Maccarthy Island","Niani",2022,3.25468015670776
"Maccarthy Island","Niani",2023,6.16310691833496
"Maccarthy Island","Niani",2024,5.23235893249512
"Maccarthy Island","Nianija",2012,0
"Maccarthy Island","Nianija",2013,0
"Maccarthy Island","Nianija",2014,0
"Maccarthy Island","Nianija",2015,0
"Maccarthy Island","Nianija",2016,0
"Maccarthy Island","Nianija",2017,0
"Maccarthy Island","Nianija",2018,0
"Maccarthy Island","Nianija",2019,0
"Maccarthy Island","Nianija",2020,0
"Maccarthy Island","Nianija",2021,0
"Maccarthy Island","Nianija",2022,0
