"NAME_1","date","ntl_mean"
"Al Butnan",2012,19954.615234375
"Al Butnan",2013,21752.125
"Al Butnan",2014,23462.498046875
"Al Butnan",2015,20790.751953125
"Al Butnan",2016,18187.46484375
"Al Butnan",2017,20994.90234375
"Al Butnan",2018,21819.5
"Al Butnan",2019,22896.224609375
"Al Butnan",2020,22835.423828125
"Al Butnan",2021,27793.0234375
"Al Butnan",2022,33637.2734375
"Al Butnan",2023,45242.7265625
"Al Butnan",2024,55159.296875
"Al Jabal al Akhdar",2012,26053.103515625
"Al Jabal al Akhdar",2013,26597.408203125
"Al Jabal al Akhdar",2014,28103.216796875
"Al Jabal al Akhdar",2015,24475.541015625
"Al Jabal al Akhdar",2016,22048.986328125
"Al Jabal al Akhdar",2017,25801.1953125
"Al Jabal al Akhdar",2018,27357.990234375
"Al Jabal al Akhdar",2019,27325.64453125
"Al Jabal al Akhdar",2020,23750.115234375
"Al Jabal al Akhdar",2021,28127.626953125
"Al Jabal al Akhdar",2022,30217.36328125
"Al Jabal al Akhdar",2023,41018.07421875
"Al Jabal al Akhdar",2024,49014.8671875
"Al Jabal al Gharbi",2012,32261.21484375
"Al Jabal al Gharbi",2013,34400.97265625
"Al Jabal al Gharbi",2014,35171.671875
"Al Jabal al Gharbi",2015,32093.154296875
"Al Jabal al Gharbi",2016,37636.7734375
"Al Jabal al Gharbi",2017,34933.921875
"Al Jabal al Gharbi",2018,34409.7734375
"Al Jabal al Gharbi",2019,31334.34765625
"Al Jabal al Gharbi",2020,30872.265625
"Al Jabal al Gharbi",2021,36694.0078125
"Al Jabal al Gharbi",2022,46741.37109375
"Al Jabal al Gharbi",2023,49048.23828125
"Al Jabal al Gharbi",2024,55866.90625
"Al Jifarah",2012,35929.0390625
"Al Jifarah",2013,39776.71875
"Al Jifarah",2014,33507.01171875
"Al Jifarah",2015,28142.626953125
"Al Jifarah",2016,31348.89453125
"Al Jifarah",2017,26897.998046875
"Al Jifarah",2018,27429.109375
"Al Jifarah",2019,21600.005859375
"Al Jifarah",2020,20608.705078125
"Al Jifarah",2021,30296.751953125
