"NAME_1","date","ntl_mean"
"Chaouia - Ouardigha",2012,47714.77734375
"Chaouia - Ouardigha",2013,49107.203125
"Chaouia - Ouardigha",2014,54247.39453125
"Chaouia - Ouardigha",2015,61577.7109375
"Chaouia - Ouardigha",2016,64395.578125
"Chaouia - Ouardigha",2017,70787.265625
"Chaouia - Ouardigha",2018,70517.6328125
"Chaouia - Ouardigha",2019,80686.140625
"Chaouia - Ouardigha",2020,81619.296875
"Chaouia - Ouardigha",2021,86943.2890625
"Chaouia - Ouardigha",2022,96273.390625
"Chaouia - Ouardigha",2023,102623.6875
"Chaouia - Ouardigha",2024,100651.4453125
"Doukkala - Abda",2012,34639.88671875
"Doukkala - Abda",2013,35666.24609375
"Doukkala - Abda",2014,37906.73046875
"Doukkala - Abda",2015,40998.46484375
"Doukkala - Abda",2016,42344.91796875
"Doukkala - Abda",2017,46571.20703125
"Doukkala - Abda",2018,49703.546875
"Doukkala - Abda",2019,53497.60546875
"Doukkala - Abda",2020,54763.3984375
"Doukkala - Abda",2021,56515.4140625
"Doukkala - Abda",2022,65638.3046875
"Doukkala - Abda",2023,71475.8046875
"Doukkala - Abda",2024,67415.7734375
"Fès - Boulemane",2012,34848.51171875
"Fès - Boulemane",2013,36822.578125
"Fès - Boulemane",2014,41612.3515625
"Fès - Boulemane",2015,43864.96484375
"Fès - Boulemane",2016,49744.42578125
"Fès - Boulemane",2017,54650.46875
"Fès - Boulemane",2018,52478.23828125
"Fès - Boulemane",2019,57201.87109375
"Fès - Boulemane",2020,57673.11328125
"Fès - Boulemane",2021,60996.3125
"Fès - Boulemane",2022,62805.08203125
"Fès - Boulemane",2023,64568.25
"Fès - Boulemane",2024,64032.9921875
"Gharb - Chrarda - Béni Hssen",2012,30199.087890625
"Gharb - Chrarda - Béni Hssen",2013,31522.98828125
"Gharb - Chrarda - Béni Hssen",2014,35334.63671875
"Gharb - Chrarda - Béni Hssen",2015,37090.52734375
"Gharb - Chrarda - Béni Hssen",2016,37860.08984375
"Gharb - Chrarda - Béni Hssen",2017,39449.6015625
"Gharb - Chrarda - Béni Hssen",2018,40390.51953125
