"NAME_1","NAME_2","date","ntl_mean"
"Chaouia - Ouardigha","Ben Slimane",2012,8019.76220703125
"Chaouia - Ouardigha","Ben Slimane",2013,8058.41796875
"Chaouia - Ouardigha","Ben Slimane",2014,9865.7568359375
"Chaouia - Ouardigha","Ben Slimane",2015,12303.365234375
"Chaouia - Ouardigha","Ben Slimane",2016,12805.0654296875
"Chaouia - Ouardigha","Ben Slimane",2017,13664.0927734375
"Chaouia - Ouardigha","Ben Slimane",2018,14365.376953125
"Chaouia - Ouardigha","Ben Slimane",2019,16299.533203125
"Chaouia - Ouardigha","Ben Slimane",2020,17251.55078125
"Chaouia - Ouardigha","Ben Slimane",2021,18699.392578125
"Chaouia - Ouardigha","Ben Slimane",2022,21118.51953125
"Chaouia - Ouardigha","Ben Slimane",2023,22415.189453125
"Chaouia - Ouardigha","Ben Slimane",2024,22205.224609375
"Chaouia - Ouardigha","Khouribga",2012,16456.568359375
"Chaouia - Ouardigha","Khouribga",2013,16388.0703125
"Chaouia - Ouardigha","Khouribga",2014,17306.77734375
"Chaouia - Ouardigha","Khouribga",2015,19483.3203125
"Chaouia - Ouardigha","Khouribga",2016,20432.951171875
"Chaouia - Ouardigha","Khouribga",2017,21939.78515625
"Chaouia - Ouardigha","Khouribga",2018,20326.453125
"Chaouia - Ouardigha","Khouribga",2019,23247.88671875
"Chaouia - Ouardigha","Khouribga",2020,24111.623046875
"Chaouia - Ouardigha","Khouribga",2021,24276.86328125
"Chaouia - Ouardigha","Khouribga",2022,25251.732421875
"Chaouia - Ouardigha","Khouribga",2023,26132.111328125
"Chaouia - Ouardigha","Khouribga",2024,26079.52734375
"Chaouia - Ouardigha","Settat",2012,23238.447265625
"Chaouia - Ouardigha","Settat",2013,24660.71484375
"Chaouia - Ouardigha","Settat",2014,27074.859375
"Chaouia - Ouardigha","Settat",2015,29791.025390625
"Chaouia - Ouardigha","Settat",2016,31157.560546875
"Chaouia - Ouardigha","Settat",2017,35183.38671875
"Chaouia - Ouardigha","Settat",2018,35825.8046875
"Chaouia - Ouardigha","Settat",2019,41138.71875
"Chaouia - Ouardigha","Settat",2020,40256.12109375
"Chaouia - Ouardigha","Settat",2021,43967.03125
"Chaouia - Ouardigha","Settat",2022,49903.140625
"Chaouia - Ouardigha","Settat",2023,54076.3828125
"Chaouia - Ouardigha","Settat",2024,52366.69140625
"Doukkala - Abda","El Jadida",2012,18342.810546875
"Doukkala - Abda","El Jadida",2013,18043.498046875
"Doukkala - Abda","El Jadida",2014,20524.17578125
"Doukkala - Abda","El Jadida",2015,22352.296875
"Doukkala - Abda","El Jadida",2016,22762.66796875
"Doukkala - Abda","El Jadida",2017,26142.083984375
"Doukkala - Abda","El Jadida",2018,28735.4296875
"Doukkala - Abda","El Jadida",2019,31670.787109375
"Doukkala - Abda","El Jadida",2020,33198.3828125
"Doukkala - Abda","El Jadida",2021,33825.12890625
"Doukkala - Abda","El Jadida",2022,40235.72265625
"Doukkala - Abda","El Jadida",2023,45344.37109375
"Doukkala - Abda","El Jadida",2024,42850.56640625
"Doukkala - Abda","Safi",2012,16297.076171875
"Doukkala - Abda","Safi",2013,17622.748046875
"Doukkala - Abda","Safi",2014,17382.5546875
"Doukkala - Abda","Safi",2015,18646.169921875
"Doukkala - Abda","Safi",2016,19582.25
"Doukkala - Abda","Safi",2017,20429.125
"Doukkala - Abda","Safi",2018,20968.1171875
"Doukkala - Abda","Safi",2019,21826.818359375
"Doukkala - Abda","Safi",2020,21565.015625
"Doukkala - Abda","Safi",2021,22690.283203125
"Doukkala - Abda","Safi",2022,25402.583984375
