"NAME_1","NAME_2","NAME_3","date","ntl_mean"
"Chaouia - Ouardigha","Ben Slimane","Ben Slimane",2012,3286.46362304688
"Chaouia - Ouardigha","Ben Slimane","Ben Slimane",2013,3282.3037109375
"Chaouia - Ouardigha","Ben Slimane","Ben Slimane",2014,3905.705078125
"Chaouia - Ouardigha","Ben Slimane","Ben Slimane",2015,4844.8583984375
"Chaouia - Ouardigha","Ben Slimane","Ben Slimane",2016,4647.84716796875
"Chaouia - Ouardigha","Ben Slimane","Ben Slimane",2017,5125.2392578125
"Chaouia - Ouardigha","Ben Slimane","Ben Slimane",2018,5257.42578125
"Chaouia - Ouardigha","Ben Slimane","Ben Slimane",2019,6138.96728515625
"Chaouia - Ouardigha","Ben Slimane","Ben Slimane",2020,6377.4208984375
"Chaouia - Ouardigha","Ben Slimane","Ben Slimane",2021,7086.2294921875
"Chaouia - Ouardigha","Ben Slimane","Ben Slimane",2022,8694.951171875
"Chaouia - Ouardigha","Ben Slimane","Ben Slimane",2023,9282.1650390625
"Chaouia - Ouardigha","Ben Slimane","Ben Slimane",2024,8658.59765625
"Chaouia - Ouardigha","Ben Slimane","Bouznika",2012,3214.9736328125
"Chaouia - Ouardigha","Ben Slimane","Bouznika",2013,3026.41015625
"Chaouia - Ouardigha","Ben Slimane","Bouznika",2014,3553.3251953125
"Chaouia - Ouardigha","Ben Slimane","Bouznika",2015,4665.72216796875
"Chaouia - Ouardigha","Ben Slimane","Bouznika",2016,5202.5537109375
"Chaouia - Ouardigha","Ben Slimane","Bouznika",2017,5358.4345703125
"Chaouia - Ouardigha","Ben Slimane","Bouznika",2018,5810.4189453125
"Chaouia - Ouardigha","Ben Slimane","Bouznika",2019,6402.9873046875
"Chaouia - Ouardigha","Ben Slimane","Bouznika",2020,6896.90869140625
"Chaouia - Ouardigha","Ben Slimane","Bouznika",2021,7441.056640625
"Chaouia - Ouardigha","Ben Slimane","Bouznika",2022,7968.0673828125
"Chaouia - Ouardigha","Ben Slimane","Bouznika",2023,8469.4609375
"Chaouia - Ouardigha","Ben Slimane","Bouznika",2024,8730.828125
"Chaouia - Ouardigha","Ben Slimane","NA (Ben Slimane)",2012,2.17106628417969
"Chaouia - Ouardigha","Ben Slimane","NA (Ben Slimane)",2013,0.0159700252115726
"Chaouia - Ouardigha","Ben Slimane","NA (Ben Slimane)",2014,0
