"NAME_1","date","ntl_mean"
"Al Jazirah",2012,4458.18798828125
"Al Jazirah",2013,4397.83984375
"Al Jazirah",2014,5037.552734375
"Al Jazirah",2015,6065.0107421875
"Al Jazirah",2016,6088.783203125
"Al Jazirah",2017,7522.3896484375
"Al Jazirah",2018,8577.9169921875
"Al Jazirah",2019,9578.927734375
"Al Jazirah",2020,11919.912109375
"Al Jazirah",2021,12149.2236328125
"Al Jazirah",2022,16095.68359375
"Al Jazirah",2023,16722.9609375
"Al Jazirah",2024,6201.955078125
"Al Qadarif",2012,2810.74536132812
"Al Qadarif",2013,3103.8623046875
"Al Qadarif",2014,2821.10620117188
"Al Qadarif",2015,2517.77587890625
"Al Qadarif",2016,2761.54467773438
"Al Qadarif",2017,2967.46923828125
"Al Qadarif",2018,3260.3544921875
"Al Qadarif",2019,3779.66064453125
"Al Qadarif",2020,4083.91723632812
"Al Qadarif",2021,3851.69287109375
"Al Qadarif",2022,4919.8671875
"Al Qadarif",2023,5834.8583984375
"Al Qadarif",2024,6067.31982421875
"Blue Nile",2012,675.1103515625
"Blue Nile",2013,669.769470214844
"Blue Nile",2014,732.726135253906
"Blue Nile",2015,846.636291503906
"Blue Nile",2016,948.064575195312
"Blue Nile",2017,1141.8310546875
"Blue Nile",2018,1436.96936035156
"Blue Nile",2019,1634.32629394531
"Blue Nile",2020,1897.83862304688
"Blue Nile",2021,1951.20654296875
"Blue Nile",2022,2105.35888671875
"Blue Nile",2023,2271.01318359375
"Blue Nile",2024,2493.3154296875
"Central Darfur",2012,198.109710693359
"Central Darfur",2013,200.770202636719
"Central Darfur",2014,216.409774780273
"Central Darfur",2015,256.684844970703
"Central Darfur",2016,226.988891601562
"Central Darfur",2017,245.917556762695
"Central Darfur",2018,252.307647705078
"Central Darfur",2019,214.328567504883
"Central Darfur",2020,314.291137695312
"Central Darfur",2021,90.4245529174805
"Central Darfur",2022,50.4584655761719
"Central Darfur",2023,20.5814781188965
"Central Darfur",2024,4.25557327270508
"East Darfur",2012,272.468902587891
"East Darfur",2013,3651.25073242188
"East Darfur",2014,1062.79711914062
"East Darfur",2015,1159.654296875
"East Darfur",2016,1280.57373046875
"East Darfur",2017,1473.61328125
"East Darfur",2018,1491.62475585938
"East Darfur",2019,960.613586425781
"East Darfur",2020,652.65478515625
"East Darfur",2021,704.102416992188
"East Darfur",2022,800.094055175781
"East Darfur",2023,619.228820800781
"East Darfur",2024,4.15026712417603
"Kassala",2012,2231.32543945312
"Kassala",2013,2106.32763671875
"Kassala",2014,2134.65380859375
"Kassala",2015,2462.98681640625
"Kassala",2016,2463.92041015625
"Kassala",2017,2786.12158203125
"Kassala",2018,2772.07592773438
"Kassala",2019,2692.87841796875
"Kassala",2020,3187.84008789062
"Kassala",2021,3302.3564453125
"Kassala",2022,4304.10888671875
"Kassala",2023,5472.28369140625
"Kassala",2024,6134.66162109375
"Khartoum",2012,57638.9609375
"Khartoum",2013,59928.53515625
"Khartoum",2014,65130.31640625
"Khartoum",2015,75501.953125
"Khartoum",2016,78346.0390625
"Khartoum",2017,85625.0859375
"Khartoum",2018,87875.2109375
"Khartoum",2019,89741.359375
"Khartoum",2020,99867.2578125
"Khartoum",2021,102336.3046875
"Khartoum",2022,116171.984375
"Khartoum",2023,89667.21875
"Khartoum",2024,31298.1015625
"North Darfur",2012,1755.08898925781
"North Darfur",2013,2009.44799804688
"North Darfur",2014,2162.98120117188
"North Darfur",2015,2264.568359375
"North Darfur",2016,2130.22143554688
"North Darfur",2017,2178.20336914062
"North Darfur",2018,1932.39819335938
"North Darfur",2019,2031.1416015625
"North Darfur",2020,2065.20043945312
"North Darfur",2021,1950.00134277344
"North Darfur",2022,2078.43334960938
"North Darfur",2023,1107.03491210938
"North Darfur",2024,4.10933113098145
"North Kurdufan",2012,1729.9970703125
"North Kurdufan",2013,1805.63806152344
"North Kurdufan",2014,1940.22607421875
"North Kurdufan",2015,2412.591796875
"North Kurdufan",2016,3073.31567382812
"North Kurdufan",2017,3621.9111328125
"North Kurdufan",2018,4127.57861328125
"North Kurdufan",2019,4520.79736328125
"North Kurdufan",2020,5203.19921875
"North Kurdufan",2021,5026.75048828125
"North Kurdufan",2022,5931.7490234375
"North Kurdufan",2023,5642.13916015625
"North Kurdufan",2024,2089.17236328125
"Northern",2012,2134.41137695312
"Northern",2013,2332.54150390625
"Northern",2014,2778.17114257812
"Northern",2015,3484.40795898438
"Northern",2016,4005.58056640625
"Northern",2017,5269.9541015625
"Northern",2018,5545.1357421875
"Northern",2019,6154.0107421875
"Northern",2020,7580.88818359375
"Northern",2021,8918.3271484375
"Northern",2022,10948.53515625
"Northern",2023,14950.75390625
"Northern",2024,21126.923828125
"Red Sea",2012,6581.60693359375
"Red Sea",2013,7049.951171875
"Red Sea",2014,7996.21044921875
"Red Sea",2015,9442.80859375
"Red Sea",2016,9803.986328125
"Red Sea",2017,9971.5234375
"Red Sea",2018,10927.609375
"Red Sea",2019,10579.9990234375
"Red Sea",2020,10588.75
"Red Sea",2021,10497.8349609375
"Red Sea",2022,11678.349609375
"Red Sea",2023,13701.2861328125
"Red Sea",2024,15798.5419921875
"River Nile",2012,3843.91821289062
"River Nile",2013,3657.37670898438
"River Nile",2014,3738.09692382812
"River Nile",2015,5323.34423828125
"River Nile",2016,6088.19677734375
"River Nile",2017,6957.9375
"River Nile",2018,7299.4765625
"River Nile",2019,7398.58544921875
"River Nile",2020,9150.451171875
"River Nile",2021,10913.1220703125
"River Nile",2022,14205.65234375
"River Nile",2023,19531.052734375
"River Nile",2024,20900.505859375
"Sennar",2012,1473.06103515625
"Sennar",2013,1600.97485351562
"Sennar",2014,1438.63806152344
"Sennar",2015,1751.66040039062
"Sennar",2016,1880.57702636719
"Sennar",2017,2553.61791992188
"Sennar",2018,3095.41625976562
"Sennar",2019,3557.20361328125
"Sennar",2020,4065.1484375
"Sennar",2021,3610.85327148438
"Sennar",2022,4723.67578125
"Sennar",2023,5352.92041015625
"Sennar",2024,3167.560546875
"South Darfur",2012,1182.58898925781
"South Darfur",2013,1015.41223144531
"South Darfur",2014,991.321960449219
"South Darfur",2015,1147.396484375
"South Darfur",2016,1268.3115234375
"South Darfur",2017,1489.72692871094
"South Darfur",2018,1623.80810546875
"South Darfur",2019,2081.92724609375
"South Darfur",2020,2103.38842773438
"South Darfur",2021,2386.28466796875
"South Darfur",2022,3080.77685546875
"South Darfur",2023,2036.9912109375
"South Darfur",2024,44.0905838012695
"South Kurdufan",2012,360.376831054688
"South Kurdufan",2013,420.285736083984
"South Kurdufan",2014,433.15673828125
"South Kurdufan",2015,420.385345458984
"South Kurdufan",2016,494.403198242188
"South Kurdufan",2017,536.252807617188
"South Kurdufan",2018,529.037292480469
"South Kurdufan",2019,713.088195800781
"South Kurdufan",2020,878.182189941406
"South Kurdufan",2021,919.065856933594
"South Kurdufan",2022,1084.44445800781
"South Kurdufan",2023,849.505798339844
"South Kurdufan",2024,170.087097167969
"West Darfur",2012,767.185302734375
"West Darfur",2013,589.5859375
"West Darfur",2014,620.348510742188
"West Darfur",2015,1105.97485351562
"West Darfur",2016,1265.08813476562
"West Darfur",2017,1257.47424316406
"West Darfur",2018,1132.38317871094
"West Darfur",2019,919.180480957031
"West Darfur",2020,924.949096679688
"West Darfur",2021,874.438659667969
"West Darfur",2022,936.369750976562
"West Darfur",2023,638.92529296875
"West Darfur",2024,7.73209428787231
"West Kurdufan",2012,22815.9296875
"West Kurdufan",2013,25274.763671875
"West Kurdufan",2014,28679.744140625
"West Kurdufan",2015,40044.34375
"West Kurdufan",2016,32371.11328125
"West Kurdufan",2017,30969.654296875
"West Kurdufan",2018,40240.078125
"West Kurdufan",2019,28746.205078125
"West Kurdufan",2020,21704.779296875
"West Kurdufan",2021,17498.275390625
"West Kurdufan",2022,18094.072265625
"West Kurdufan",2023,9040.93359375
"West Kurdufan",2024,1306.55493164062
"White Nile",2012,4248.4677734375
"White Nile",2013,4319.51708984375
"White Nile",2014,4147.392578125
"White Nile",2015,4633.56396484375
"White Nile",2016,4687.2880859375
"White Nile",2017,5128.58349609375
"White Nile",2018,5253.89404296875
"White Nile",2019,5435.775390625
"White Nile",2020,5776.1552734375
"White Nile",2021,5689.3603515625
"White Nile",2022,6771.02490234375
"White Nile",2023,7202.775390625
"White Nile",2024,6110.64404296875
