"NAME_1","NAME_2","date","ntl_mean"
"Al Jazirah","Al Kamlin",2012,282.189025878906
"Al Jazirah","Al Kamlin",2013,272.339630126953
"Al Jazirah","Al Kamlin",2014,364.153717041016
"Al Jazirah","Al Kamlin",2015,454.639617919922
"Al Jazirah","Al Kamlin",2016,449.413360595703
"Al Jazirah","Al Kamlin",2017,540.183654785156
"Al Jazirah","Al Kamlin",2018,652.180297851562
"Al Jazirah","Al Kamlin",2019,828.016418457031
"Al Jazirah","Al Kamlin",2020,1179.49560546875
"Al Jazirah","Al Kamlin",2021,1261.89477539062
"Al Jazirah","Al Kamlin",2022,1688.79577636719
"Al Jazirah","Al Kamlin",2023,1425.56860351562
"Al Jazirah","Al Kamlin",2024,463.864074707031
"Al Jazirah","Al Mahagil",2012,100.723777770996
"Al Jazirah","Al Mahagil",2013,96.577018737793
"Al Jazirah","Al Mahagil",2014,133.715560913086
"Al Jazirah","Al Mahagil",2015,192.730499267578
"Al Jazirah","Al Mahagil",2016,190.589630126953
"Al Jazirah","Al Mahagil",2017,235.966720581055
"Al Jazirah","Al Mahagil",2018,286.731964111328
"Al Jazirah","Al Mahagil",2019,352.370849609375
"Al Jazirah","Al Mahagil",2020,522.158874511719
"Al Jazirah","Al Mahagil",2021,519.859008789062
"Al Jazirah","Al Mahagil",2022,704.043273925781
"Al Jazirah","Al Mahagil",2023,716.860107421875
"Al Jazirah","Al Mahagil",2024,103.478317260742
"Al Jazirah","East al Gazera",2012,2478.37890625
"Al Jazirah","East al Gazera",2013,2496.46948242188
"Al Jazirah","East al Gazera",2014,2584.572265625
"Al Jazirah","East al Gazera",2015,3079.56762695312
"Al Jazirah","East al Gazera",2016,3243.76953125
"Al Jazirah","East al Gazera",2017,4087.78198242188
"Al Jazirah","East al Gazera",2018,4621.77685546875
"Al Jazirah","East al Gazera",2019,4700.1123046875
"Al Jazirah","East al Gazera",2020,5257.63134765625
"Al Jazirah","East al Gazera",2021,5291.912109375
"Al Jazirah","East al Gazera",2022,6722.90380859375
"Al Jazirah","East al Gazera",2023,7232.9541015625
"Al Jazirah","East al Gazera",2024,2537.53173828125
"Al Jazirah","North al Gazera",2012,529.359191894531
"Al Jazirah","North al Gazera",2013,531.674743652344
"Al Jazirah","North al Gazera",2014,647.725036621094
"Al Jazirah","North al Gazera",2015,750.596069335938
"Al Jazirah","North al Gazera",2016,762.082214355469
"Al Jazirah","North al Gazera",2017,905.55810546875
"Al Jazirah","North al Gazera",2018,1049.79333496094
"Al Jazirah","North al Gazera",2019,1264.61596679688
"Al Jazirah","North al Gazera",2020,1653.75939941406
"Al Jazirah","North al Gazera",2021,1701.04223632812
"Al Jazirah","North al Gazera",2022,2252.35034179688
"Al Jazirah","North al Gazera",2023,2226.38037109375
"Al Jazirah","North al Gazera",2024,1359.02673339844
"Al Jazirah","Sharq al Gazera",2012,691.123046875
"Al Jazirah","Sharq al Gazera",2013,625.549255371094
"Al Jazirah","Sharq al Gazera",2014,864.060363769531
"Al Jazirah","Sharq al Gazera",2015,978.038024902344
"Al Jazirah","Sharq al Gazera",2016,793.91796875
"Al Jazirah","Sharq al Gazera",2017,982.761596679688
"Al Jazirah","Sharq al Gazera",2018,1105.95361328125
"Al Jazirah","Sharq al Gazera",2019,1403.72229003906
"Al Jazirah","Sharq al Gazera",2020,1777.65307617188
"Al Jazirah","Sharq al Gazera",2021,1869.966796875
"Al Jazirah","Sharq al Gazera",2022,2589.39599609375
"Al Jazirah","Sharq al Gazera",2023,2856.88256835938
"Al Jazirah","Sharq al Gazera",2024,1287.357421875
"Al Jazirah","South al Gazera",2012,101.970245361328
"Al Jazirah","South al Gazera",2013,97.6962661743164
"Al Jazirah","South al Gazera",2014,128.761245727539
"Al Jazirah","South al Gazera",2015,177.764175415039
"Al Jazirah","South al Gazera",2016,189.742523193359
"Al Jazirah","South al Gazera",2017,228.887130737305
"Al Jazirah","South al Gazera",2018,264.650115966797
"Al Jazirah","South al Gazera",2019,309.412994384766
"Al Jazirah","South al Gazera",2020,514.867248535156
"Al Jazirah","South al Gazera",2021,471.789672851562
"Al Jazirah","South al Gazera",2022,601.913269042969
"Al Jazirah","South al Gazera",2023,611.752319335938
"Al Jazirah","South al Gazera",2024,192.751876831055
"Al Jazirah","Um Al Gura",2012,274.443664550781
"Al Jazirah","Um Al Gura",2013,277.533569335938
"Al Jazirah","Um Al Gura",2014,314.564422607422
"Al Jazirah","Um Al Gura",2015,431.674713134766
"Al Jazirah","Um Al Gura",2016,459.268188476562
"Al Jazirah","Um Al Gura",2017,541.250549316406
"Al Jazirah","Um Al Gura",2018,596.830383300781
"Al Jazirah","Um Al Gura",2019,720.676574707031
"Al Jazirah","Um Al Gura",2020,1014.34655761719
"Al Jazirah","Um Al Gura",2021,1032.75866699219
"Al Jazirah","Um Al Gura",2022,1536.28112792969
"Al Jazirah","Um Al Gura",2023,1652.5634765625
"Al Jazirah","Um Al Gura",2024,257.945129394531
"Al Qadarif","Al Faw",2012,43.0558967590332
"Al Qadarif","Al Faw",2013,29.541431427002
"Al Qadarif","Al Faw",2014,38.2692222595215
"Al Qadarif","Al Faw",2015,61.3353538513184
"Al Qadarif","Al Faw",2016,110.592269897461
"Al Qadarif","Al Faw",2017,98.03515625
"Al Qadarif","Al Faw",2018,107.763534545898
"Al Qadarif","Al Faw",2019,117.369369506836
"Al Qadarif","Al Faw",2020,114.062660217285
"Al Qadarif","Al Faw",2021,117.929908752441
"Al Qadarif","Al Faw",2022,167.03141784668
"Al Qadarif","Al Faw",2023,211.2880859375
"Al Qadarif","Al Faw",2024,209.420150756836
"Al Qadarif","Al Fushqa",2012,1825.55017089844
"Al Qadarif","Al Fushqa",2013,1976.77795410156
"Al Qadarif","Al Fushqa",2014,1428.20593261719
"Al Qadarif","Al Fushqa",2015,801.846252441406
"Al Qadarif","Al Fushqa",2016,768.244018554688
"Al Qadarif","Al Fushqa",2017,689.111389160156
"Al Qadarif","Al Fushqa",2018,770.697937011719
"Al Qadarif","Al Fushqa",2019,826.909545898438
"Al Qadarif","Al Fushqa",2020,730.785766601562
"Al Qadarif","Al Fushqa",2021,663.556274414062
"Al Qadarif","Al Fushqa",2022,785.35009765625
"Al Qadarif","Al Fushqa",2023,839.515197753906
"Al Qadarif","Al Fushqa",2024,831.90673828125
"Al Qadarif","Al Gadaref",2012,782.148254394531
"Al Qadarif","Al Gadaref",2013,944.152770996094
"Al Qadarif","Al Gadaref",2014,1039.18408203125
"Al Qadarif","Al Gadaref",2015,1218.47021484375
"Al Qadarif","Al Gadaref",2016,1291.81164550781
"Al Qadarif","Al Gadaref",2017,1367.27551269531
"Al Qadarif","Al Gadaref",2018,1560.36193847656
"Al Qadarif","Al Gadaref",2019,1848.28955078125
"Al Qadarif","Al Gadaref",2020,2302.40356445312
"Al Qadarif","Al Gadaref",2021,2206.01098632812
"Al Qadarif","Al Gadaref",2022,2921.77368164062
"Al Qadarif","Al Gadaref",2023,3523.63549804688
"Al Qadarif","Al Gadaref",2024,3740.8095703125
"Al Qadarif","Al Galabat",2012,6.93572330474854
"Al Qadarif","Al Galabat",2013,14.492449760437
"Al Qadarif","Al Galabat",2014,27.8176975250244
"Al Qadarif","Al Galabat",2015,34.7631759643555
"Al Qadarif","Al Galabat",2016,159.460494995117
"Al Qadarif","Al Galabat",2017,170.049758911133
"Al Qadarif","Al Galabat",2018,174.922973632812
"Al Qadarif","Al Galabat",2019,220.910400390625
"Al Qadarif","Al Galabat",2020,210.986099243164
"Al Qadarif","Al Galabat",2021,151.860717773438
"Al Qadarif","Al Galabat",2022,157.693649291992
"Al Qadarif","Al Galabat",2023,217.346984863281
"Al Qadarif","Al Galabat",2024,214.62109375
"Al Qadarif","Al Rahd",2012,153.055267333984
"Al Qadarif","Al Rahd",2013,138.897583007812
"Al Qadarif","Al Rahd",2014,287.629150390625
"Al Qadarif","Al Rahd",2015,401.360900878906
"Al Qadarif","Al Rahd",2016,431.436126708984
"Al Qadarif","Al Rahd",2017,642.997497558594
"Al Qadarif","Al Rahd",2018,646.607971191406
"Al Qadarif","Al Rahd",2019,766.181640625
"Al Qadarif","Al Rahd",2020,725.679077148438
"Al Qadarif","Al Rahd",2021,712.335144042969
"Al Qadarif","Al Rahd",2022,888.018493652344
"Al Qadarif","Al Rahd",2023,1043.07263183594
"Al Qadarif","Al Rahd",2024,1070.56237792969
"Blue Nile","Ad Damazin",2012,399.433746337891
"Blue Nile","Ad Damazin",2013,405.973205566406
"Blue Nile","Ad Damazin",2014,442.305999755859
"Blue Nile","Ad Damazin",2015,519.435119628906
"Blue Nile","Ad Damazin",2016,580.219299316406
"Blue Nile","Ad Damazin",2017,760.913696289062
"Blue Nile","Ad Damazin",2018,981.164672851562
"Blue Nile","Ad Damazin",2019,1074.40161132812
"Blue Nile","Ad Damazin",2020,1265.04650878906
"Blue Nile","Ad Damazin",2021,1300.27954101562
"Blue Nile","Ad Damazin",2022,1482.38806152344
"Blue Nile","Ad Damazin",2023,1706.66284179688
"Blue Nile","Ad Damazin",2024,1871.060546875
"Blue Nile","Al Kurumik",2012,0
"Blue Nile","Al Kurumik",2013,0
"Blue Nile","Al Kurumik",2014,0
"Blue Nile","Al Kurumik",2015,0
"Blue Nile","Al Kurumik",2016,0
"Blue Nile","Al Kurumik",2017,0
"Blue Nile","Al Kurumik",2018,0
"Blue Nile","Al Kurumik",2019,0
"Blue Nile","Al Kurumik",2020,0
"Blue Nile","Al Kurumik",2021,0
"Blue Nile","Al Kurumik",2022,0
"Blue Nile","Al Kurumik",2023,0
"Blue Nile","Al Kurumik",2024,0
"Blue Nile","Al Roseires",2012,275.676605224609
"Blue Nile","Al Roseires",2013,263.796295166016
"Blue Nile","Al Roseires",2014,290.420104980469
"Blue Nile","Al Roseires",2015,327.201171875
"Blue Nile","Al Roseires",2016,367.845245361328
"Blue Nile","Al Roseires",2017,379.286254882812
"Blue Nile","Al Roseires",2018,455.700958251953
"Blue Nile","Al Roseires",2019,559.697021484375
"Blue Nile","Al Roseires",2020,632.593811035156
"Blue Nile","Al Roseires",2021,650.730773925781
"Blue Nile","Al Roseires",2022,620.047485351562
"Blue Nile","Al Roseires",2023,563.691345214844
"Blue Nile","Al Roseires",2024,621.301940917969
"Blue Nile","Baw",2012,0
"Blue Nile","Baw",2013,0
"Blue Nile","Baw",2014,0
"Blue Nile","Baw",2015,0
"Blue Nile","Baw",2016,0
"Blue Nile","Baw",2017,0
"Blue Nile","Baw",2018,0
"Blue Nile","Baw",2019,0
"Blue Nile","Baw",2020,0
"Blue Nile","Baw",2021,0
"Blue Nile","Baw",2022,0
"Blue Nile","Baw",2023,0
"Blue Nile","Baw",2024,0
"Blue Nile","Geissan",2012,0
"Blue Nile","Geissan",2013,0
"Blue Nile","Geissan",2014,0
"Blue Nile","Geissan",2015,0
"Blue Nile","Geissan",2016,0
"Blue Nile","Geissan",2017,1.6311194896698
"Blue Nile","Geissan",2018,0.103710047900677
"Blue Nile","Geissan",2019,0.227601110935211
"Blue Nile","Geissan",2020,0.198280394077301
"Blue Nile","Geissan",2021,0.196169927716255
"Blue Nile","Geissan",2022,2.92323875427246
"Blue Nile","Geissan",2023,0.658960521221161
"Blue Nile","Geissan",2024,0.952935934066772
"Central Darfur","Mukjar",2012,30.1327457427979
"Central Darfur","Mukjar",2013,36.4731330871582
"Central Darfur","Mukjar",2014,30.3252010345459
"Central Darfur","Mukjar",2015,32.6441650390625
"Central Darfur","Mukjar",2016,28.3724899291992
"Central Darfur","Mukjar",2017,28.3547706604004
"Central Darfur","Mukjar",2018,13.7071208953857
"Central Darfur","Mukjar",2019,0
"Central Darfur","Mukjar",2020,0
"Central Darfur","Mukjar",2021,0.549990594387054
"Central Darfur","Mukjar",2022,4.99483585357666
"Central Darfur","Mukjar",2023,1.48723781108856
"Central Darfur","Mukjar",2024,0
"Central Darfur","Zallingi",2012,167.976959228516
"Central Darfur","Zallingi",2013,164.297058105469
"Central Darfur","Zallingi",2014,186.084579467773
"Central Darfur","Zallingi",2015,224.040679931641
"Central Darfur","Zallingi",2016,198.616394042969
"Central Darfur","Zallingi",2017,217.562789916992
"Central Darfur","Zallingi",2018,238.600524902344
"Central Darfur","Zallingi",2019,214.328567504883
"Central Darfur","Zallingi",2020,314.291137695312
"Central Darfur","Zallingi",2021,89.8745651245117
"Central Darfur","Zallingi",2022,45.4636306762695
"Central Darfur","Zallingi",2023,19.0942401885986
"Central Darfur","Zallingi",2024,4.25557327270508
"East Darfur","Al Deain",2012,104.024925231934
"East Darfur","Al Deain",2013,3394.65161132812
"East Darfur","Al Deain",2014,746.068481445312
"East Darfur","Al Deain",2015,813.352111816406
"East Darfur","Al Deain",2016,975.305847167969
"East Darfur","Al Deain",2017,1189.28125
"East Darfur","Al Deain",2018,1224.57885742188
"East Darfur","Al Deain",2019,796.721496582031
"East Darfur","Al Deain",2020,633.015991210938
"East Darfur","Al Deain",2021,692.609497070312
"East Darfur","Al Deain",2022,772.364929199219
"East Darfur","Al Deain",2023,601.338195800781
"East Darfur","Al Deain",2024,4.15026712417603
"East Darfur","Nyala",2012,168.444000244141
"East Darfur","Nyala",2013,256.598999023438
"East Darfur","Nyala",2014,316.728607177734
"East Darfur","Nyala",2015,346.302185058594
"East Darfur","Nyala",2016,305.267883300781
"East Darfur","Nyala",2017,284.331970214844
"East Darfur","Nyala",2018,267.045867919922
"East Darfur","Nyala",2019,163.892074584961
"East Darfur","Nyala",2020,19.6388187408447
"East Darfur","Nyala",2021,11.4929294586182
"East Darfur","Nyala",2022,27.7291278839111
"East Darfur","Nyala",2023,17.8906345367432
"East Darfur","Nyala",2024,0
"Kassala","Al Gash",2012,25.8744487762451
"Kassala","Al Gash",2013,14.259204864502
"Kassala","Al Gash",2014,7.16505813598633
"Kassala","Al Gash",2015,13.5243673324585
"Kassala","Al Gash",2016,15.7575740814209
"Kassala","Al Gash",2017,17.3405437469482
"Kassala","Al Gash",2018,19.5533332824707
"Kassala","Al Gash",2019,50.4453659057617
"Kassala","Al Gash",2020,77.0772323608398
"Kassala","Al Gash",2021,64.5954208374023
"Kassala","Al Gash",2022,64.3923645019531
"Kassala","Al Gash",2023,106.061416625977
"Kassala","Al Gash",2024,95.0584106445312
"Kassala","Hamashkorieb",2012,0
"Kassala","Hamashkorieb",2013,0
"Kassala","Hamashkorieb",2014,0
"Kassala","Hamashkorieb",2015,0
"Kassala","Hamashkorieb",2016,0
"Kassala","Hamashkorieb",2017,0.570802330970764
"Kassala","Hamashkorieb",2018,0
"Kassala","Hamashkorieb",2019,0
"Kassala","Hamashkorieb",2020,0
"Kassala","Hamashkorieb",2021,0
"Kassala","Hamashkorieb",2022,0
"Kassala","Hamashkorieb",2023,0
"Kassala","Hamashkorieb",2024,0
"Kassala","Kassala",2012,1589.73291015625
"Kassala","Kassala",2013,1546.41650390625
"Kassala","Kassala",2014,1563.81762695312
"Kassala","Kassala",2015,1817.833984375
"Kassala","Kassala",2016,1838.48168945312
"Kassala","Kassala",2017,2117.89721679688
"Kassala","Kassala",2018,2051.61791992188
"Kassala","Kassala",2019,1896.28149414062
"Kassala","Kassala",2020,2249.39697265625
"Kassala","Kassala",2021,2350.65771484375
"Kassala","Kassala",2022,3086.453125
"Kassala","Kassala",2023,3890.62939453125
"Kassala","Kassala",2024,4478.68115234375
"Kassala","Nahr Atbara",2012,615.718017578125
"Kassala","Nahr Atbara",2013,545.652038574219
"Kassala","Nahr Atbara",2014,563.671142578125
"Kassala","Nahr Atbara",2015,631.628479003906
"Kassala","Nahr Atbara",2016,609.152465820312
"Kassala","Nahr Atbara",2017,643.743408203125
"Kassala","Nahr Atbara",2018,694.36669921875
"Kassala","Nahr Atbara",2019,741.324401855469
"Kassala","Nahr Atbara",2020,853.366638183594
"Kassala","Nahr Atbara",2021,874.198181152344
"Kassala","Nahr Atbara",2022,1127.529296875
"Kassala","Nahr Atbara",2023,1441.77783203125
"Kassala","Nahr Atbara",2024,1537.13232421875
"Kassala","Seteet",2012,0
"Kassala","Seteet",2013,0
"Kassala","Seteet",2014,0
"Kassala","Seteet",2015,0
"Kassala","Seteet",2016,0.528678894042969
"Kassala","Seteet",2017,6.56972551345825
"Kassala","Seteet",2018,6.53800678253174
"Kassala","Seteet",2019,4.82724523544312
"Kassala","Seteet",2020,7.99930047988892
"Kassala","Seteet",2021,12.905234336853
"Kassala","Seteet",2022,25.7341690063477
"Kassala","Seteet",2023,33.8153762817383
"Kassala","Seteet",2024,23.7896728515625
"Khartoum","Karary",2012,127.80086517334
"Khartoum","Karary",2013,139.426986694336
"Khartoum","Karary",2014,167.713073730469
"Khartoum","Karary",2015,216.804718017578
"Khartoum","Karary",2016,184.205505371094
"Khartoum","Karary",2017,211.552795410156
"Khartoum","Karary",2018,198.385238647461
"Khartoum","Karary",2019,221.745574951172
"Khartoum","Karary",2020,315.838470458984
"Khartoum","Karary",2021,324.587158203125
"Khartoum","Karary",2022,435.882751464844
"Khartoum","Karary",2023,420.849273681641
"Khartoum","Karary",2024,395.34765625
"Khartoum","Khartoum",2012,24425.185546875
"Khartoum","Khartoum",2013,25355.654296875
"Khartoum","Khartoum",2014,26519.33984375
"Khartoum","Khartoum",2015,30515.349609375
"Khartoum","Khartoum",2016,30913.9375
"Khartoum","Khartoum",2017,33216.18359375
"Khartoum","Khartoum",2018,32796.37109375
"Khartoum","Khartoum",2019,31916.3203125
"Khartoum","Khartoum",2020,33032.10546875
"Khartoum","Khartoum",2021,33168.6953125
"Khartoum","Khartoum",2022,36672.09375
"Khartoum","Khartoum",2023,23335.716796875
"Khartoum","Khartoum",2024,4612.97021484375
"Khartoum","Khartoum Bahri",2012,17586.431640625
"Khartoum","Khartoum Bahri",2013,18398.6640625
"Khartoum","Khartoum Bahri",2014,19771.783203125
"Khartoum","Khartoum Bahri",2015,22299.080078125
"Khartoum","Khartoum Bahri",2016,23627.3828125
"Khartoum","Khartoum Bahri",2017,25526.814453125
"Khartoum","Khartoum Bahri",2018,26910.41015625
"Khartoum","Khartoum Bahri",2019,27066.09765625
"Khartoum","Khartoum Bahri",2020,31204.103515625
"Khartoum","Khartoum Bahri",2021,32076.591796875
