"NAME_1","NAME_2","NAME_3","date","ntl_mean"
"Al Jazirah","Al Kamlin","El Kamlin",2012,120.44002532959
"Al Jazirah","Al Kamlin","El Kamlin",2013,124.670455932617
"Al Jazirah","Al Kamlin","El Kamlin",2014,159.526382446289
"Al Jazirah","Al Kamlin","El Kamlin",2015,183.881774902344
"Al Jazirah","Al Kamlin","El Kamlin",2016,153.947906494141
"Al Jazirah","Al Kamlin","El Kamlin",2017,200.94319152832
"Al Jazirah","Al Kamlin","El Kamlin",2018,255.580459594727
"Al Jazirah","Al Kamlin","El Kamlin",2019,337.143951416016
"Al Jazirah","Al Kamlin","El Kamlin",2020,484.385437011719
"Al Jazirah","Al Kamlin","El Kamlin",2021,546.959228515625
"Al Jazirah","Al Kamlin","El Kamlin",2022,743.05712890625
"Al Jazirah","Al Kamlin","El Kamlin",2023,678.711975097656
"Al Jazirah","Al Kamlin","El Kamlin",2024,268.262664794922
"Al Jazirah","Al Kamlin","El Masid",2012,49.136157989502
"Al Jazirah","Al Kamlin","El Masid",2013,38.138973236084
"Al Jazirah","Al Kamlin","El Masid",2014,55.5568504333496
"Al Jazirah","Al Kamlin","El Masid",2015,71.0925140380859
"Al Jazirah","Al Kamlin","El Masid",2016,76.6215667724609
"Al Jazirah","Al Kamlin","El Masid",2017,84.265007019043
"Al Jazirah","Al Kamlin","El Masid",2018,100.721694946289
"Al Jazirah","Al Kamlin","El Masid",2019,126.342491149902
"Al Jazirah","Al Kamlin","El Masid",2020,194.091567993164
"Al Jazirah","Al Kamlin","El Masid",2021,207.403656005859
"Al Jazirah","Al Kamlin","El Masid",2022,278.667266845703
"Al Jazirah","Al Kamlin","El Masid",2023,198.373062133789
"Al Jazirah","Al Kamlin","El Masid",2024,35.2887687683105
"Al Jazirah","Al Kamlin","El Mi Eiliq",2012,21.5438213348389
"Al Jazirah","Al Kamlin","El Mi Eiliq",2013,17.4392032623291
"Al Jazirah","Al Kamlin","El Mi Eiliq",2014,27.5546646118164
"Al Jazirah","Al Kamlin","El Mi Eiliq",2015,41.0369262695312
"Al Jazirah","Al Kamlin","El Mi Eiliq",2016,49.7851829528809
"Al Jazirah","Al Kamlin","El Mi Eiliq",2017,60.9596328735352
"Al Jazirah","Al Kamlin","El Mi Eiliq",2018,78.2442474365234
"Al Jazirah","Al Kamlin","El Mi Eiliq",2019,99.244270324707
"Al Jazirah","Al Kamlin","El Mi Eiliq",2020,164.612976074219
"Al Jazirah","Al Kamlin","El Mi Eiliq",2021,193.874542236328
"Al Jazirah","Al Kamlin","El Mi Eiliq",2022,286.066101074219
"Al Jazirah","Al Kamlin","El Mi Eiliq",2023,282.399871826172
"Al Jazirah","Al Kamlin","El Mi Eiliq",2024,47.4509544372559
"Al Jazirah","Al Kamlin","Es Sideira",2012,91.0690307617188
"Al Jazirah","Al Kamlin","Es Sideira",2013,92.0909957885742
"Al Jazirah","Al Kamlin","Es Sideira",2014,121.515830993652
"Al Jazirah","Al Kamlin","Es Sideira",2015,158.628402709961
"Al Jazirah","Al Kamlin","Es Sideira",2016,169.058700561523
"Al Jazirah","Al Kamlin","Es Sideira",2017,194.015838623047
"Al Jazirah","Al Kamlin","Es Sideira",2018,217.633926391602
"Al Jazirah","Al Kamlin","Es Sideira",2019,265.285705566406
"Al Jazirah","Al Kamlin","Es Sideira",2020,336.405578613281
"Al Jazirah","Al Kamlin","Es Sideira",2021,313.657318115234
"Al Jazirah","Al Kamlin","Es Sideira",2022,381.005279541016
"Al Jazirah","Al Kamlin","Es Sideira",2023,266.083709716797
"Al Jazirah","Al Kamlin","Es Sideira",2024,112.861686706543
"Al Jazirah","Al Mahagil","Al Azazi",2012,4.84511184692383
"Al Jazirah","Al Mahagil","Al Azazi",2013,5.78200531005859
"Al Jazirah","Al Mahagil","Al Azazi",2014,4.06180620193481
"Al Jazirah","Al Mahagil","Al Azazi",2015,8.8122091293335
"Al Jazirah","Al Mahagil","Al Azazi",2016,6.95307970046997
"Al Jazirah","Al Mahagil","Al Azazi",2017,12.3728876113892
"Al Jazirah","Al Mahagil","Al Azazi",2018,16.5762176513672
"Al Jazirah","Al Mahagil","Al Azazi",2019,20.8522815704346
"Al Jazirah","Al Mahagil","Al Azazi",2020,24.6966381072998
"Al Jazirah","Al Mahagil","Al Azazi",2021,30.5374660491943
"Al Jazirah","Al Mahagil","Al Azazi",2022,49.7478103637695
"Al Jazirah","Al Mahagil","Al Azazi",2023,42.6940231323242
"Al Jazirah","Al Mahagil","Al Azazi",2024,0
"Al Jazirah","Al Mahagil","El Bura",2012,3.91245889663696
"Al Jazirah","Al Mahagil","El Bura",2013,4.69683122634888
"Al Jazirah","Al Mahagil","El Bura",2014,4.94898366928101
"Al Jazirah","Al Mahagil","El Bura",2015,12.0921955108643
"Al Jazirah","Al Mahagil","El Bura",2016,6.60407209396362
"Al Jazirah","Al Mahagil","El Bura",2017,15.1854667663574
"Al Jazirah","Al Mahagil","El Bura",2018,17.259593963623
"Al Jazirah","Al Mahagil","El Bura",2019,18.640495300293
"Al Jazirah","Al Mahagil","El Bura",2020,26.3347301483154
"Al Jazirah","Al Mahagil","El Bura",2021,15.0995893478394
"Al Jazirah","Al Mahagil","El Bura",2022,29.5411529541016
"Al Jazirah","Al Mahagil","El Bura",2023,19.8443565368652
"Al Jazirah","Al Mahagil","El Bura",2024,0
"Al Jazirah","Al Mahagil","El Huda",2012,9.80266666412354
"Al Jazirah","Al Mahagil","El Huda",2013,8.11779594421387
"Al Jazirah","Al Mahagil","El Huda",2014,7.13208389282227
"Al Jazirah","Al Mahagil","El Huda",2015,14.2054986953735
"Al Jazirah","Al Mahagil","El Huda",2016,12.1966848373413
"Al Jazirah","Al Mahagil","El Huda",2017,14.5546436309814
"Al Jazirah","Al Mahagil","El Huda",2018,17.0229206085205
"Al Jazirah","Al Mahagil","El Huda",2019,31.711109161377
"Al Jazirah","Al Mahagil","El Huda",2020,41.4738159179688
"Al Jazirah","Al Mahagil","El Huda",2021,45.4044494628906
"Al Jazirah","Al Mahagil","El Huda",2022,82.5995254516602
"Al Jazirah","Al Mahagil","El Huda",2023,80.1485290527344
"Al Jazirah","Al Mahagil","El Huda",2024,3.91757726669312
"Al Jazirah","Al Mahagil","El Kereimet",2012,65.5261688232422
"Al Jazirah","Al Mahagil","El Kereimet",2013,65.5932006835938
"Al Jazirah","Al Mahagil","El Kereimet",2014,96.2478637695312
"Al Jazirah","Al Mahagil","El Kereimet",2015,110.377952575684
"Al Jazirah","Al Mahagil","El Kereimet",2016,123.197761535645
"Al Jazirah","Al Mahagil","El Kereimet",2017,141.118026733398
"Al Jazirah","Al Mahagil","El Kereimet",2018,160.453659057617
"Al Jazirah","Al Mahagil","El Kereimet",2019,183.862197875977
"Al Jazirah","Al Mahagil","El Kereimet",2020,290.963439941406
"Al Jazirah","Al Mahagil","El Kereimet",2021,299.9189453125
"Al Jazirah","Al Mahagil","El Kereimet",2022,354.9794921875
"Al Jazirah","Al Mahagil","El Kereimet",2023,349.680633544922
"Al Jazirah","Al Mahagil","El Kereimet",2024,97.0310897827148
"Al Jazirah","Al Mahagil","El Qurashi",2012,12.710280418396
"Al Jazirah","Al Mahagil","El Qurashi",2013,9.05376625061035
"Al Jazirah","Al Mahagil","El Qurashi",2014,16.3144416809082
"Al Jazirah","Al Mahagil","El Qurashi",2015,31.6598491668701
"Al Jazirah","Al Mahagil","El Qurashi",2016,30.8005123138428
"Al Jazirah","Al Mahagil","El Qurashi",2017,32.6899147033691
"Al Jazirah","Al Mahagil","El Qurashi",2018,42.6303787231445
"Al Jazirah","Al Mahagil","El Qurashi",2019,47.3008346557617
"Al Jazirah","Al Mahagil","El Qurashi",2020,55.4287300109863
"Al Jazirah","Al Mahagil","El Qurashi",2021,54.505428314209
"Al Jazirah","Al Mahagil","El Qurashi",2022,83.7890930175781
"Al Jazirah","Al Mahagil","El Qurashi",2023,98.1402130126953
"Al Jazirah","Al Mahagil","El Qurashi",2024,2.52964544296265
"Al Jazirah","Al Mahagil","El Rakha & El Matori",2012,0.5724236369133
"Al Jazirah","Al Mahagil","El Rakha & El Matori",2013,0
"Al Jazirah","Al Mahagil","El Rakha & El Matori",2014,1.28914475440979
"Al Jazirah","Al Mahagil","El Rakha & El Matori",2015,3.20435500144958
"Al Jazirah","Al Mahagil","El Rakha & El Matori",2016,3.04343175888062
"Al Jazirah","Al Mahagil","El Rakha & El Matori",2017,4.3754734992981
"Al Jazirah","Al Mahagil","El Rakha & El Matori",2018,8.49362564086914
"Al Jazirah","Al Mahagil","El Rakha & El Matori",2019,14.8002576828003
"Al Jazirah","Al Mahagil","El Rakha & El Matori",2020,25.893238067627
"Al Jazirah","Al Mahagil","El Rakha & El Matori",2021,20.4270343780518
"Al Jazirah","Al Mahagil","El Rakha & El Matori",2022,29.9957084655762
"Al Jazirah","Al Mahagil","El Rakha & El Matori",2023,37.2906608581543
"Al Jazirah","Al Mahagil","El Rakha & El Matori",2024,0
"Al Jazirah","Al Mahagil","Ma Tuq",2012,2.30075144767761
"Al Jazirah","Al Mahagil","Ma Tuq",2013,1.96241140365601
"Al Jazirah","Al Mahagil","Ma Tuq",2014,2.65636610984802
"Al Jazirah","Al Mahagil","Ma Tuq",2015,9.49272537231445
"Al Jazirah","Al Mahagil","Ma Tuq",2016,5.74774742126465
"Al Jazirah","Al Mahagil","Ma Tuq",2017,12.675368309021
"Al Jazirah","Al Mahagil","Ma Tuq",2018,18.8008651733398
"Al Jazirah","Al Mahagil","Ma Tuq",2019,24.7604179382324
"Al Jazirah","Al Mahagil","Ma Tuq",2020,30.439037322998
"Al Jazirah","Al Mahagil","Ma Tuq",2021,32.0514526367188
"Al Jazirah","Al Mahagil","Ma Tuq",2022,39.8821487426758
"Al Jazirah","Al Mahagil","Ma Tuq",2023,55.1437149047852
"Al Jazirah","Al Mahagil","Ma Tuq",2024,0
"Al Jazirah","Al Mahagil","Sarhan",2012,1.05391836166382
"Al Jazirah","Al Mahagil","Sarhan",2013,1.37100720405579
"Al Jazirah","Al Mahagil","Sarhan",2014,0.52184921503067
"Al Jazirah","Al Mahagil","Sarhan",2015,1.05559015274048
"Al Jazirah","Al Mahagil","Sarhan",2016,1.02397608757019
"Al Jazirah","Al Mahagil","Sarhan",2017,1.77880072593689
"Al Jazirah","Al Mahagil","Sarhan",2018,2.51867938041687
"Al Jazirah","Al Mahagil","Sarhan",2019,6.15651941299438
"Al Jazirah","Al Mahagil","Sarhan",2020,20.2733268737793
"Al Jazirah","Al Mahagil","Sarhan",2021,17.9594783782959
"Al Jazirah","Al Mahagil","Sarhan",2022,25.7590408325195
"Al Jazirah","Al Mahagil","Sarhan",2023,23.038215637207
"Al Jazirah","Al Mahagil","Sarhan",2024,0
"Al Jazirah","Al Mahagil","Wad Adam",2012,0
"Al Jazirah","Al Mahagil","Wad Adam",2013,0
"Al Jazirah","Al Mahagil","Wad Adam",2014,0.543026149272919
"Al Jazirah","Al Mahagil","Wad Adam",2015,1.83012855052948
"Al Jazirah","Al Mahagil","Wad Adam",2016,1.02236700057983
"Al Jazirah","Al Mahagil","Wad Adam",2017,1.21614074707031
"Al Jazirah","Al Mahagil","Wad Adam",2018,2.97602558135986
"Al Jazirah","Al Mahagil","Wad Adam",2019,4.28673791885376
"Al Jazirah","Al Mahagil","Wad Adam",2020,6.65593004226685
"Al Jazirah","Al Mahagil","Wad Adam",2021,3.95514822006226
"Al Jazirah","Al Mahagil","Wad Adam",2022,7.74932241439819
"Al Jazirah","Al Mahagil","Wad Adam",2023,10.8797550201416
"Al Jazirah","Al Mahagil","Wad Adam",2024,0
"Al Jazirah","East al Gazera","Abu Haraz",2012,95.7522811889648
"Al Jazirah","East al Gazera","Abu Haraz",2013,69.5900039672852
"Al Jazirah","East al Gazera","Abu Haraz",2014,90.5749893188477
"Al Jazirah","East al Gazera","Abu Haraz",2015,124.531341552734
"Al Jazirah","East al Gazera","Abu Haraz",2016,153.577117919922
"Al Jazirah","East al Gazera","Abu Haraz",2017,191.229629516602
"Al Jazirah","East al Gazera","Abu Haraz",2018,220.063003540039
"Al Jazirah","East al Gazera","Abu Haraz",2019,270.059051513672
"Al Jazirah","East al Gazera","Abu Haraz",2020,369.472137451172
"Al Jazirah","East al Gazera","Abu Haraz",2021,392.976135253906
"Al Jazirah","East al Gazera","Abu Haraz",2022,624.835388183594
"Al Jazirah","East al Gazera","Abu Haraz",2023,684.6640625
"Al Jazirah","East al Gazera","Abu Haraz",2024,36.7590141296387
"Al Jazirah","East al Gazera","Barakat",2012,1720.17333984375
"Al Jazirah","East al Gazera","Barakat",2013,1776.224609375
"Al Jazirah","East al Gazera","Barakat",2014,1822.55676269531
"Al Jazirah","East al Gazera","Barakat",2015,2102.30126953125
"Al Jazirah","East al Gazera","Barakat",2016,2204.4814453125
"Al Jazirah","East al Gazera","Barakat",2017,2755.84594726562
"Al Jazirah","East al Gazera","Barakat",2018,3054.7060546875
"Al Jazirah","East al Gazera","Barakat",2019,3094.9560546875
"Al Jazirah","East al Gazera","Barakat",2020,3251.87060546875
"Al Jazirah","East al Gazera","Barakat",2021,3215.3935546875
"Al Jazirah","East al Gazera","Barakat",2022,3907.86962890625
"Al Jazirah","East al Gazera","Barakat",2023,4242.5595703125
"Al Jazirah","East al Gazera","Barakat",2024,1635.51428222656
"Al Jazirah","East al Gazera","Hantub",2012,155.282348632812
"Al Jazirah","East al Gazera","Hantub",2013,150.238952636719
"Al Jazirah","East al Gazera","Hantub",2014,132.821914672852
"Al Jazirah","East al Gazera","Hantub",2015,145.875061035156
"Al Jazirah","East al Gazera","Hantub",2016,122.383918762207
"Al Jazirah","East al Gazera","Hantub",2017,176.903656005859
"Al Jazirah","East al Gazera","Hantub",2018,206.629959106445
"Al Jazirah","East al Gazera","Hantub",2019,181.578369140625
"Al Jazirah","East al Gazera","Hantub",2020,209.226119995117
"Al Jazirah","East al Gazera","Hantub",2021,214.419509887695
"Al Jazirah","East al Gazera","Hantub",2022,317.815185546875
"Al Jazirah","East al Gazera","Hantub",2023,326.635406494141
"Al Jazirah","East al Gazera","Hantub",2024,70.3156433105469
"Al Jazirah","East al Gazera","Shabarga",2012,128.827194213867
"Al Jazirah","East al Gazera","Shabarga",2013,125.24390411377
"Al Jazirah","East al Gazera","Shabarga",2014,139.197616577148
"Al Jazirah","East al Gazera","Shabarga",2015,189.780990600586
"Al Jazirah","East al Gazera","Shabarga",2016,220.676666259766
"Al Jazirah","East al Gazera","Shabarga",2017,272.089508056641
