"NAME_1","NAME_2","NAME_3","date","ntl_mean"
"Eastern","Kailahun","Dia",2012,0
"Eastern","Kailahun","Dia",2013,0
"Eastern","Kailahun","Dia",2014,0
"Eastern","Kailahun","Dia",2015,0
"Eastern","Kailahun","Dia",2016,0
"Eastern","Kailahun","Dia",2017,0
"Eastern","Kailahun","Dia",2018,0
"Eastern","Kailahun","Dia",2019,0
"Eastern","Kailahun","Dia",2020,0
"Eastern","Kailahun","Dia",2021,0
"Eastern","Kailahun","Dia",2022,0
"Eastern","Kailahun","Dia",2023,0
"Eastern","Kailahun","Dia",2024,0
"Eastern","Kailahun","Jawie",2012,0
"Eastern","Kailahun","Jawie",2013,0
"Eastern","Kailahun","Jawie",2014,0
"Eastern","Kailahun","Jawie",2015,0
"Eastern","Kailahun","Jawie",2016,0
"Eastern","Kailahun","Jawie",2017,0
"Eastern","Kailahun","Jawie",2018,0.00283040478825569
"Eastern","Kailahun","Jawie",2019,0
"Eastern","Kailahun","Jawie",2020,0.00205644709058106
"Eastern","Kailahun","Jawie",2021,0
"Eastern","Kailahun","Jawie",2022,0.0034546407405287
"Eastern","Kailahun","Jawie",2023,0.00419157138094306
"Eastern","Kailahun","Jawie",2024,0
"Eastern","Kailahun","Kissi Kama",2012,0
"Eastern","Kailahun","Kissi Kama",2013,0
"Eastern","Kailahun","Kissi Kama",2014,0
"Eastern","Kailahun","Kissi Kama",2015,0
"Eastern","Kailahun","Kissi Kama",2016,0
"Eastern","Kailahun","Kissi Kama",2017,0
"Eastern","Kailahun","Kissi Kama",2018,0
"Eastern","Kailahun","Kissi Kama",2019,0
"Eastern","Kailahun","Kissi Kama",2020,0
"Eastern","Kailahun","Kissi Kama",2021,0
"Eastern","Kailahun","Kissi Kama",2022,0
"Eastern","Kailahun","Kissi Kama",2023,0
"Eastern","Kailahun","Kissi Kama",2024,0
"Eastern","Kailahun","Kissi Teng",2012,0
"Eastern","Kailahun","Kissi Teng",2013,0
"Eastern","Kailahun","Kissi Teng",2014,0
"Eastern","Kailahun","Kissi Teng",2015,0
"Eastern","Kailahun","Kissi Teng",2016,0
"Eastern","Kailahun","Kissi Teng",2017,0
"Eastern","Kailahun","Kissi Teng",2018,0
"Eastern","Kailahun","Kissi Teng",2019,0
"Eastern","Kailahun","Kissi Teng",2020,0
"Eastern","Kailahun","Kissi Teng",2021,0
"Eastern","Kailahun","Kissi Teng",2022,0
"Eastern","Kailahun","Kissi Teng",2023,0
"Eastern","Kailahun","Kissi Teng",2024,0
