"NAME_1","NAME_2","date","ntl_mean"
"Hhohho","Hhukwini",2012,45.3599472045898
"Hhohho","Hhukwini",2013,40.2729072570801
"Hhohho","Hhukwini",2014,58.2590827941895
"Hhohho","Hhukwini",2015,54.7290000915527
"Hhohho","Hhukwini",2016,38.6593437194824
"Hhohho","Hhukwini",2017,37.4784507751465
"Hhohho","Hhukwini",2018,42.8360404968262
"Hhohho","Hhukwini",2019,32.4117698669434
"Hhohho","Hhukwini",2020,38.838191986084
"Hhohho","Hhukwini",2021,41.2779579162598
"Hhohho","Hhukwini",2022,123.051208496094
"Hhohho","Hhukwini",2023,148.203094482422
"Hhohho","Hhukwini",2024,179.886917114258
"Hhohho","Lobamba",2012,1177.35290527344
"Hhohho","Lobamba",2013,1141.9970703125
"Hhohho","Lobamba",2014,1191.27075195312
"Hhohho","Lobamba",2015,1057.21765136719
"Hhohho","Lobamba",2016,1061.36669921875
"Hhohho","Lobamba",2017,1044.96911621094
"Hhohho","Lobamba",2018,1049.07629394531
"Hhohho","Lobamba",2019,993.750915527344
"Hhohho","Lobamba",2020,1004.84753417969
"Hhohho","Lobamba",2021,889.704467773438
"Hhohho","Lobamba",2022,1084.35656738281
"Hhohho","Lobamba",2023,1139.51391601562
"Hhohho","Lobamba",2024,1223.88647460938
"Hhohho","Madlangempisi",2012,55.1041450500488
"Hhohho","Madlangempisi",2013,44.1980934143066
"Hhohho","Madlangempisi",2014,45.7787933349609
"Hhohho","Madlangempisi",2015,28.5679817199707
"Hhohho","Madlangempisi",2016,28.134729385376
"Hhohho","Madlangempisi",2017,20.2086162567139
"Hhohho","Madlangempisi",2018,16.4549217224121
"Hhohho","Madlangempisi",2019,15.0622339248657
"Hhohho","Madlangempisi",2020,18.0812225341797
"Hhohho","Madlangempisi",2021,28.4847736358643
"Hhohho","Madlangempisi",2022,58.5176620483398
"Hhohho","Madlangempisi",2023,96.726676940918
"Hhohho","Madlangempisi",2024,141.164016723633
"Hhohho","Mayiwane",2012,62.3419494628906
"Hhohho","Mayiwane",2013,48.3440399169922
"Hhohho","Mayiwane",2014,44.9317665100098
"Hhohho","Mayiwane",2015,49.332405090332
"Hhohho","Mayiwane",2016,43.1577186584473
"Hhohho","Mayiwane",2017,27.6975250244141
"Hhohho","Mayiwane",2018,35.9759712219238
"Hhohho","Mayiwane",2019,31.3005275726318
"Hhohho","Mayiwane",2020,23.5093784332275
"Hhohho","Mayiwane",2021,43.9534454345703
"Hhohho","Mayiwane",2022,85.7133102416992
"Hhohho","Mayiwane",2023,137.648849487305
"Hhohho","Mayiwane",2024,138.993591308594
"Hhohho","Mbabane East",2012,1774.84460449219
"Hhohho","Mbabane East",2013,1793.34228515625
"Hhohho","Mbabane East",2014,2029.06372070312
"Hhohho","Mbabane East",2015,1895.14514160156
"Hhohho","Mbabane East",2016,2166.5654296875
"Hhohho","Mbabane East",2017,1907.41333007812
"Hhohho","Mbabane East",2018,1764.75537109375
"Hhohho","Mbabane East",2019,1568.29614257812
"Hhohho","Mbabane East",2020,1653.67602539062
"Hhohho","Mbabane East",2021,1704.89953613281
"Hhohho","Mbabane East",2022,1798.58911132812
"Hhohho","Mbabane East",2023,1776.56652832031
"Hhohho","Mbabane East",2024,1835.15747070312
"Hhohho","Mbabane West",2012,578.531005859375
"Hhohho","Mbabane West",2013,526.311950683594
"Hhohho","Mbabane West",2014,744.990112304688
"Hhohho","Mbabane West",2015,659.815612792969
"Hhohho","Mbabane West",2016,725.092895507812
"Hhohho","Mbabane West",2017,633.333862304688
"Hhohho","Mbabane West",2018,574.713745117188
"Hhohho","Mbabane West",2019,448.908050537109
"Hhohho","Mbabane West",2020,426.001312255859
"Hhohho","Mbabane West",2021,351.231323242188
"Hhohho","Mbabane West",2022,428.459411621094
"Hhohho","Mbabane West",2023,433.025543212891
"Hhohho","Mbabane West",2024,453.798431396484
