"NAME_1","NAME_2","NAME_3","date","ntl_mean"
"Centre","Blitta","Agbandi",2012,0.583645045757294
"Centre","Blitta","Agbandi",2013,0.59983366727829
"Centre","Blitta","Agbandi",2014,1.10333943367004
"Centre","Blitta","Agbandi",2015,0.634379804134369
"Centre","Blitta","Agbandi",2016,0.59105783700943
"Centre","Blitta","Agbandi",2017,0.621751964092255
"Centre","Blitta","Agbandi",2018,1.78298318386078
"Centre","Blitta","Agbandi",2019,1.91873669624329
"Centre","Blitta","Agbandi",2020,1.76096379756927
"Centre","Blitta","Agbandi",2021,2.65846753120422
"Centre","Blitta","Agbandi",2022,6.09956455230713
"Centre","Blitta","Agbandi",2023,8.31654739379883
"Centre","Blitta","Agbandi",2024,18.9452247619629
"Centre","Blitta","Atchintse",2012,0
"Centre","Blitta","Atchintse",2013,0
"Centre","Blitta","Atchintse",2014,0
"Centre","Blitta","Atchintse",2015,0
"Centre","Blitta","Atchintse",2016,0
"Centre","Blitta","Atchintse",2017,0
"Centre","Blitta","Atchintse",2018,4.24798917770386
"Centre","Blitta","Atchintse",2019,4.6248607635498
"Centre","Blitta","Atchintse",2020,3.94925427436829
"Centre","Blitta","Atchintse",2021,2.14355707168579
"Centre","Blitta","Atchintse",2022,4.79704141616821
"Centre","Blitta","Atchintse",2023,1.87241339683533
"Centre","Blitta","Atchintse",2024,2.57343769073486
"Centre","Blitta","Blitta Village",2012,2.5720694065094
"Centre","Blitta","Blitta Village",2013,2.0643367767334
"Centre","Blitta","Blitta Village",2014,5.07592058181763
"Centre","Blitta","Blitta Village",2015,4.10798311233521
"Centre","Blitta","Blitta Village",2016,3.41675543785095
"Centre","Blitta","Blitta Village",2017,2.48029851913452
"Centre","Blitta","Blitta Village",2018,1.40657949447632
"Centre","Blitta","Blitta Village",2019,4.91403675079346
"Centre","Blitta","Blitta Village",2020,14.5424633026123
"Centre","Blitta","Blitta Village",2021,32.8846549987793
"Centre","Blitta","Blitta Village",2022,42.3960342407227
"Centre","Blitta","Blitta Village",2023,48.1812553405762
"Centre","Blitta","Blitta Village",2024,69.8373336791992
"Centre","Blitta","Blitta-Gare",2012,24.4344806671143
"Centre","Blitta","Blitta-Gare",2013,20.3687038421631
"Centre","Blitta","Blitta-Gare",2014,27.7429752349854
"Centre","Blitta","Blitta-Gare",2015,34.7301254272461
"Centre","Blitta","Blitta-Gare",2016,27.9401817321777
"Centre","Blitta","Blitta-Gare",2017,25.5967617034912
"Centre","Blitta","Blitta-Gare",2018,41.7514762878418
"Centre","Blitta","Blitta-Gare",2019,30.9722957611084
"Centre","Blitta","Blitta-Gare",2020,44.6239395141602
"Centre","Blitta","Blitta-Gare",2021,52.4278182983398
"Centre","Blitta","Blitta-Gare",2022,61.9074516296387
"Centre","Blitta","Blitta-Gare",2023,61.4746398925781
"Centre","Blitta","Blitta-Gare",2024,96.9681549072266
"Centre","Blitta","Diguengue",2012,0
"Centre","Blitta","Diguengue",2013,0
"Centre","Blitta","Diguengue",2014,0
"Centre","Blitta","Diguengue",2015,0
"Centre","Blitta","Diguengue",2016,0
"Centre","Blitta","Diguengue",2017,0
"Centre","Blitta","Diguengue",2018,0
"Centre","Blitta","Diguengue",2019,0
"Centre","Blitta","Diguengue",2020,0
"Centre","Blitta","Diguengue",2021,0
"Centre","Blitta","Diguengue",2022,0
"Centre","Blitta","Diguengue",2023,0
"Centre","Blitta","Diguengue",2024,0
"Centre","Blitta","Dikpeleou",2012,0
"Centre","Blitta","Dikpeleou",2013,0
"Centre","Blitta","Dikpeleou",2014,0
"Centre","Blitta","Dikpeleou",2015,0
"Centre","Blitta","Dikpeleou",2016,0
"Centre","Blitta","Dikpeleou",2017,0
"Centre","Blitta","Dikpeleou",2018,0
"Centre","Blitta","Dikpeleou",2019,0
"Centre","Blitta","Dikpeleou",2020,0
"Centre","Blitta","Dikpeleou",2021,0
"Centre","Blitta","Dikpeleou",2022,1.9672737121582
"Centre","Blitta","Dikpeleou",2023,1.12128055095673
"Centre","Blitta","Dikpeleou",2024,1.88052320480347
"Centre","Blitta","Doufouli",2012,0
"Centre","Blitta","Doufouli",2013,0
"Centre","Blitta","Doufouli",2014,0
"Centre","Blitta","Doufouli",2015,0
"Centre","Blitta","Doufouli",2016,0.524193167686462
"Centre","Blitta","Doufouli",2017,0
"Centre","Blitta","Doufouli",2018,0
"Centre","Blitta","Doufouli",2019,0
"Centre","Blitta","Doufouli",2020,0
"Centre","Blitta","Doufouli",2021,0
"Centre","Blitta","Doufouli",2022,0
"Centre","Blitta","Doufouli",2023,0
"Centre","Blitta","Doufouli",2024,0
"Centre","Blitta","Katchenke",2012,0
"Centre","Blitta","Katchenke",2013,0
"Centre","Blitta","Katchenke",2014,0
"Centre","Blitta","Katchenke",2015,0
"Centre","Blitta","Katchenke",2016,0
"Centre","Blitta","Katchenke",2017,0
"Centre","Blitta","Katchenke",2018,0
"Centre","Blitta","Katchenke",2019,0
"Centre","Blitta","Katchenke",2020,0
"Centre","Blitta","Katchenke",2021,0
"Centre","Blitta","Katchenke",2022,1.08446788787842
"Centre","Blitta","Katchenke",2023,3.67945623397827
"Centre","Blitta","Katchenke",2024,4.14605331420898
"Centre","Blitta","Koffiti",2012,0
"Centre","Blitta","Koffiti",2013,0
"Centre","Blitta","Koffiti",2014,0
"Centre","Blitta","Koffiti",2015,0
"Centre","Blitta","Koffiti",2016,0
"Centre","Blitta","Koffiti",2017,0
"Centre","Blitta","Koffiti",2018,0
"Centre","Blitta","Koffiti",2019,0
"Centre","Blitta","Koffiti",2020,0
"Centre","Blitta","Koffiti",2021,0
"Centre","Blitta","Koffiti",2022,0
"Centre","Blitta","Koffiti",2023,0
"Centre","Blitta","Koffiti",2024,0
"Centre","Blitta","Langabou",2012,0.552183628082275
"Centre","Blitta","Langabou",2013,1.13552737236023
"Centre","Blitta","Langabou",2014,2.70736908912659
"Centre","Blitta","Langabou",2015,3.9167366027832
"Centre","Blitta","Langabou",2016,2.78077530860901
"Centre","Blitta","Langabou",2017,1.5346462726593
"Centre","Blitta","Langabou",2018,2.61264204978943
"Centre","Blitta","Langabou",2019,0
"Centre","Blitta","Langabou",2020,1.65269613265991
"Centre","Blitta","Langabou",2021,1.74869012832642
"Centre","Blitta","Langabou",2022,8.45693397521973
"Centre","Blitta","Langabou",2023,11.1329736709595
"Centre","Blitta","Langabou",2024,12.4532337188721
"Centre","Blitta","M'Poti",2012,0
"Centre","Blitta","M'Poti",2013,0
"Centre","Blitta","M'Poti",2014,0
"Centre","Blitta","M'Poti",2015,0.543850243091583
"Centre","Blitta","M'Poti",2016,2.25220227241516
"Centre","Blitta","M'Poti",2017,1.9534285068512
"Centre","Blitta","M'Poti",2018,1.42943906784058
"Centre","Blitta","M'Poti",2019,0.569559335708618
"Centre","Blitta","M'Poti",2020,0
"Centre","Blitta","M'Poti",2021,0
