"NAME_1","date","ntl_mean"
"Ariana",2012,12758.1357421875
"Ariana",2013,13164.669921875
"Ariana",2014,14398.572265625
"Ariana",2015,16650.869140625
"Ariana",2016,19333.958984375
"Ariana",2017,21981.451171875
"Ariana",2018,23375.19921875
"Ariana",2019,25342.494140625
"Ariana",2020,25770.005859375
"Ariana",2021,25980.51953125
"Ariana",2022,27154.720703125
"Ariana",2023,28165.9375
"Ariana",2024,26457.251953125
"Ben Arous (Tunis Sud)",2012,25197.931640625
"Ben Arous (Tunis Sud)",2013,26346.822265625
"Ben Arous (Tunis Sud)",2014,29164.2734375
"Ben Arous (Tunis Sud)",2015,29430.314453125
"Ben Arous (Tunis Sud)",2016,30787.291015625
"Ben Arous (Tunis Sud)",2017,33048.7421875
"Ben Arous (Tunis Sud)",2018,34504.203125
"Ben Arous (Tunis Sud)",2019,38475.94140625
"Ben Arous (Tunis Sud)",2020,38759.36328125
"Ben Arous (Tunis Sud)",2021,40099.46484375
"Ben Arous (Tunis Sud)",2022,43316.76953125
"Ben Arous (Tunis Sud)",2023,43930.16015625
"Ben Arous (Tunis Sud)",2024,44211.60546875
"Bizerte",2012,12781.341796875
"Bizerte",2013,12518.6845703125
"Bizerte",2014,12924.0498046875
"Bizerte",2015,14449.0830078125
"Bizerte",2016,15347.0888671875
"Bizerte",2017,17054.427734375
"Bizerte",2018,17408.1484375
"Bizerte",2019,17978.822265625
"Bizerte",2020,18781.560546875
"Bizerte",2021,19207.60546875
"Bizerte",2022,21442.033203125
"Bizerte",2023,23056.0625
"Bizerte",2024,22431.658203125
"Béja",2012,4926.8359375
"Béja",2013,5304.23681640625
"Béja",2014,5871.228515625
"Béja",2015,6423.48193359375
"Béja",2016,7228.66357421875
"Béja",2017,7228.48828125
"Béja",2018,7400.29248046875
"Béja",2019,8118.4482421875
"Béja",2020,7899.55810546875
"Béja",2021,8509.330078125
"Béja",2022,10262.818359375
"Béja",2023,11959.591796875
"Béja",2024,11528.412109375
"Gabès",2012,12641.1884765625
"Gabès",2013,13392.8408203125
"Gabès",2014,13424.1904296875
"Gabès",2015,13695.0390625
"Gabès",2016,15485.009765625
"Gabès",2017,16649.46875
"Gabès",2018,17121.13671875
"Gabès",2019,18694.419921875
"Gabès",2020,17471.7265625
"Gabès",2021,19249.28515625
"Gabès",2022,23209.7734375
"Gabès",2023,22481.810546875
"Gabès",2024,24035.638671875
"Gafsa",2012,6579.09814453125
"Gafsa",2013,7207.54736328125
"Gafsa",2014,8035.09228515625
"Gafsa",2015,9246.916015625
"Gafsa",2016,9734.951171875
"Gafsa",2017,10944.1875
"Gafsa",2018,12628.0009765625
"Gafsa",2019,13479.6298828125
"Gafsa",2020,13277.2490234375
"Gafsa",2021,14909.474609375
"Gafsa",2022,16061.6845703125
"Gafsa",2023,18182.849609375
"Gafsa",2024,17805.662109375
"Jendouba",2012,4903.1083984375
"Jendouba",2013,5391.6181640625
"Jendouba",2014,5768.154296875
"Jendouba",2015,7111.66259765625
"Jendouba",2016,7188.27685546875
"Jendouba",2017,8754.3427734375
"Jendouba",2018,9145.4931640625
"Jendouba",2019,9223.126953125
"Jendouba",2020,9158.3779296875
"Jendouba",2021,9865.8447265625
"Jendouba",2022,11065.8916015625
"Jendouba",2023,12799.439453125
"Jendouba",2024,12348.9794921875
"Kairouan",2012,9399.98828125
"Kairouan",2013,10371.70703125
"Kairouan",2014,10679.2119140625
"Kairouan",2015,12346
"Kairouan",2016,13575.1494140625
"Kairouan",2017,14272.283203125
"Kairouan",2018,15389.7607421875
"Kairouan",2019,17632.66796875
"Kairouan",2020,18522.4140625
"Kairouan",2021,19446.029296875
"Kairouan",2022,21389.7890625
"Kairouan",2023,25090.529296875
"Kairouan",2024,25644.078125
"Kassérine",2012,8472.279296875
"Kassérine",2013,9570.4140625
"Kassérine",2014,9427.662109375
"Kassérine",2015,10592.9921875
"Kassérine",2016,11107.8740234375
"Kassérine",2017,12116.720703125
"Kassérine",2018,12044.6435546875
"Kassérine",2019,12550.4296875
"Kassérine",2020,12866.8671875
"Kassérine",2021,14771.2314453125
"Kassérine",2022,16516.0390625
"Kassérine",2023,18660.2890625
"Kassérine",2024,17022.42578125
"Kebili",2012,6719.16015625
"Kebili",2013,6399.37255859375
"Kebili",2014,6849.43603515625
"Kebili",2015,8369.6201171875
"Kebili",2016,10150.7138671875
"Kebili",2017,10183.35546875
"Kebili",2018,10830.9169921875
"Kebili",2019,12106.0810546875
"Kebili",2020,12062.197265625
"Kebili",2021,13009.2490234375
"Kebili",2022,18963.46875
"Kebili",2023,19454.6875
"Kebili",2024,18282.861328125
"Le Kef",2012,4579.1201171875
"Le Kef",2013,4782.1123046875
"Le Kef",2014,5423.89990234375
"Le Kef",2015,6588.7900390625
"Le Kef",2016,7865.470703125
"Le Kef",2017,8865.5546875
"Le Kef",2018,8777.615234375
"Le Kef",2019,9553.3603515625
"Le Kef",2020,9854.2685546875
"Le Kef",2021,10450.5458984375
"Le Kef",2022,12280.12109375
"Le Kef",2023,13381.466796875
"Le Kef",2024,12857.9873046875
"Mahdia",2012,10828.9306640625
"Mahdia",2013,10707.0888671875
"Mahdia",2014,11937.958984375
"Mahdia",2015,13487.599609375
"Mahdia",2016,13551.548828125
"Mahdia",2017,13886.40234375
"Mahdia",2018,14554.7158203125
"Mahdia",2019,15480.712890625
"Mahdia",2020,14992.5771484375
"Mahdia",2021,17353.5703125
"Mahdia",2022,21473.923828125
"Mahdia",2023,25086.115234375
"Mahdia",2024,23621.0546875
"Manubah",2012,5185.5029296875
"Manubah",2013,5479.4970703125
"Manubah",2014,5770.55810546875
"Manubah",2015,6476.1044921875
"Manubah",2016,7281.205078125
"Manubah",2017,8077.35595703125
"Manubah",2018,9176.1669921875
"Manubah",2019,9969.58203125
"Manubah",2020,10358.900390625
"Manubah",2021,10843.9580078125
"Manubah",2022,11968.2041015625
"Manubah",2023,12972.0224609375
"Manubah",2024,13194.6474609375
"Monastir",2012,20902.1796875
"Monastir",2013,21550.142578125
"Monastir",2014,24066.423828125
"Monastir",2015,27014.015625
"Monastir",2016,29394.380859375
"Monastir",2017,30755.21484375
"Monastir",2018,32363.08203125
"Monastir",2019,34270.16015625
"Monastir",2020,32922.26171875
"Monastir",2021,34449.83984375
"Monastir",2022,37579.94921875
"Monastir",2023,41046.90625
"Monastir",2024,40267.82421875
"Médenine",2012,17868.91015625
"Médenine",2013,16790.48046875
"Médenine",2014,16628.642578125
"Médenine",2015,17496.361328125
"Médenine",2016,18664.7109375
"Médenine",2017,19521.25390625
"Médenine",2018,21304.017578125
"Médenine",2019,20836.1796875
"Médenine",2020,20173.0625
"Médenine",2021,21305.03515625
"Médenine",2022,28007.6640625
"Médenine",2023,30550.158203125
"Médenine",2024,30022.408203125
"Nabeul",2012,29540.853515625
"Nabeul",2013,30113.646484375
"Nabeul",2014,31452.046875
"Nabeul",2015,34766.078125
"Nabeul",2016,36408.78125
"Nabeul",2017,37139.96875
"Nabeul",2018,37134.8515625
"Nabeul",2019,39201.42578125
"Nabeul",2020,38562.2421875
"Nabeul",2021,40669.20703125
"Nabeul",2022,46778.3984375
"Nabeul",2023,51572.8046875
"Nabeul",2024,49631.0859375
"Sfax",2012,34379.859375
"Sfax",2013,35882.60546875
"Sfax",2014,38290.43359375
"Sfax",2015,42896.67578125
"Sfax",2016,43361.87890625
"Sfax",2017,45263.25390625
"Sfax",2018,47578.40625
"Sfax",2019,48833.88671875
