"NAME_1","NAME_2","NAME_3","date","ntl_mean"
"Adjumani","East Moyo","Adjumani Tc",2012,0
"Adjumani","East Moyo","Adjumani Tc",2013,0
"Adjumani","East Moyo","Adjumani Tc",2014,1.15160894393921
"Adjumani","East Moyo","Adjumani Tc",2015,1.19158744812012
"Adjumani","East Moyo","Adjumani Tc",2016,1.22424602508545
"Adjumani","East Moyo","Adjumani Tc",2017,4.10594749450684
"Adjumani","East Moyo","Adjumani Tc",2018,4.94416046142578
"Adjumani","East Moyo","Adjumani Tc",2019,9.00206851959229
"Adjumani","East Moyo","Adjumani Tc",2020,9.17506885528564
"Adjumani","East Moyo","Adjumani Tc",2021,18.7709770202637
"Adjumani","East Moyo","Adjumani Tc",2022,36.9426231384277
"Adjumani","East Moyo","Adjumani Tc",2023,44.6026382446289
"Adjumani","East Moyo","Adjumani Tc",2024,71.9948577880859
"Adjumani","East Moyo","Adropi",2012,0
"Adjumani","East Moyo","Adropi",2013,0
"Adjumani","East Moyo","Adropi",2014,0
"Adjumani","East Moyo","Adropi",2015,0
"Adjumani","East Moyo","Adropi",2016,0
"Adjumani","East Moyo","Adropi",2017,0
"Adjumani","East Moyo","Adropi",2018,0
"Adjumani","East Moyo","Adropi",2019,0
"Adjumani","East Moyo","Adropi",2020,0
"Adjumani","East Moyo","Adropi",2021,0.017673134803772
"Adjumani","East Moyo","Adropi",2022,1.50600731372833
"Adjumani","East Moyo","Adropi",2023,2.63726997375488
"Adjumani","East Moyo","Adropi",2024,9.6119441986084
"Adjumani","East Moyo","Ciforo",2012,0
"Adjumani","East Moyo","Ciforo",2013,0
"Adjumani","East Moyo","Ciforo",2014,0
"Adjumani","East Moyo","Ciforo",2015,0
"Adjumani","East Moyo","Ciforo",2016,0
"Adjumani","East Moyo","Ciforo",2017,0
"Adjumani","East Moyo","Ciforo",2018,0
"Adjumani","East Moyo","Ciforo",2019,0
"Adjumani","East Moyo","Ciforo",2020,0
"Adjumani","East Moyo","Ciforo",2021,0
"Adjumani","East Moyo","Ciforo",2022,0.00857992097735405
"Adjumani","East Moyo","Ciforo",2023,0
"Adjumani","East Moyo","Ciforo",2024,0
"Adjumani","East Moyo","Dzaipi",2012,0
"Adjumani","East Moyo","Dzaipi",2013,0
"Adjumani","East Moyo","Dzaipi",2014,0
"Adjumani","East Moyo","Dzaipi",2015,0
"Adjumani","East Moyo","Dzaipi",2016,0
"Adjumani","East Moyo","Dzaipi",2017,0
"Adjumani","East Moyo","Dzaipi",2018,0
"Adjumani","East Moyo","Dzaipi",2019,0
"Adjumani","East Moyo","Dzaipi",2020,0
"Adjumani","East Moyo","Dzaipi",2021,0
"Adjumani","East Moyo","Dzaipi",2022,0
"Adjumani","East Moyo","Dzaipi",2023,0
"Adjumani","East Moyo","Dzaipi",2024,1.23930835723877
"Adjumani","East Moyo","Ofua",2012,0
"Adjumani","East Moyo","Ofua",2013,0
"Adjumani","East Moyo","Ofua",2014,0
"Adjumani","East Moyo","Ofua",2015,0
"Adjumani","East Moyo","Ofua",2016,0
"Adjumani","East Moyo","Ofua",2017,0
"Adjumani","East Moyo","Ofua",2018,0
"Adjumani","East Moyo","Ofua",2019,0
"Adjumani","East Moyo","Ofua",2020,0
"Adjumani","East Moyo","Ofua",2021,0
"Adjumani","East Moyo","Ofua",2022,0
"Adjumani","East Moyo","Ofua",2023,0
"Adjumani","East Moyo","Ofua",2024,0
"Adjumani","East Moyo","Pakelle",2012,0
"Adjumani","East Moyo","Pakelle",2013,0
"Adjumani","East Moyo","Pakelle",2014,0
"Adjumani","East Moyo","Pakelle",2015,0
"Adjumani","East Moyo","Pakelle",2016,0
"Adjumani","East Moyo","Pakelle",2017,0
"Adjumani","East Moyo","Pakelle",2018,1.36188495159149
"Adjumani","East Moyo","Pakelle",2019,1.85093212127686
"Adjumani","East Moyo","Pakelle",2020,1.74874329566956
"Adjumani","East Moyo","Pakelle",2021,7.10902786254883
"Adjumani","East Moyo","Pakelle",2022,28.6036739349365
"Adjumani","East Moyo","Pakelle",2023,34.8297729492188
"Adjumani","East Moyo","Pakelle",2024,45.1646347045898
"Apac","Kole","Aboke",2012,0
"Apac","Kole","Aboke",2013,0
"Apac","Kole","Aboke",2014,0
"Apac","Kole","Aboke",2015,0
"Apac","Kole","Aboke",2016,0
"Apac","Kole","Aboke",2017,0
"Apac","Kole","Aboke",2018,0
"Apac","Kole","Aboke",2019,0
"Apac","Kole","Aboke",2020,0
"Apac","Kole","Aboke",2021,0
"Apac","Kole","Aboke",2022,0
"Apac","Kole","Aboke",2023,0.515771150588989
"Apac","Kole","Aboke",2024,0.518486320972443
"Apac","Kole","Akalo",2012,0
"Apac","Kole","Akalo",2013,0
"Apac","Kole","Akalo",2014,0
"Apac","Kole","Akalo",2015,0
"Apac","Kole","Akalo",2016,0
"Apac","Kole","Akalo",2017,0
"Apac","Kole","Akalo",2018,0
"Apac","Kole","Akalo",2019,0
"Apac","Kole","Akalo",2020,0
"Apac","Kole","Akalo",2021,0
"Apac","Kole","Akalo",2022,1.37006807327271
"Apac","Kole","Akalo",2023,1.75833022594452
"Apac","Kole","Akalo",2024,3.80208587646484
"Apac","Kole","Alito",2012,0
"Apac","Kole","Alito",2013,0
"Apac","Kole","Alito",2014,0
"Apac","Kole","Alito",2015,0
"Apac","Kole","Alito",2016,0
"Apac","Kole","Alito",2017,0
"Apac","Kole","Alito",2018,0
"Apac","Kole","Alito",2019,0
"Apac","Kole","Alito",2020,0
"Apac","Kole","Alito",2021,0
"Apac","Kole","Alito",2022,0
"Apac","Kole","Alito",2023,0
"Apac","Kole","Alito",2024,0
"Apac","Kole","Ayer",2012,0
"Apac","Kole","Ayer",2013,0
"Apac","Kole","Ayer",2014,0
"Apac","Kole","Ayer",2015,0
"Apac","Kole","Ayer",2016,0
"Apac","Kole","Ayer",2017,0
"Apac","Kole","Ayer",2018,0
"Apac","Kole","Ayer",2019,0
"Apac","Kole","Ayer",2020,0
"Apac","Kole","Ayer",2021,0.125262200832367
"Apac","Kole","Ayer",2022,0.41641303896904
"Apac","Kole","Ayer",2023,1.22975134849548
"Apac","Kole","Ayer",2024,36.2480087280273
"Apac","Kole","Balla",2012,0
"Apac","Kole","Balla",2013,0
"Apac","Kole","Balla",2014,0
"Apac","Kole","Balla",2015,0
"Apac","Kole","Balla",2016,0
"Apac","Kole","Balla",2017,0
"Apac","Kole","Balla",2018,0
"Apac","Kole","Balla",2019,0
"Apac","Kole","Balla",2020,0
"Apac","Kole","Balla",2021,0
"Apac","Kole","Balla",2022,0
"Apac","Kole","Balla",2023,1.07778573036194
"Apac","Kole","Balla",2024,0.599561035633087
"Apac","Kwania","Abongomola",2012,0
"Apac","Kwania","Abongomola",2013,0
"Apac","Kwania","Abongomola",2014,0
"Apac","Kwania","Abongomola",2015,0
"Apac","Kwania","Abongomola",2016,0
"Apac","Kwania","Abongomola",2017,0
"Apac","Kwania","Abongomola",2018,0
"Apac","Kwania","Abongomola",2019,0
"Apac","Kwania","Abongomola",2020,0
"Apac","Kwania","Abongomola",2021,0
"Apac","Kwania","Abongomola",2022,0
"Apac","Kwania","Abongomola",2023,0
"Apac","Kwania","Abongomola",2024,0
"Apac","Kwania","Aduku",2012,0
"Apac","Kwania","Aduku",2013,0
"Apac","Kwania","Aduku",2014,0
"Apac","Kwania","Aduku",2015,0
"Apac","Kwania","Aduku",2016,0
"Apac","Kwania","Aduku",2017,0
"Apac","Kwania","Aduku",2018,0
"Apac","Kwania","Aduku",2019,0
"Apac","Kwania","Aduku",2020,0
"Apac","Kwania","Aduku",2021,0
"Apac","Kwania","Aduku",2022,0
"Apac","Kwania","Aduku",2023,1.81453788280487
"Apac","Kwania","Aduku",2024,2.94964742660522
"Apac","Kwania","Cawente",2012,0
"Apac","Kwania","Cawente",2013,0
"Apac","Kwania","Cawente",2014,0
"Apac","Kwania","Cawente",2015,0
"Apac","Kwania","Cawente",2016,0
"Apac","Kwania","Cawente",2017,0
"Apac","Kwania","Cawente",2018,0
"Apac","Kwania","Cawente",2019,0
"Apac","Kwania","Cawente",2020,0
"Apac","Kwania","Cawente",2021,0
"Apac","Kwania","Cawente",2022,0
"Apac","Kwania","Cawente",2023,0
"Apac","Kwania","Cawente",2024,0
"Apac","Kwania","Inomo",2012,0
"Apac","Kwania","Inomo",2013,0
"Apac","Kwania","Inomo",2014,0
"Apac","Kwania","Inomo",2015,0
"Apac","Kwania","Inomo",2016,0
"Apac","Kwania","Inomo",2017,0
"Apac","Kwania","Inomo",2018,0
"Apac","Kwania","Inomo",2019,0
"Apac","Kwania","Inomo",2020,0
"Apac","Kwania","Inomo",2021,0
"Apac","Kwania","Inomo",2022,0
"Apac","Kwania","Inomo",2023,0
"Apac","Kwania","Inomo",2024,0
"Apac","Kwania","Nambieso",2012,0
"Apac","Kwania","Nambieso",2013,0
"Apac","Kwania","Nambieso",2014,0
"Apac","Kwania","Nambieso",2015,0
"Apac","Kwania","Nambieso",2016,0
"Apac","Kwania","Nambieso",2017,0
"Apac","Kwania","Nambieso",2018,0
"Apac","Kwania","Nambieso",2019,0
"Apac","Kwania","Nambieso",2020,0
"Apac","Kwania","Nambieso",2021,0
"Apac","Kwania","Nambieso",2022,0
"Apac","Kwania","Nambieso",2023,0
"Apac","Kwania","Nambieso",2024,0
"Apac","Maruzi","Akokoro",2012,0
"Apac","Maruzi","Akokoro",2013,0
"Apac","Maruzi","Akokoro",2014,0
"Apac","Maruzi","Akokoro",2015,0
"Apac","Maruzi","Akokoro",2016,0
"Apac","Maruzi","Akokoro",2017,0
"Apac","Maruzi","Akokoro",2018,0
"Apac","Maruzi","Akokoro",2019,0
"Apac","Maruzi","Akokoro",2020,0
"Apac","Maruzi","Akokoro",2021,0
"Apac","Maruzi","Akokoro",2022,0
"Apac","Maruzi","Akokoro",2023,0
"Apac","Maruzi","Akokoro",2024,0
"Apac","Maruzi","Apac",2012,0
"Apac","Maruzi","Apac",2013,0
"Apac","Maruzi","Apac",2014,0
"Apac","Maruzi","Apac",2015,0
"Apac","Maruzi","Apac",2016,0
"Apac","Maruzi","Apac",2017,0
"Apac","Maruzi","Apac",2018,0
"Apac","Maruzi","Apac",2019,0
"Apac","Maruzi","Apac",2020,0
"Apac","Maruzi","Apac",2021,0
"Apac","Maruzi","Apac",2022,0.0882822200655937
"Apac","Maruzi","Apac",2023,0
"Apac","Maruzi","Apac",2024,2.63708353042603
"Apac","Maruzi","Apac Tc",2012,0.672332167625427
"Apac","Maruzi","Apac Tc",2013,1.72572898864746
"Apac","Maruzi","Apac Tc",2014,0.507831752300262
"Apac","Maruzi","Apac Tc",2015,0
"Apac","Maruzi","Apac Tc",2016,0
"Apac","Maruzi","Apac Tc",2017,0
"Apac","Maruzi","Apac Tc",2018,0
"Apac","Maruzi","Apac Tc",2019,1.18132996559143
"Apac","Maruzi","Apac Tc",2020,1.19350969791412
"Apac","Maruzi","Apac Tc",2021,1.07190012931824
"Apac","Maruzi","Apac Tc",2022,5.59674453735352
"Apac","Maruzi","Apac Tc",2023,6.5108814239502
"Apac","Maruzi","Apac Tc",2024,42.2493553161621
"Apac","Maruzi","Cegere",2012,0
"Apac","Maruzi","Cegere",2013,0
"Apac","Maruzi","Cegere",2014,0
"Apac","Maruzi","Cegere",2015,0
"Apac","Maruzi","Cegere",2016,0
"Apac","Maruzi","Cegere",2017,0
"Apac","Maruzi","Cegere",2018,0
"Apac","Maruzi","Cegere",2019,0
"Apac","Maruzi","Cegere",2020,0
"Apac","Maruzi","Cegere",2021,0
"Apac","Maruzi","Cegere",2022,0
"Apac","Maruzi","Cegere",2023,0
"Apac","Maruzi","Cegere",2024,0
"Apac","Maruzi","Ibuje",2012,0
"Apac","Maruzi","Ibuje",2013,0
"Apac","Maruzi","Ibuje",2014,0
"Apac","Maruzi","Ibuje",2015,0
"Apac","Maruzi","Ibuje",2016,0
"Apac","Maruzi","Ibuje",2017,0
"Apac","Maruzi","Ibuje",2018,0
"Apac","Maruzi","Ibuje",2019,0
"Apac","Maruzi","Ibuje",2020,0
"Apac","Maruzi","Ibuje",2021,0
"Apac","Maruzi","Ibuje",2022,0
"Apac","Maruzi","Ibuje",2023,1.39608728885651
"Apac","Maruzi","Ibuje",2024,3.19934344291687
"Apac","Oyam","Aber",2012,0
"Apac","Oyam","Aber",2013,0
"Apac","Oyam","Aber",2014,0.0965356081724167
"Apac","Oyam","Aber",2015,11.2678499221802
"Apac","Oyam","Aber",2016,21.3046627044678
"Apac","Oyam","Aber",2017,22.4853000640869
"Apac","Oyam","Aber",2018,16.1868438720703
"Apac","Oyam","Aber",2019,12.9187917709351
"Apac","Oyam","Aber",2020,8.03009605407715
"Apac","Oyam","Aber",2021,4.45946788787842
"Apac","Oyam","Aber",2022,8.60664367675781
"Apac","Oyam","Aber",2023,30.0860958099365
"Apac","Oyam","Aber",2024,52.9250335693359
"Apac","Oyam","Achaba",2012,0
"Apac","Oyam","Achaba",2013,0
"Apac","Oyam","Achaba",2014,0
"Apac","Oyam","Achaba",2015,0
"Apac","Oyam","Achaba",2016,0
"Apac","Oyam","Achaba",2017,0
"Apac","Oyam","Achaba",2018,0
"Apac","Oyam","Achaba",2019,0
"Apac","Oyam","Achaba",2020,0
"Apac","Oyam","Achaba",2021,0
"Apac","Oyam","Achaba",2022,0
"Apac","Oyam","Achaba",2023,0
"Apac","Oyam","Achaba",2024,0
"Apac","Oyam","Icheme",2012,0
"Apac","Oyam","Icheme",2013,0
"Apac","Oyam","Icheme",2014,0
"Apac","Oyam","Icheme",2015,0
"Apac","Oyam","Icheme",2016,0
"Apac","Oyam","Icheme",2017,0
"Apac","Oyam","Icheme",2018,0
"Apac","Oyam","Icheme",2019,0
