"NAME_1","date","ntl_mean"
"Eastern Cape",2012,104284.2734375
"Eastern Cape",2013,107979.5390625
"Eastern Cape",2014,104725.5390625
"Eastern Cape",2015,95243.4921875
"Eastern Cape",2016,96394.3359375
"Eastern Cape",2017,97133.203125
"Eastern Cape",2018,93785.796875
"Eastern Cape",2019,91013.8359375
"Eastern Cape",2020,84480.4140625
"Eastern Cape",2021,85975.4609375
"Eastern Cape",2022,86403.5546875
"Eastern Cape",2023,86601.015625
"Eastern Cape",2024,105087.0234375
"Free State",2012,79729.6875
"Free State",2013,84892.6640625
"Free State",2014,89235.859375
"Free State",2015,87133.6953125
"Free State",2016,88663.484375
"Free State",2017,87804.3046875
"Free State",2018,82607.9453125
"Free State",2019,83040.2421875
"Free State",2020,76385.6953125
"Free State",2021,74313.5859375
"Free State",2022,73713.8671875
"Free State",2023,73232.1796875
"Free State",2024,80224.125
"Gauteng",2012,522334.71875
"Gauteng",2013,514778.75
"Gauteng",2014,514777.96875
"Gauteng",2015,504477.59375
"Gauteng",2016,510176.125
"Gauteng",2017,505352.34375
"Gauteng",2018,493593.65625
"Gauteng",2019,492417.34375
"Gauteng",2020,462640.9375
"Gauteng",2021,457252.25
"Gauteng",2022,442200.28125
"Gauteng",2023,406118.625
"Gauteng",2024,437992.1875
"KwaZulu-Natal",2012,189056.265625
"KwaZulu-Natal",2013,184654.234375
"KwaZulu-Natal",2014,189245.5
"KwaZulu-Natal",2015,182683.453125
"KwaZulu-Natal",2016,171588.015625
"KwaZulu-Natal",2017,175982.34375
"KwaZulu-Natal",2018,174573.9375
"KwaZulu-Natal",2019,178614.4375
"KwaZulu-Natal",2020,171293.546875
"KwaZulu-Natal",2021,174490.578125
"KwaZulu-Natal",2022,189657.46875
"KwaZulu-Natal",2023,194961.34375
"KwaZulu-Natal",2024,224799.953125
"Limpopo",2012,110958.453125
"Limpopo",2013,111601.953125
"Limpopo",2014,113161.421875
"Limpopo",2015,110683.0234375
"Limpopo",2016,109335.6171875
"Limpopo",2017,115185.3828125
"Limpopo",2018,122386.7890625
"Limpopo",2019,122370.8046875
"Limpopo",2020,119730.421875
"Limpopo",2021,127316.0625
"Limpopo",2022,140287.71875
"Limpopo",2023,137582.421875
"Limpopo",2024,167730.859375
"Mpumalanga",2012,126084.8359375
"Mpumalanga",2013,125739.296875
"Mpumalanga",2014,126755.9140625
"Mpumalanga",2015,123809.1328125
"Mpumalanga",2016,121780.625
"Mpumalanga",2017,125183
"Mpumalanga",2018,137496.53125
"Mpumalanga",2019,131294.109375
"Mpumalanga",2020,127101.0078125
"Mpumalanga",2021,130331.9921875
"Mpumalanga",2022,146369.734375
"Mpumalanga",2023,146573.75
"Mpumalanga",2024,162954.375
"North West",2012,102585
"North West",2013,103502.5234375
"North West",2014,104329.0546875
"North West",2015,107426.46875
"North West",2016,109221.8828125
"North West",2017,109584.6796875
"North West",2018,110676.4609375
"North West",2019,110358.109375
"North West",2020,100276
"North West",2021,107023.2265625
"North West",2022,112340.1640625
"North West",2023,110132.515625
"North West",2024,123932.5703125
"Northern Cape",2012,41112.05078125
"Northern Cape",2013,43281.16015625
"Northern Cape",2014,43627.37109375
"Northern Cape",2015,43114.0625
"Northern Cape",2016,44778.49609375
"Northern Cape",2017,45908.30078125
"Northern Cape",2018,44042.77734375
"Northern Cape",2019,43700.80859375
"Northern Cape",2020,40610.29296875
"Northern Cape",2021,40335.56640625
"Northern Cape",2022,39770.546875
"Northern Cape",2023,40108.61328125
"Northern Cape",2024,45451.3046875
"Western Cape",2012,206843.421875
"Western Cape",2013,216017.453125
"Western Cape",2014,222280.5625
"Western Cape",2015,226354.34375
"Western Cape",2016,227138.375
"Western Cape",2017,225327.328125
"Western Cape",2018,217973.625
"Western Cape",2019,217074.296875
"Western Cape",2020,200767.296875
"Western Cape",2021,201813.4375
"Western Cape",2022,204298.40625
"Western Cape",2023,186723.28125
"Western Cape",2024,211416.4375
