"NAME_1","NAME_2","date","ntl_mean"
"Eastern Cape","Alfred Nzo",2012,1974.72192382812
"Eastern Cape","Alfred Nzo",2013,1662.39953613281
"Eastern Cape","Alfred Nzo",2014,1609.83190917969
"Eastern Cape","Alfred Nzo",2015,1355.15625
"Eastern Cape","Alfred Nzo",2016,1391.94860839844
"Eastern Cape","Alfred Nzo",2017,1552.53479003906
"Eastern Cape","Alfred Nzo",2018,1630.85131835938
"Eastern Cape","Alfred Nzo",2019,1828.14685058594
"Eastern Cape","Alfred Nzo",2020,2024.22497558594
"Eastern Cape","Alfred Nzo",2021,2699.18237304688
"Eastern Cape","Alfred Nzo",2022,3571.5439453125
"Eastern Cape","Alfred Nzo",2023,3932.99365234375
"Eastern Cape","Alfred Nzo",2024,6647.33056640625
"Eastern Cape","Amathole",2012,4344.95556640625
"Eastern Cape","Amathole",2013,4995.88671875
"Eastern Cape","Amathole",2014,4680.37890625
"Eastern Cape","Amathole",2015,4672.64404296875
"Eastern Cape","Amathole",2016,4868.51806640625
"Eastern Cape","Amathole",2017,4931.509765625
"Eastern Cape","Amathole",2018,4696.13720703125
"Eastern Cape","Amathole",2019,4659.955078125
"Eastern Cape","Amathole",2020,4277.3818359375
"Eastern Cape","Amathole",2021,4320.54296875
"Eastern Cape","Amathole",2022,4080.87329101562
"Eastern Cape","Amathole",2023,4374.9404296875
"Eastern Cape","Amathole",2024,5520.97119140625
"Eastern Cape","Buffalo City",2012,22653.96875
"Eastern Cape","Buffalo City",2013,23106.626953125
"Eastern Cape","Buffalo City",2014,22640.421875
"Eastern Cape","Buffalo City",2015,20219.76171875
"Eastern Cape","Buffalo City",2016,19812.79296875
"Eastern Cape","Buffalo City",2017,20039.06640625
"Eastern Cape","Buffalo City",2018,19805.69921875
"Eastern Cape","Buffalo City",2019,19107.392578125
"Eastern Cape","Buffalo City",2020,17501.142578125
"Eastern Cape","Buffalo City",2021,17538.1328125
"Eastern Cape","Buffalo City",2022,16701.853515625
"Eastern Cape","Buffalo City",2023,16682.3046875
"Eastern Cape","Buffalo City",2024,18816.837890625
"Eastern Cape","Cacadu",2012,9363.1083984375
"Eastern Cape","Cacadu",2013,9650.908203125
"Eastern Cape","Cacadu",2014,9066.001953125
"Eastern Cape","Cacadu",2015,8576.73046875
"Eastern Cape","Cacadu",2016,9139.853515625
"Eastern Cape","Cacadu",2017,9125.1474609375
"Eastern Cape","Cacadu",2018,8783.7421875
"Eastern Cape","Cacadu",2019,8785.7890625
"Eastern Cape","Cacadu",2020,7997.3876953125
"Eastern Cape","Cacadu",2021,8466.1337890625
"Eastern Cape","Cacadu",2022,8608.142578125
"Eastern Cape","Cacadu",2023,7871.19384765625
"Eastern Cape","Cacadu",2024,9642.29296875
"Eastern Cape","Chris Hani",2012,5785.33837890625
"Eastern Cape","Chris Hani",2013,6178.544921875
"Eastern Cape","Chris Hani",2014,6223.56591796875
"Eastern Cape","Chris Hani",2015,5252.978515625
"Eastern Cape","Chris Hani",2016,5609.259765625
"Eastern Cape","Chris Hani",2017,5888.4306640625
"Eastern Cape","Chris Hani",2018,5419.74365234375
"Eastern Cape","Chris Hani",2019,5074.7939453125
"Eastern Cape","Chris Hani",2020,4398.392578125
"Eastern Cape","Chris Hani",2021,4249.09423828125
"Eastern Cape","Chris Hani",2022,4001.03393554688
"Eastern Cape","Chris Hani",2023,4150.83349609375
"Eastern Cape","Chris Hani",2024,5941.28515625
"Eastern Cape","Joe Gqabi",2012,2453.6435546875
"Eastern Cape","Joe Gqabi",2013,2562.36840820312
"Eastern Cape","Joe Gqabi",2014,2498.5263671875
"Eastern Cape","Joe Gqabi",2015,2335.41723632812
"Eastern Cape","Joe Gqabi",2016,2147.6494140625
"Eastern Cape","Joe Gqabi",2017,2340.6416015625
"Eastern Cape","Joe Gqabi",2018,2395.57055664062
"Eastern Cape","Joe Gqabi",2019,2417.24853515625
"Eastern Cape","Joe Gqabi",2020,2348.85766601562
"Eastern Cape","Joe Gqabi",2021,2590.84814453125
"Eastern Cape","Joe Gqabi",2022,2430.67846679688
"Eastern Cape","Joe Gqabi",2023,2472.79296875
"Eastern Cape","Joe Gqabi",2024,3122.42456054688
"Eastern Cape","Nelson Mandela Bay",2012,52342.16015625
"Eastern Cape","Nelson Mandela Bay",2013,53897.921875
"Eastern Cape","Nelson Mandela Bay",2014,51891.91015625
"Eastern Cape","Nelson Mandela Bay",2015,47263.8515625
"Eastern Cape","Nelson Mandela Bay",2016,48149.421875
"Eastern Cape","Nelson Mandela Bay",2017,47628.0234375
"Eastern Cape","Nelson Mandela Bay",2018,45522.92578125
"Eastern Cape","Nelson Mandela Bay",2019,43123.921875
"Eastern Cape","Nelson Mandela Bay",2020,38741.5234375
"Eastern Cape","Nelson Mandela Bay",2021,38087.546875
"Eastern Cape","Nelson Mandela Bay",2022,37889.77734375
"Eastern Cape","Nelson Mandela Bay",2023,35511.26171875
"Eastern Cape","Nelson Mandela Bay",2024,37756.21875
"Eastern Cape","O.R.Tambo",2012,5366.37451171875
