"NAME_1","NAME_2","NAME_3","date","ntl_mean"
"Bulawayo","Bulawayo","Ward 1",2012,311.326965332031
"Bulawayo","Bulawayo","Ward 1",2013,268.101898193359
"Bulawayo","Bulawayo","Ward 1",2014,257.660888671875
"Bulawayo","Bulawayo","Ward 1",2015,256.288269042969
"Bulawayo","Bulawayo","Ward 1",2016,238.386383056641
"Bulawayo","Bulawayo","Ward 1",2017,228.258529663086
"Bulawayo","Bulawayo","Ward 1",2018,262.084197998047
"Bulawayo","Bulawayo","Ward 1",2019,248.41081237793
"Bulawayo","Bulawayo","Ward 1",2020,212.555267333984
"Bulawayo","Bulawayo","Ward 1",2021,209.291015625
"Bulawayo","Bulawayo","Ward 1",2022,263.472198486328
"Bulawayo","Bulawayo","Ward 1",2023,308.301727294922
"Bulawayo","Bulawayo","Ward 1",2024,351.132049560547
"Bulawayo","Bulawayo","Ward 10",2012,137.732833862305
"Bulawayo","Bulawayo","Ward 10",2013,119.333023071289
"Bulawayo","Bulawayo","Ward 10",2014,110.438110351562
"Bulawayo","Bulawayo","Ward 10",2015,110.535522460938
"Bulawayo","Bulawayo","Ward 10",2016,107.471366882324
"Bulawayo","Bulawayo","Ward 10",2017,91.647331237793
"Bulawayo","Bulawayo","Ward 10",2018,85.3401107788086
"Bulawayo","Bulawayo","Ward 10",2019,67.3648986816406
"Bulawayo","Bulawayo","Ward 10",2020,58.7433013916016
"Bulawayo","Bulawayo","Ward 10",2021,65.8524398803711
"Bulawayo","Bulawayo","Ward 10",2022,70.4772109985352
"Bulawayo","Bulawayo","Ward 10",2023,74.4761428833008
"Bulawayo","Bulawayo","Ward 10",2024,71.0319976806641
"Bulawayo","Bulawayo","Ward 11",2012,75.4436340332031
"Bulawayo","Bulawayo","Ward 11",2013,81.3655166625977
"Bulawayo","Bulawayo","Ward 11",2014,64.9335250854492
"Bulawayo","Bulawayo","Ward 11",2015,64.6879653930664
"Bulawayo","Bulawayo","Ward 11",2016,64.2416076660156
"Bulawayo","Bulawayo","Ward 11",2017,49.7934265136719
"Bulawayo","Bulawayo","Ward 11",2018,51.2540550231934
"Bulawayo","Bulawayo","Ward 11",2019,49.6068344116211
"Bulawayo","Bulawayo","Ward 11",2020,41.355411529541
"Bulawayo","Bulawayo","Ward 11",2021,39.1702270507812
"Bulawayo","Bulawayo","Ward 11",2022,38.5237846374512
"Bulawayo","Bulawayo","Ward 11",2023,40.1443367004395
"Bulawayo","Bulawayo","Ward 11",2024,41.0946083068848
"Bulawayo","Bulawayo","Ward 12",2012,97.0222702026367
"Bulawayo","Bulawayo","Ward 12",2013,77.8818969726562
"Bulawayo","Bulawayo","Ward 12",2014,67.5972671508789
"Bulawayo","Bulawayo","Ward 12",2015,72.4349060058594
"Bulawayo","Bulawayo","Ward 12",2016,66.6141357421875
"Bulawayo","Bulawayo","Ward 12",2017,50.6345672607422
"Bulawayo","Bulawayo","Ward 12",2018,51.7381019592285
"Bulawayo","Bulawayo","Ward 12",2019,42.4807243347168
"Bulawayo","Bulawayo","Ward 12",2020,37.037281036377
"Bulawayo","Bulawayo","Ward 12",2021,43.2394180297852
"Bulawayo","Bulawayo","Ward 12",2022,49.1487808227539
"Bulawayo","Bulawayo","Ward 12",2023,51.2929801940918
"Bulawayo","Bulawayo","Ward 12",2024,51.2741203308105
"Bulawayo","Bulawayo","Ward 13",2012,92.9070739746094
"Bulawayo","Bulawayo","Ward 13",2013,82.2347030639648
"Bulawayo","Bulawayo","Ward 13",2014,62.5941696166992
"Bulawayo","Bulawayo","Ward 13",2015,64.4033889770508
"Bulawayo","Bulawayo","Ward 13",2016,55.3181076049805
"Bulawayo","Bulawayo","Ward 13",2017,45.6881370544434
"Bulawayo","Bulawayo","Ward 13",2018,46.4584617614746
"Bulawayo","Bulawayo","Ward 13",2019,45.5276527404785
"Bulawayo","Bulawayo","Ward 13",2020,41.1957664489746
"Bulawayo","Bulawayo","Ward 13",2021,44.2677230834961
"Bulawayo","Bulawayo","Ward 13",2022,49.8220634460449
"Bulawayo","Bulawayo","Ward 13",2023,58.1293792724609
"Bulawayo","Bulawayo","Ward 13",2024,61.4430313110352
"Bulawayo","Bulawayo","Ward 14",2012,71.6291809082031
"Bulawayo","Bulawayo","Ward 14",2013,59.7217979431152
"Bulawayo","Bulawayo","Ward 14",2014,49.552188873291
"Bulawayo","Bulawayo","Ward 14",2015,57.5859527587891
"Bulawayo","Bulawayo","Ward 14",2016,53.2296943664551
"Bulawayo","Bulawayo","Ward 14",2017,39.8273849487305
"Bulawayo","Bulawayo","Ward 14",2018,37.244213104248
"Bulawayo","Bulawayo","Ward 14",2019,27.3359775543213
"Bulawayo","Bulawayo","Ward 14",2020,24.2635688781738
"Bulawayo","Bulawayo","Ward 14",2021,32.0481719970703
"Bulawayo","Bulawayo","Ward 14",2022,40.1380310058594
"Bulawayo","Bulawayo","Ward 14",2023,40.40673828125
"Bulawayo","Bulawayo","Ward 14",2024,43.9004707336426
"Bulawayo","Bulawayo","Ward 15",2012,84.1992111206055
"Bulawayo","Bulawayo","Ward 15",2013,71.8336181640625
"Bulawayo","Bulawayo","Ward 15",2014,63.1460723876953
"Bulawayo","Bulawayo","Ward 15",2015,64.0416641235352
"Bulawayo","Bulawayo","Ward 15",2016,60.63525390625
"Bulawayo","Bulawayo","Ward 15",2017,46.3061180114746
"Bulawayo","Bulawayo","Ward 15",2018,36.3523254394531
"Bulawayo","Bulawayo","Ward 15",2019,30.4410171508789
"Bulawayo","Bulawayo","Ward 15",2020,22.3727436065674
"Bulawayo","Bulawayo","Ward 15",2021,28.6589202880859
"Bulawayo","Bulawayo","Ward 15",2022,36.6479873657227
"Bulawayo","Bulawayo","Ward 15",2023,41.0730781555176
"Bulawayo","Bulawayo","Ward 15",2024,46.0950546264648
"Bulawayo","Bulawayo","Ward 16",2012,107.210952758789
"Bulawayo","Bulawayo","Ward 16",2013,93.7389678955078
"Bulawayo","Bulawayo","Ward 16",2014,83.9973678588867
"Bulawayo","Bulawayo","Ward 16",2015,76.4343490600586
